,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 68",16,6542,6542,6542,6542,0,0,6542,6542,6542,6542,6542,6542,0,6542,NaN
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 69",22,542,6542,1087.454545,542,1765.469659,3116883.117,542,542,2942,542,542,1542,81.30999435,233.6996047,0.089440994
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 71",5,5868,5868,5868,5868,0,0,5868,5868,5868,5868,5868,5868,0,5868,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 70",5,5928,5928,5928,5928,0,0,5928,5928,5928,5928,5928,5928,0,5928,NaN
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 70",22,542,542,542,542,0,0,542,542,542,542,542,542,0,542,NaN
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 69",16,6542,6542,6542,6542,0,0,6542,6542,6542,6542,6542,6542,0,6542,NaN
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 71",16,6542,6542,6542,6542,0,0,6542,6542,6542,6542,6542,6542,0,6542,NaN
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 70",16,6542,6542,6542,6542,0,0,6542,6542,6542,6542,6542,6542,0,6542,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 72",5,5923,5923,5923,5923,0,0,5923,5923,5923,5923,5923,5923,0,5923,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 71",5,5923,5923,5923,5923,0,0,5923,5923,5923,5923,5923,5923,0,5923,NaN
