,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 79",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:55.7,5983,1,10,10,0.370115206,1324.497008,1.349550047,0.002184174,1324.126893,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.378120079212643;0.378120079212643;0.845015036193114][...]],0.140253444,5,934758489,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 84",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:08.8,6542,0,3,3,0.041607755,1324.786379,0.218162396,0.001549528,1324.744772,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.430257478982442;0.430257478982442;0.793572305186709][...]],0.026083435,16,25944422,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 86",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:09.2,6542,1,3,3,0.078026769,1324.76705,0.322044007,0.002214314,1324.689023,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.367042865835547;0.367042865835547;0.854727482463538][...]],0.034389329,16,623889830,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 85",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:09.4,6542,0,3,3,0.041676264,1324.763727,0.233642933,0.001914062,1324.72205,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.635684110000982;0.635684110000982;0.437962811873928][...]],0.027770397,16,1425229059,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 80",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",300030,01:55.6,5983,1,10,10,0.307245455,1324.492398,1.320989402,0.001011102,1324.185152,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.5;0.5;0.707106781186547][...]],0.060878356,5,1984240023,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 81",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",300030,01:56.3,5983,0,10,10,0.207191976,1324.502039,1.200058484,0.001951014,1324.294847,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.321919143941779;0.321919143941779;0.89035730441637][...]],0.043833089,5,1896622669,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 87",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:07.5,6542,1,3,3,0.046361098,1324.783536,0.227760381,0.000928141,1324.737175,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.197130897185919;0.197130897185919;0.960353486352473][...]],0.032218988,16,1491380144,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 86",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:07.4,6542,0,3,3,0.120346659,1324.782045,0.322938015,0.00142965,1324.661698,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.396311559516312;0.396311559516312;0.828175280715078][...]],0.04582391,16,273717416,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 88",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",300000,01:07.9,6542,1,3,3,0.052713002,1324.77113,0.241726034,0.001890262,1324.718417,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.426526285831685;0.426526285831685;0.79759053090496][...]],0.030176224,16,1005945373,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 87",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",300000,01:07.7,6542,0,3,3,0.05189735,1324.765883,0.250047269,0.001580021,1324.713985,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.609111991224129;0.609111991224129;0.507902711445759][...]],0.037694514,16,894593525,32
