,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 21",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:59.0,5784,5,5,0.044201224,1324.606425,2.45218943,10.35144507,1324.562224,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.510859210252599;0.510859210252599;0.691408514989642][...]],1.4495445,10,1400825632,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 21",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:02.0,6135,5,5,0.134150688,1324.696082,1.660091315,5.988694463,1324.561931,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.165512673729492;0.165512673729492;0.972219681795133][...]],1.012292409,10,973123410,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 21",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:03.1,6471,5,5,0.130811816,1324.730153,2.137859453,5.809498351,1324.599342,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.564571709451725;0.564571709451724;0.602094319665545][...]],1.895432195,10,1084994874,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 21",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:04.1,6955,5,5,0.18084215,1324.759151,2.184141073,5.111170676,1324.578308,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.320197725986325;0.320197725986325;0.891597909680352][...]],1.266332071,10,1174648507,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 22",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:01.0,5784,5,5,0.080146989,1324.60993,2.555167077,11.27450303,1324.529783,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.577154102806602;0.577154102806602;0.577742402136984][...]],1.652592823,10,42874922,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 22",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:04.1,6135,5,5,0.029932348,1324.692559,2.278519162,8.708425794,1324.662626,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.115627954443063;0.115627954443063;0.986539584762125][...]],1.672735161,10,508776255,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 22",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,01:05.0,6471,5,5,0.076898965,1324.732176,2.440304734,5.658887654,1324.655277,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.181545228920262;0.181545228920262;0.966479518516859][...]],1.433849837,10,710888848,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 22",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,01:05.9,6955,5,5,0.138383231,1324.762228,1.507687451,3.448266977,1324.623845,[[4.32963728535968E-17;4.32963728535968E-17;1][0.707106781186548;0.707106781186547;0][0.277142000328145;0.277142000328145;0.919991643064343][...]],0.920505628,10,1823624254,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 23",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,01:03.4,5784,5,5,0.117119538,1324.60967,2.39072855,10.97905462,1324.49255,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.427466908127932;0.427466908127932;0.796582754590565][...]],1.33988833,10,1177786508,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 23",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,01:06.2,6135,5,5,0.102778177,1324.693317,1.556491988,5.42183404,1324.590539,[[0.707106781186548;0.707106781186547;0][4.32963728535968E-17;4.32963728535968E-17;1][0.140518566872401;0.140518566872401;0.980055643689813][...]],1.211861105,10,971507817,20
