,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 21",50,4,5739,1155.7,00:00.0,2314.927515,5358889.398,4,24,4788.583333,4,4.833333333,4418.230769,110.2345738,-1545.047059,0.481858801
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 21",50,35,6135,1334,00:00.0,2426.837406,5889539.796,35,335,5168.333333,35,35,4773.461538,119.2821128,-1588.411765,0.513367321
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 21",50,21,6471,924,00:00.0,1501.067987,2253205.102,171,1221,2533.5,46,46,2432.538462,59.48859544,-533.4705882,0.333753354
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 21",50,55,6955,1201,00:00.0,1665.031715,2772330.612,55,1855,3130,55,55,3031.923077,76.59543818,-675.5882353,0.449696724
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 22",50,4,5774,1161.6,00:00.0,2329.62142,5427135.959,4,24,4815.666667,4,4.416666667,4445.153846,110.9291717,-1556.164706,0.481814397
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 22",50,35,6085,521,00:00.0,1425.855991,2033065.306,35,335,1772.5,35,39.16666667,1661.923077,35.81272509,-356.4117647,0.134054792
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 22",50,21,6471,1017,00:00.0,2049.709785,4201310.204,21,621,3546,21,21,3321,79.69267707,-935.4705882,0.321226243
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 22",50,55,6955,1099,00:00.0,1629.969325,2656800,55,1555,2905,55,55,2801.153846,72.51860744,-677.7058824,0.420628779
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 23",50,4,5784,1166.3,00:00.0,2332.305116,5439647.153,4,34,4825.666667,4,4.833333333,4452.846154,111.1402161,-1556.635294,0.482537065
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 23",50,35,6135,1307,00:00.0,2439.474684,5951036.735,35,235,5151.666667,35,35,4773.461538,118.8091236,-1603.823529,0.504041028
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 23",50,21,6321,633,00:00.0,1231.663882,1516995.918,21,921,1821,21,21,1705.615385,40.82593037,-367.2352941,0.233478397
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 23",50,55,6955,1063,00:00.0,1568.548009,2460342.857,355,955,2655,105,105,2385.769231,55.08763505,-286.6470588,0.262102739
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 24",50,4,5724,1152.5,00:00.0,2308.969257,5331339.031,4,29,4775.666667,4,4.416666667,4406.307692,109.9858343,-1542.152941,0.482165509
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 24",50,35,6085,1330,00:00.0,2405.971525,5788698.98,35,435,5143.333333,35,43.33333333,4754.230769,119.2292917,-1591.117647,0.521847847
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 24",50,21,6321,969,00:00.0,1675.664961,2807853.061,21,1221,2921,21,33.5,2790.230769,70.31452581,-753.7058824,0.374174909
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 24",50,55,6955,1201,00:00.0,1665.031715,2772330.612,55,1855,3130,55,55,3031.923077,76.10564226,-663.5882353,0.443963866
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 25",50,4,5779,1163.8,00:00.0,2331.034403,5433721.388,4,19,4819,4,4.416666667,4448.230769,111.0031212,-1555.776471,0.481872286
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 25",50,35,6085,1307,00:00.0,2414.24683,5828587.755,35,235,5110,35,43.33333333,4727.307692,117.7142857,-1577,0.505189061
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 25",50,21,6471,1491,00:00.0,2523.48156,6367959.184,171,621,5496,46,46,5121,128.2112845,-1650.176471,0.548543617
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 25",50,55,6955,865,00:00.0,1618.672926,2620102.041,55,655,2530,55,55,2201.153846,54.29531813,-465.2352941,0.239092247
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 26",50,4,5769,1163.3,00:00.0,2326.247089,5411425.52,4,19,4814.833333,4,4.416666667,4442.076923,110.9082833,-1553.952941,0.483031235
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 26",50,35,6135,1352,00:00.0,2419.744674,5855164.286,35,435,5185,35,35,4800.384615,120.4153661,-1598.176471,0.526239775
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 26",50,21,6471,816,00:00.0,1512.574842,2287882.653,21,1071,2421,21,21,2282.538462,57.9759904,-604.4117647,0.312191836
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 26",50,55,6955,919,00:00.0,1321.835459,1747248.98,355,955,2105,55,105,1878.076923,43.30372149,-141.9411765,0.228062868
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 27",50,4,5769,1162,00:00.0,2326.902557,5414475.51,4,34,4813.166667,4,4,4445.538462,110.89988,-1555.047059,0.482685989
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 27",50,35,5985,549,00:00.0,1394.780357,1945412.245,85,385,1785,35,43.33333333,1677.307692,36.84033613,-353.5882353,0.148249917
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 27",50,21,6471,603,00:00.0,1255.224185,1575587.755,21,771,1721,21,21,1647.923077,39.14045618,-355.9411765,0.206617976
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 27",50,55,6955,1069,00:00.0,1574.543666,2479187.755,355,955,2680,105,105,2408.846154,58.58823529,-366.4117647,0.294218753
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 28",50,4,5784,1166.9,00:00.0,2332.013033,5438284.786,4,39,4826.5,4,4,4457.461538,111.2655462,-1559.105882,0.483747124
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 28",50,35,6135,563,00:00.0,1432.179729,2051138.776,85,435,1860,43.33333333,43.33333333,1750.384615,40.84513806,-437.7058824,0.172840147
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 28",50,21,6471,840,00:00.0,1505.259148,2265805.102,21,1071,2421,21,46,2317.153846,58.76830732,-599.8235294,0.323908801
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 28",50,55,6955,1045,00:00.0,1573.796917,2476836.735,355,955,2605,80,105,2339.615385,55.67827131,-319.1176471,0.265970237
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 29",50,4,5734,1155.3,00:00.0,2312.604947,5348141.643,4,24,4783.583333,4,4.416666667,4415.153846,110.1966387,-1544.517647,0.482494901
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 29",50,35,6135,1370,00:00.0,2410.843912,5812168.367,85,435,5185,39.16666667,43.33333333,4819.615385,120.5786315,-1584.176471,0.531571207
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 29",50,21,6471,663,00:00.0,1288.226118,1659526.531,21,1221,2096,21,21,1821,42.66986795,-382.4117647,0.23314029
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 29",50,55,6955,1453,00:00.0,1984.993703,3940200,355,1855,3980,80,105,3816.538462,95.0060024,-874.6470588,0.486791243
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 30",50,4,5779,1164.4,00:00.0,2330.736469,5432332.49,4,34,4821.5,4,4.833333333,4450.153846,111.0453782,-1556.211765,0.482362532
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 30",50,35,6135,1333,00:00.0,2427.267717,5891628.571,35,285,5160,35,35,4785,119.452581,-1593.588235,0.514653169
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 30",50,21,6321,873,00:00.0,1478.552795,2186118.367,171,1221,2496,21,33.5,2351.769231,59.82713085,-592.7647059,0.347921777
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 30",50,55,6955,883,00:00.0,1358.726895,1846138.776,55,1255,2205,55,55,2131.923077,52.09123649,-393.2352941,0.312337351
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 31",50,4,5784,1165.5,00:00.0,2332.71088,5441540.051,4,24,4827.333333,4,4.833333333,4455.153846,111.1757503,-1558.305882,0.482677709
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 31",50,35,6135,866,00:00.0,1967.876977,3872539.796,85,285,3210,39.16666667,43.33333333,2985,68.54021609,-813.2352941,0.257782828
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 31",50,21,6471,1500,00:00.0,2524.029213,6370723.469,21,771,5521,21,21,5121,130.1488595,-1688.647059,0.565003208
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 31",50,55,6955,1099,00:00.0,1447.328292,2094759.184,55,1855,2705,55,55,2639.615385,67.53421369,-555.5882353,0.462671264
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 32",50,4,5764,1162.6,00:00.0,2324.079155,5401343.918,4,39,4810.25,4,4.416666667,4439.769231,110.8187275,-1552.458824,0.483151599
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 32",50,35,6135,452,00:00.0,1184.793532,1403735.714,35,435,1385,35,43.33333333,1311.923077,28.59303721,-248.5294118,0.123763951
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 32",50,21,6471,852,00:00.0,1521.944581,2316315.306,21,1221,2533.5,21,21,2340.230769,58.07683073,-570.8823529,0.309433319
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 32",50,55,6955,937,00:00.0,1321.515827,1746404.082,355,955,2155,80,105,1924.230769,43.66386555,-132.7647059,0.231984281
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 33",50,4,5784,1168.1,00:00.0,2331.401368,5435432.337,4,34,4825.666667,4,4.416666667,4457.076923,111.2391357,-1557.258824,0.483771246
