, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 20, 6309, 0, 1881, 827.55429193629209, 846.42857142857144, 398.4884747151097, 158793.06448077463, 528, 1166, 1327.5328209158436, 292.26179337444091, 296.35242963386628, 1321.9295781231992, 0.21680144670703178, 143.76252902231386, 0.98197733136774057
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 21, 6309, 0, 1716, 821.22059924377311, 833, 396.970484435757, 157585.56551315958, 514, 1162, 1322.6559241233522, 294.66254554948091, 299.74562638557364, 1321.4067719638429, 0.21588879520602833, 140.3073391639598, 0.98118841418210689
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 22, 6309, 0, 1773.2222222222222, 815.44901601079039, 831, 390.77509194457554, 152705.17248429146, 525, 1123, 1300.6258076404365, 286.98152570990317, 290.41557093518753, 1295.5372477621063, 0.21224301843884505, 146.03453585467309, 0.97863719850339836
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 23, 6309, 0, 1865.8648648648648, 826.00489063597456, 839, 394.47058124267249, 155607.03946593188, 528, 1147, 1323.3013944765983, 298.36653014438929, 302.323474836319, 1317.1394544684269, 0.21459560574916856, 149.17035010309689, 0.98179552894769229
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 24, 6309, 0, 1767.6666666666667, 822.8100868437416, 834, 395.77734990615585, 156639.71069873974, 521, 1162, 1325.5104009869156, 298.7031598439483, 301.63435991626858, 1324.1978224707693, 0.21549799566866254, 143.12940850477992, 0.98354274362294059
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 25, 6309, 0, 1869.5714285714287, 825.6674243403213, 840, 398.2930980575062, 158637.39196024623, 522, 1167.909090909091, 1328.2237591901726, 298.62117302867262, 303.22156008779876, 1325.1074961394386, 0.21694554800414259, 141.42116593525554, 0.98424805180999364
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 26, 6309, 0, 1782.578947368421, 819.26270440443011, 824, 391.51388558034586, 153283.12260222013, 508, 1147, 1309.8414878740284, 297.83762987524551, 302.45887229502819, 1304.5199632601812, 0.21290309093137849, 147.76635560686236, 0.98102084327386208
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 27, 6309, 0, 2256.1724137931033, 820.63602011812, 826, 394.99872113686507, 156023.98969975888, 528, 1156, 1320.6525066477968, 295.87933537467723, 300.51308571424084, 1319.4485280822287, 0.21479587379112439, 143.16983418091365, 0.98100027748426777
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 28, 6309, 0, 1766, 824.32405371647519, 844, 393.41556588647006, 154775.80748177148, 526, 1149, 1315.9153221277011, 298.51225621119738, 302.36334955946728, 1308.5419162103381, 0.21401879798035633, 149.30876488643128, 0.981769199838991
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 29, 6309, 0, 1781, 819.98365105869607, 837, 390.70410237724593, 152649.69561440949, 516, 1156.6326530612246, 1308.398736440693, 294.38830686121059, 297.54830277400004, 1306.4743905109119, 0.21243593802863842, 149.96070251637047, 0.98077339265878372
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 30, 6309, 0, 2223.2222222222222, 818.96000661642881, 823.04255319148933, 392.67776783617921, 154195.82935280429, 514, 1148, 1306.5959689879062, 294.55970229916954, 297.76687616691186, 1304.3524218578002, 0.21335056216571308, 146.05233354576978, 0.97931768319876922
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 31, 6309, 0, 1770.6969696969697, 822.4988426087391, 842, 393.99651659912689, 155233.25509224605, 520, 1161, 1319.2276323318827, 301.08200138359786, 303.58254261656469, 1316.71126186731, 0.21430330966539698, 146.58620392407704, 0.981480403577785
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 32, 6309, 0, 1718.5, 800.0895793645185, 819.33333333333337, 393.31540243749026, 154697.0057945649, 503, 1138, 1298.9776015416519, 273.06166775794367, 277.84059049691433, 1293.9604598134154, 0.21394060679873786, 125.32090552129932, 0.98155169923944585
