,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 7",50,21,6471,468,00:00.0,1255.169311,1575450,21,4.71E+02,1546,21,46,1232.538462,25.93757503,-167.4705882,0.090742983
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 4",40,182,10982,3594.5,00:00.0,3742.492485,14006250,482,7382,8822,332,332,8822,281.6791745,-1898.243902,0.774194723
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 7",50,55,6955,625,00:00.0,1363.705935,1859693.878,55,655,1955,55,55,1508.846154,34.78991597,-227.3529412,0.138300654
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 8",50,4,5784,935.9,00:00.0,2137.380356,4568394.786,4,1.90E+01,3866.5,4,4.833333333,3567.076923,87.91332533,-1217.976471,0.359504824
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 8",50,35,6135,578,00:00.0,1656.650481,2744490.816,35,185,2197.5,35,43.33333333,1985,48.42496999,-608.4117647,0.181566563
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 8",50,21,6471,927,00:00.0,1890.568428,3574248.98,171,621,3233.5,21,33.5,2859.461538,71.3517407,-821.1176471,0.302679688
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 8",50,55,6955,1219,00:00.0,1834.005319,3363575.51,355,955,3530,55,105,3216.538462,79.28931573,-723.5882353,0.397179745
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 9",50,4,5774,592.2,00:00.0,1744.842768,3044476.286,9,2.90E+01,2429.416667,4.833333333,4.833333333,2237.846154,5.50E+01,-756.1529412,0.211407964
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 5",40,182,10982,3129.5,00:00.0,2922.765419,8542557.692,482,4682,6572,182,182,6512,212.5046904,-1014.341463,0.722456532
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 9",50,35,6135,605,00:00.0,1650.231895,2723265.306,35,135,2251.666667,35,39.16666667,2027.307692,4.67E+01,-540.0588235,0.170448195
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 9",50,21,6471,840,00:00.0,1792.3844,3212641.837,21,621,2946,21,46,2628.692308,64.68907563,-744.8823529,0.276795174
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 9",50,55,6955,1111,00:00.0,1805.339021,3259248.98,355,1555,3505,55,105,2985.769231,72.48979592,-665,0.342606147
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 10",50,4,5784,706.7,00:00.0,1893.678046,3586016.541,9,2.40E+01,2912.75,4.416666667,4.833333333,2682.461538,6.59E+01,-906.8823529,0.257037654
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 10",50,35,6135,752,00:00.0,1817.983016,3305062.245,35,435,2810,35,39.16666667,2531.153846,6.37E+01,-809.7058824,0.261243573
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 10",50,21,6471,942,00:00.0,1898.336812,3603682.653,21,921,3258.5,21,21,2986.384615,73.59183673,-861,0.3193535
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 11",50,4,5784,822,00:00.0,2022.391492,4090067.347,9,3.90E+01,3390.25,4.416666667,4.416666667,3126.692308,7.89E+01,-1110.282353,0.323174795
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 10",50,55,6955,1021,00:00.0,1641.25512,2693718.367,55,955,3055,55,105,2685.769231,64.72509004,-564.7647059,0.330485244
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 6",40,182,10982,3197,00:00.0,3460.068919,11972076.92,182,5582,8462,182,182,6662,227.7861163,-1244.829268,0.592308007
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 11",50,35,6135,598,00:00.0,1650.689714,2724776.531,85,185,2180.833333,39.16666667,43.33333333,2015.769231,4.66E+01,-543.7058824,0.169357468
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 11",50,21,6471,864,00:00.0,1897.339975,3599898.98,21,4.71E+02,2971,21,46,2721,65.43817527,-739.2352941,0.252773174
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 12",50,4,5784,363,00:00.0,1383.563131,1914246.939,4,3.90E+01,1475.25,4,4.416666667,1359.769231,3.20E+01,-421.8823529,0.113929957
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 11",50,55,6955,1225,00:00.0,1995.735249,3982959.184,55,955,3755,55,105,3285.769231,79.93757503,-733.4705882,0.340921992
