,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,06:08.1,5784,5,5,7.11E-09,1331,0.728605729,1.851061735,1331,[[6.12303176616366E-17;5.3333738078103;0.000165506044698183][6.12303176910023E-17;5.47435326952374E-22;4.58130659264479][...]],0.444346433,10,43741020,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,06:25.5,6135,5,5,0.000999667,1331,0.768822321,2.3672194,1330.999,[[1;0;0][3.74915180455534E-33;6.36735674206717E-17;1.03990261396124][6.12302768287974E-17;5.44209792150636E-19;7.69319343325417][...]],0.281695457,10,219509405,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,06:33.5,6471,5,5,0.084855313,1331,1.003526519,2.602789776,1330.915145,[[3.74915180455534E-33;6.343877095641E-17;1.03606797006071][1;0;0][6.10208892919742E-17;4.21511429328659;0.349522539231384][...]],0.524749014,10,1612968533,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,06:48.6,6955,5,5,1.604731596,1331,0.931668101,2.195263044,1329.395268,[[1;0;0][6.12303176911189E-17;0;1.75295785138295][3.74915180455534E-33;6.5848618812044E-17;1.075425072008][...]],0.811330467,10,233873952,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,11:40.5,10982,10,8,1.91E-06,1331,0.595350301,0.99853906,1330.999998,[[1;0;0][6.01708990435985E-17;2.18431312599738E-17;1.92605892381658][6.12303176911189E-17;0;1.01571905600946][...]],0.239360264,5,928152186,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,06:19.1,5784,5,5,7.82E-08,1331,0.638423081,1.085960719,1331,[[6.12303176911189E-17;1.23046919359238E-95;5.3377079551887][3.74915180455534E-33;6.66819482011844E-17;1.0890348231993][...]],0.334805983,10,176177419,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,06:34.3,6135,5,5,0.370018462,1331,0.634329853,1.514432458,1330.629982,[[1;0;0][3.74915180455534E-33;6.49034689581791E-17;1.05998909372951][6.12303176911189E-17;0;1.4011715620847][...]],0.85574879,10,1635880557,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,06:45.3,6471,5,5,0.839902436,1331,0.610111691,1.521058354,1330.160098,[[1;0;0][3.74915180455534E-33;6.51719622790775E-17;1.06437406723647][6.12303176909876E-17;6.7968368483175;1.40738127114018E-05][...]],0.303699967,10,1157661836,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,06:59.4,6955,5,5,1.210084601,1331,0.802784198,2.652746452,1329.789915,[[1;0;0][6.12303176911166E-17;7.627478364702E-23;4.61216565578195][6.12302243158651E-17;7.47046482614364;0.0130465523422534][...]],0.459762464,10,1826964786,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,06:19.6,5784,5,5,6.82E-13,1331,0.579618572,0.894012134,1331,[[1;0;0][6.1230316672596E-17;4.62072596243256;0.000842805470849605][6.12303176911189E-17;3.94256575446631E-152;3.75153958766611][...]],0.359552307,10,1539253383,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 3",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,06:38.1,6135,5,5,0.012513193,1331,0.772159871,1.557215183,1330.987487,[[1;0;0][6.12191981525326E-17;4.18098086188622E-18;3.58307798280856][6.12303176911189E-17;0;1.83368190915764][...]],1.147926159,10,50634165,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 3",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,06:47.5,6471,5,5,0.953756465,1331,0.921315993,2.328906283,1330.046244,[[1;0;0][6.12303176911189E-17;6.5201488096728;0][6.11987511627291E-17;1.18350289376397E-17;6.02023771307964][...]],0.335347258,10,2058005277,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 3",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,06:57.4,6955,5,5,1.228785546,1331,0.695312529,1.542352984,1329.771214,[[1;0;0][6.12303176911189E-17;2.26134238870624;0][3.74915180455534E-33;6.62511165891932E-17;1.08199857664306][...]],0.523092774,10,1562699196,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 2",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,12:02.9,10982,10,8,1.719285896,1331,0.563185278,1.052937192,1329.280714,[[1;0;0][6.10318603525545E-17;2.58657604515551;0.208760480875384][6.12295959016975E-17;3.82425333673628E-19;1.28630637967306][...]],0.350731973,5,974617257,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 4",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,06:28.0,5784,5,5,2.97E-10,1331,0.562760226,1.300947718,1331,[[6.11411977354433E-17;6.1627764410465;0.332866524560221][5.97061229758006E-17;4.89961378894398E-17;3.60880180388867][...]],0.365413361,10,1764076522,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 4",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,06:50.3,6135,5,5,1.081578605,1331,0.419829175,1.428859028,1329.918421,[[1;0;0][3.74915180455534E-33;6.39001576249947E-17;1.04360323504026][6.10167118509182E-17;3.43060963953729;0.287308332998511][...]],0.254521663,10,1495234556,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 4",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,06:57.0,6471,5,5,0.679982504,1331,0.543360627,1.699332609,1330.320017,[[1;0;0][6.1230317691116E-17;8.53337072949447E-23;4.5401123095512][6.12246298234845E-17;5.35446293045311;0.0729882006155209][...]],0.343453402,10,1837356546,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 4",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,07:12.0,6955,5,5,1.159112748,1331,0.519431689,1.234714645,1329.840887,[[1;0;0][6.12303176911189E-17;3.0370878502601;0][6.12303176911189E-17;0;1.95289130928088][3.74915180455534E-33;6.51218453387345E-17;1.06355556845625][...]],0.247938867,10,1858717009,20
