,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 65",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,14:32.5,10982,0,10,8,1.060109606,1331,∞,0.46936623,1329.93989,[[1;0;0][6.1158400647379E-17;8.50718647011488E-18;2.86747305393316][6.12303176911189E-17;0;1.00921110324953][...]],0.78708947,5,156491772,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 64",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,14:33.4,10982,1,10,8,1.022755603,1331,1.780084968,0.471016568,1329.977244,[[1;0;0][6.12303171255252E-17;2.24006282450982E-20;2.69159475575321][6.12303172326288E-17;1.64866014741105;0.000201756649726776][...]],0.517151851,5,850769245,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 51",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,14:34.3,10982,3,10,8,1.020245495,1331,2.112956273,0.603554466,1329.979755,[[1;0;0][5.91810969186182E-17;4.5422209164166E-17;2.89161220233332][6.12303176911189E-17;1.43719648363769;0][...]],0.439995162,5,658852278,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 66",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,14:35.8,10982,0,10,8,2.230755773,1331,1.297676535,0.764944862,1328.769244,[[1;0;0][6.12303176911189E-17;3.27494898238844;0][6.06668138306096E-17;9.31265521245717E-18;1.1236429552788][...]],0.465584777,5,1111617238,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 65",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,14:36.3,10982,1,10,8,1.958768188,1331,∞,0.449759518,1329.041232,[[1;0;0][6.12303176910951E-17;2.23310222485008;1.96809509752709E-06][6.12303176911189E-17;0;1.01011141348872][...]],0.494952558,5,1052680040,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 52",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,14:37.0,10982,3,10,8,3.226202017,1331,3.721439212,1.515664951,1327.773798,[[1;0;0][6.12303176911189E-17;3.18914471155568;0][6.12302812147111E-17;3.16354332216739E-19;4.7333603191251][...]],1.127196145,5,927898372,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 67",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,14:36.5,10982,0,10,8,2.047176472,1331,1.349568871,0.651369125,1328.952824,[[1;0;0][6.11205386019027E-17;9.36947732944955E-18;2.55653678768915][6.12303176911189E-17;2.02727797887327;0][...]],0.759948025,5,429184545,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 66",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",300000,14:35.5,10982,1,10,8,1.416396625,1331,1.356042838,0.563440568,1329.583603,[[1;0;0][6.12303176909826E-17;4.21017500887649E-22;3.25929197092505][6.12303176911189E-17;1.68891594295494;2.4274047970778E-08][...]],0.616390994,5,1267582208,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 53",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",300000,14:35.4,10982,3,10,8,1.059202527,1331,∞,0.50540396,1329.940797,[[1;0;0][5.94870641518682E-17;4.42703354585884E-17;3.05174070997173][6.12302970216307E-17;1.03290266561255;0.000848703729016333][...]],0.829639261,5,2102517822,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 68",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",300000,14:34.0,10982,0,10,8,1.285555678,1331,∞,0.160261662,1329.714444,[[1;0;0][6.03169195400701E-17;1.14703923672586E-17;1.08861838378045][6.12303176911189E-17;1.27323381849491;0][...]],0.734957918,5,1323355813,10
