,Absolute Distance to BestKnownHypervolume,Best known hypervolume,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,Execution Time,Generational Distance,Hypervolume,Pareto Front,ProblemSize,Seed,Spacing,TestFunction
NSGA-II Run 101,0.016385985,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.184421393,[[0;1]],50,00:26.2,0.00167344,128.7617301,[[0;1][0.8518004245099;-0.773368568602552][0.652498190589794;-0.458263266560873][0.823337609691705;-0.458382118737][...]],50,512959964,0.0406638,ZDT3
NSGA-II Run 101,0.019412235,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.138311369,[[0;1]],50,00:25.6,0.000392051,120.3139211,[[1;5.40706150374421E-07][0;1.00000027005914][0.431049561326011;0.814196596522843][0.135542334693718;0.981628551586988][...]],50,141224344,0.02431258,ZDT2
NSGA-II Run 98,0.097803244,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.115474304,[[0;1]],30,00:25.2,0.003534036,117.420772,[[0.280775318815377;0.92540361516327][0.999999618854958;0.00784604491691726][0.713225162980402;0.497244896065301][...]],30,723127030,0.015384392,ZDT6
NSGA-II Run 91,0.021100927,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.143375678,[[0;1]],50,00:33.8,0.000547714,120.6455657,[[0;1.00000019083331][1;9.54811128196286E-08][0.940380396362191;0.0302679727138151][0.861926901719028;0.0715999186741624][...]],50,568341707,0.016564834,ZDT1
NSGA-II Run 103,4.553597328,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.073901983,[[0;1][-5;5]],30,00:24.9,0.180211642,116.1130693,[[0;1][1;0.425888409854485][0.117791291554019;0.802960683545152][0.0438607633591089;0.879764031092291][...]],30,1181529780,0.012359447,ZDT4
NSGA-II Run 102,0.014053097,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.162568454,[[0;1]],50,00:25.9,0.001470083,128.764063,[[0;1][0.851807638515903;-0.773368744004335][0.257778546241049;0.242161120040387][0.652538138544486;-0.458263099459115][...]],50,1397893052,0.031892834,ZDT3
NSGA-II Run 102,0.017814365,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.140646413,[[0;1]],50,00:25.6,0.000331894,120.315519,[[1;1.37307068829454E-05][0;1.00000686489661][0.130436210255196;0.982993375428546][0.380360239704704;0.855333947107751][...]],50,377579734,0.009788964,ZDT2
NSGA-II Run 99,0.104007331,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.114396657,[[0;1]],30,00:25.5,0.003857127,117.4145679,[[0.280775318817098;0.925809570806653][1;0.00857793645112599][0.883389550545901;0.227302141210212][0.368374764724904;0.869193341590034][...]],30,1502486303,0.01317842,ZDT6
NSGA-II Run 104,4.618810039,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.075975639,[[0;1][-5;5]],30,00:25.5,0.191376394,116.0478566,[[0;1][1;0.431651949842346][0.317758543803221;0.679622012757971][0.705939762272345;0.522474105766171][...]],30,1031319971,0.016117644,ZDT4
NSGA-II Run 92,0.022630799,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.147505253,[[0;1]],50,00:33.9,0.000528615,120.6440359,[[0;1.00000278825972][1;1.39794672111626E-06][0.955320547063909;0.0225969955977128][0.837097935636583;0.0850715649992646][...]],50,1820336801,0.018641646,ZDT1
NSGA-II Run 103,0.020480672,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.138072153,[[0;1]],50,00:25.8,0.000356923,120.3128527,[[0;1.0000869186105][1;0.000173868842768977][0.624537238324663;0.610074071193167][0.668463741884362;0.553282008019863][...]],50,40444746,0.020245856,ZDT2
NSGA-II Run 103,0.014333467,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.175883667,[[0;1]],50,00:26.0,0.001269179,128.7637827,[[0;1.00000000000684][0.851862666402575;-0.773368629004698][0.823445387399774;-0.46058220816148][0.40934819224804;0.241699204194003][...]],50,1764464100,0.037648677,ZDT3
NSGA-II Run 100,0.058583589,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.112867786,[[0;1]],30,00:25.0,0.001941798,117.4599916,[[0.280775318815369;0.923481121573008][1;0.00421927310006182][0.622914677083364;0.614935427342997][0.554864724302174;0.694928395599151][...]],30,329462467,0.017721758,ZDT6
NSGA-II Run 105,5.17067785,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.074137607,[[0;1][-5;5]],30,00:25.3,0.209871662,115.4959888,[[0;1][1;0.48363997966105][0.0675464027748875;0.865799628829123][0.579816892822231;0.606814006314402][...]],30,328286587,0.012790912,ZDT4
NSGA-II Run 104,0.021708387,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.13878758,[[0;1]],50,00:25.0,0.000365125,120.3116249,[[0;1.00000164939934][1;3.3023809633499E-06][0.323950167580397;0.89505811521848][0.42433909088367;0.819938286176133][...]],50,1586388183,0.020099427,ZDT2
