,Absolute Distance to BestKnownHypervolume,Best known hypervolume,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,Execution Time,Generational Distance,Hypervolume,Pareto Front,ProblemSize,Seed,Spacing,TestFunction
NSGA-II Run 11,0.011621088,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.082282093,[[0;1]],50,00:27.0,0.000364606,120.3217122,[[0;1.00000041412118][1;8.18997946663649E-07][0.790790621070526;0.374650866749409][0.826624977794347;0.31669184385161][...]],50,334166202,0.008562696,ZDT2
NSGA-II Run 12,0.006416598,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.106567092,[[0;1]],50,00:27.6,0.001022844,128.7716995,[[0;1.00000000004726][0.851798572377742;-0.773368516462845][0.65252827800642;-0.458263236714916][0.453882341348137;-0.12421844470055][...]],50,883412433,0.014325865,ZDT3
NSGA-II Run 13,0.01194745,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082421439,[[0;1]],50,00:25.8,0.000579761,120.6547192,[[1;4.69201858463119E-07][0;1.00000094022342][0.0235156579665066;0.846652709764924][0.971932380321703;0.0141341744097347][...]],50,1233428594,0.012977347,ZDT1
NSGA-II Run 12,0.011407547,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045487531,[[0;1][-5;5]],30,00:26.9,0.000380222,120.6552591,[[0;1][1;4.80921364520714E-06][0.519377557869523;0.279326005919533][0.570780564642139;0.244503509710238][...]],30,1073732075,0.009386115,ZDT4
NSGA-II Run 12,0.011212252,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.083344396,[[0;1]],50,00:27.0,0.000355866,120.3221211,[[1;2.21648540724773E-06][0;1.00000109747991][0.979235197781991;0.0411005615327592][0.31129726433778;0.90309521764288][...]],50,227228301,0.010414302,ZDT2
NSGA-II Run 13,0.007066722,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.107809312,[[0;1]],50,00:27.8,0.001358964,128.7710494,[[0.851815870082694;-0.773368890542154][0;1.00000000000063][0.652501743908754;-0.458263293560255][0.618411901108409;-0.124482088747604][...]],50,1644273877,0.020817847,ZDT3
NSGA-II Run 14,0.012376971,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.08241836,[[0;1]],50,00:26.1,0.001271305,120.6542897,[[0;1.00000134879925][1;6.55337474018214E-07][0.0234571663080047;0.846843952051106][0.950784945974851;0.0249186890256193][...]],50,941894026,0.011880474,ZDT1
NSGA-II Run 13,0.236713958,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045449379,[[0;1][-5;5]],30,00:27.1,0.009629048,120.4299527,[[0;1][1;0.0210956125199144][0.499511751380456;0.308788326606636][0.199247982377783;0.563044466837912][...]],30,867247124,0.013346524,ZDT4
NSGA-II Run 13,0.011606708,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.083821747,[[0;1]],50,00:27.2,0.000330427,120.3217266,[[1;4.01426457256859E-06][0;1.00000200019666][0.895263302496109;0.198507732594017][0.608910508243308;0.629230851077097][...]],50,1611192253,0.012841358,ZDT2
NSGA-II Run 14,0.006562803,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.108163619,[[0;1]],50,00:27.5,0.001351993,128.7715533,[[0;1.00000000000129][0.851827014461611;-0.773368997891853][0.652512653272619;-0.458263325380015][0.823350632786479;-0.458648269413543][...]],50,236872142,0.016091186,ZDT3
NSGA-II Run 15,0.012006836,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082400864,[[0;1]],50,00:26.2,0.000406625,120.6546598,[[0;1.00000108526059][1;5.44296314676343E-07][0.138901871287438;0.627305543742005][0.189606101054266;0.564563047345701][...]],50,742613400,0.01176325,ZDT1
NSGA-II Run 14,1.137844571,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044669042,[[0;1][-5;5]],30,00:27.5,0.044766372,119.5288221,[[0;1][1;0.105701560813584][0.337505532190365;0.480461338530713][0.0020682942071949;0.95932911902574][...]],30,1894935735,0.010456313,ZDT4
NSGA-II Run 14,0.010657303,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.082490044,[[0;1]],50,00:27.7,0.000337658,120.322676,[[0;1.00000123891636][1;2.47466774915707E-06][0.679447100447712;0.538353461098256][0.820613938587387;0.32659485202801][...]],50,1889175560,0.011637089,ZDT2
