,Absolute Distance to BestKnownHypervolume,Best known hypervolume,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,Execution Time,Generational Distance,Hypervolume,Pareto Front,ProblemSize,Seed,Spacing,TestFunction
NSGA-II Run 22,0.011272811,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081160235,[[0;1]],50,00:27.6,0.000349989,120.3220605,[[0;1.00000076851762][1;1.50695202641331E-06][0.21314078097162;0.954571917169415][0.17440071807586;0.969585260786318][...]],50,2081408432,0.012460014,ZDT2
NSGA-II Run 24,0.011729963,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.083337567,[[0;1]],50,00:26.3,0.000435171,120.6549367,[[1;4.66904787847583E-07][0;1.00000094940086][0.0229020482705287;0.848666749220658][0.677843291185701;0.176688643852959][...]],50,920231118,0.008162633,ZDT1
NSGA-II Run 23,0.006340581,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.109829958,[[0;1]],50,00:28.1,0.001373414,128.7717755,[[0;1.00000000000144][0.851844485310742;-0.773368955395986][0.652516387592867;-0.458263318570145][0.618416192318032;-0.124556967904929][...]],50,177091438,0.013436966,ZDT3
NSGA-II Run 23,1.136975179,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044367589,[[0;1][-5;5]],30,00:27.2,0.046989394,119.5296915,[[0;1][1;0.105479459120937][0.617754852886859;0.296930340551195][0.541386276899579;0.34182116804417][0.197908773267283;0.602055453503204][...]],30,219733108,0.013070309,ZDT4
NSGA-II Run 23,0.012240465,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081707887,[[0;1]],50,00:27.2,0.000399716,120.3210929,[[0;1.00000038977704][1;7.79464813164349E-07][0.506282058064544;0.7436789862761][0.274171878139603;0.924830221279897][...]],50,787786361,0.012807357,ZDT2
NSGA-II Run 25,0.013439654,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.082917417,[[0;1]],50,00:26.7,0.000410523,120.653227,[[0;1.00000068636086][1;3.43382650103755E-07][0.00612990581483164;0.92170695502948][0.103819531288159;0.677790210855348][...]],50,1563071759,0.012318462,ZDT1
NSGA-II Run 24,0.006391091,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.11268993,[[0;1]],50,00:28.6,0.001272222,128.771725,[[0;1.00000003841506][0.851854754453531;-0.773368789620258][0.652502962659815;-0.458263278038938][0.618398834512145;-0.124254028866165][...]],50,710972604,0.016524304,ZDT3
NSGA-II Run 24,1.155567946,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044279736,[[0;1][-5;5]],30,00:27.5,0.049951555,119.5110987,[[0;1][1;0.107268300747087][0.568912187321637;0.326645798730649][0.646138067793422;0.282398033869364][...]],30,1027405618,0.011451263,ZDT4
NSGA-II Run 24,0.011468655,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.081740459,[[0;1]],50,00:27.5,0.000294973,120.3218647,[[0;1.00000032593574][1;6.52029326050366E-07][0.644817912124501;0.584210370939848][0.434820989307649;0.810931161616052][...]],50,1417983774,0.012812885,ZDT2
NSGA-II Run 1,0.094056819,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.06742372,[[0;1]],30,00:26.2,0.00369823,117.4245184,[[0.280775318859211;0.925523108439172][0.999999999999806;0.00804344795727158][0.62956458322647;0.609480981182074][...]],30,400934948,0.009230712,ZDT6
