,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5866,109.8371886,113.5049593,112.7550265,112.9896166,0.715219295,0.51153864,112.1984057,113.4331361,113.4701482,111.6852889,111.6852974,113.4700888,0.000399748,111.5827662,0.895922706
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",6260,109.1164798,113.885386,113.2688557,113.6330038,0.70067795,0.490949589,112.9314237,113.8521641,113.864761,112.3165753,112.3166434,113.8647368,0.000341206,112.2010515,0.774521072
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",6387,109.6020033,115.0868753,113.284807,113.3810964,0.934993685,0.874213192,112.8101437,113.8983646,114.3237207,112.0669583,112.0669613,114.323327,0.00047871,111.7562851,0.891268888
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",6544,110.2438961,115.4849517,113.9444712,114.1836339,1.247941688,1.557358455,113.2008052,115.1566125,115.2805795,112.1250359,112.1250374,115.2805177,0.000633529,111.8718824,0.919846917
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5866,110.3925418,112.9740985,112.4610419,112.5066211,0.461448137,0.212934383,112.1806441,112.9142702,112.938174,111.8778035,111.8778231,112.9380962,0.000251014,111.7249445,0.848644244
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",6260,110.0109687,114.6107702,113.2977035,113.4980996,0.939655174,0.882951846,112.7303466,114.1317771,114.3875558,112.1196703,112.1196836,114.387554,0.000503973,111.7205201,0.939537875
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",6387,110.2079198,115.2014897,113.7581604,113.8095913,0.972109591,0.944997056,113.3735961,114.408303,114.7640815,112.4333548,112.4333877,114.7638482,0.000492352,112.18608,0.87217128
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",6544,110.2838543,115.7461267,114.2788124,115.1731269,1.514694212,2.294298556,112.8404367,115.4597015,115.6746298,111.9603481,111.9603481,115.6746177,0.000751038,111.8217926,0.877496222
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5866,110.3207644,113.229578,112.4536316,112.6568332,0.544745377,0.296747525,112.0619683,112.8462894,113.0302367,111.7726464,111.7726826,113.0301007,0.000303986,111.5621914,0.893096042
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",6260,110.0749066,114.1664067,113.2206767,113.3612512,0.714911137,0.511097934,113.0966656,113.6152932,113.8904426,112.2053852,112.2053925,113.8903715,0.00035068,112.1232228,0.785878304
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",6387,110.4810723,114.8964407,113.6012448,113.8446556,1.090131119,1.188385856,112.724302,114.71437,114.752254,112.066025,112.0660265,114.7522205,0.000571015,111.7779927,0.932864784
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",6544,110.3414938,115.0255633,113.8464243,114.0551166,1.031986326,1.064995777,113.5533983,114.6395343,114.8450792,112.3842275,112.3842283,114.845056,0.000494097,112.2299845,0.818180277
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5866,110.357872,114.2811942,113.2757706,113.3264079,0.776020337,0.602207563,112.9191461,113.7705628,114.0028347,112.1378796,112.1378891,114.0026105,0.000416855,112.053342,0.827564129
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",6260,110.2356497,115.4301355,113.6078909,113.4930502,1.025441959,1.051531212,113.1939485,113.9398108,114.9377318,112.3996235,112.3996241,114.9377091,0.000533573,111.9380735,0.884306242
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",6387,109.2434147,114.8683337,113.6932832,113.9281789,1.09936897,1.208612132,112.9528895,114.6739209,114.8268617,112.0622917,112.0622917,114.8267595,0.00056389,111.8927825,0.894504254
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",6544,110.2181753,114.6087726,113.5799925,114.2134062,1.005433725,1.010896976,113.002846,114.4082737,114.4899177,112.1382705,112.1383513,114.4898724,0.000487917,111.9837706,0.840538207
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",5866,110.3197259,113.0422999,112.2874602,112.3858113,0.484990599,0.235215881,111.8937689,112.7323786,112.8180567,111.6021401,111.6021459,112.8179765,0.000275057,111.4808561,0.922475968
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",6260,110.4717254,114.5316908,113.5174332,113.5244418,0.831944189,0.692131133,113.047097,114.1467354,114.4210283,112.418622,112.4186443,114.4209396,0.000426324,112.1832532,0.857684097
