,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 21",5786,0,989.2232083,893.322945,01:21.3,124.3010004,15450.7387,869.621123,960.976666,972.3096411,752.0633312,752.0839716,971.9505021,0.050705121,746.6583834,0.464306816
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 21",6137,0,998.5048681,935.1783278,31:30.7,148.4766245,22045.30801,966.4978323,990.5488215,993.3922523,780.7220784,780.8786291,991.8863072,0.046430577,792.7293161,0.306968464
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 21",6473,0,996.0814893,929.1547668,01:49.3,164.0766939,26921.16148,958.7943888,988.0133185,990.0742449,763.9206263,764.0177752,988.3266329,0.047382843,775.823886,0.291236295
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 21",6957,0,996.5139621,911.1227092,44:58.7,175.8883832,30936.72335,947.2119948,989.4776417,991.6769766,692.5172503,692.5301343,990.4870534,0.056356088,715.1162341,0.41412605
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 22",5786,0,993.265162,908.5246029,08:36.5,127.1005843,16154.55853,897.3987422,973.1168875,977.5880668,776.2888931,776.4928833,977.296496,0.048044652,769.5554459,0.398699492
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 22",6137,0,994.2635227,934.0895922,30:36.2,140.7159237,19800.97117,954.5994583,982.5215199,986.5109612,806.3454042,806.4157044,985.9015457,0.039945802,811.5358722,0.252963322
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 22",6473,0,999.0417267,927.0989846,36:06.9,152.0174575,23109.30738,943.5311775,986.9067093,992.1702522,767.2831694,767.3301257,991.837152,0.04672346,775.9018665,0.329898338
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 22",6957,0,998.3889031,934.2444373,12:45.2,151.6568837,22999.81039,949.0512788,989.540861,992.4709543,785.6991495,785.7274985,991.8449458,0.040426669,793.640481,0.286640038
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 23",5786,0,971.0621722,882.6310747,30:21.9,129.0717375,16659.51343,868.4866878,949.5469077,958.4378643,739.4262284,739.6079212,958.2297183,0.051560378,733.4926801,0.445267037
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 23",6137,0,996.9170402,928.6266146,51:17.4,146.2762037,21396.72777,943.9874165,986.0571004,990.0828369,777.0969052,777.2018363,989.6086824,0.046717609,785.2969888,0.320195795
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 23",6473,0,998.1160521,932.821728,04:49.5,156.3709201,24451.86466,958.8807654,989.5731795,992.0684287,778.1056099,778.1628971,990.8025584,0.045034077,787.0914549,0.289646046
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 23",6957,0,999.1001356,950.0357994,24:55.4,123.262529,15193.65107,971.5445668,991.793771,994.0012856,835.887729,835.9554935,992.9486631,0.030834094,842.7948216,0.252420957
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 24",5786,0,994.4373572,876.7698581,22:07.3,126.6623736,16043.35689,840.656575,984.6223039,988.7571682,721.6009748,721.7225753,988.1844946,0.062226531,696.7796176,0.673451927
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 24",6137,0,999.7003836,934.1523789,22:35.7,144.4970999,20879.41188,960.9326273,989.3096118,992.8971125,793.4324709,793.6552632,991.9575008,0.044446881,797.7893478,0.297006587
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 24",6473,0,997.5653743,937.9735091,31:08.0,145.6827932,21223.47625,952.1091592,987.268384,990.1296032,805.0622209,805.1018826,989.3082838,0.039209156,811.0926813,0.252962135
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 24",6957,0,999.7445955,932.5703581,30:23.7,149.8679094,22460.39026,953.3274648,992.128236,994.8066423,774.3649582,774.4139623,993.9655048,0.042755867,783.8654514,0.328321502
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 25",5786,0,994.5638062,909.5573384,47:40.4,129.9924483,16898.03661,875.5538168,983.2051766,987.7961978,736.036024,736.1148663,987.3163536,0.056297402,746.7171038,0.523348667
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 25",6137,0,996.933397,930.0587655,03:59.9,137.9264401,19023.70287,944.5731871,983.896995,988.6103606,790.6626225,790.7340395,987.9923876,0.04396292,795.1805275,0.318918538
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 25",6473,0,994.9957239,934.5024393,54:55.0,146.1320067,21354.56338,952.6790702,987.2732364,989.8783459,785.7021677,785.7936756,988.719362,0.042522025,796.9011662,0.295688366
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 25",6957,0,999.4277373,920.5023348,57:38.3,176.4998028,31152.18039,965.8196825,992.0723981,994.2103835,717.3515756,717.454424,993.0217281,0.052833834,736.7462606,0.361460617
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 26",5786,73.36961448,985.1695672,897.1424208,23:16.6,144.9932063,21023.02988,894.8728506,972.7583239,977.9375273,719.1609357,719.1824847,977.6958038,0.059954769,723.7232516,0.477092759
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 26",6137,0,999.856476,934.2172741,25:34.6,143.3579302,20551.49614,957.4305218,990.6065226,993.3991987,784.2608611,784.2673513,991.9927892,0.045965408,793.1954019,0.322716045
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 26",6473,0,996.814321,931.5050847,38:01.1,155.9683281,24326.11938,963.850752,987.1617311,990.3597003,775.4738642,775.5345161,989.8609735,0.044835232,786.4182755,0.288577892
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 26",6957,0,997.8984048,926.1642935,31:15.4,160.3308859,25705.99297,950.3735215,990.6808902,993.1566432,750.7318796,750.7687747,992.1435775,0.046783605,763.4509156,0.34346158
