,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 9",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 9",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 10",48,4,5864,1958.6875,9,2790.696437,7787986.602,4,5864,5864,4,4,5864,162.8481871,-1868.244898,0.667416182
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 10",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 10",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 11",48,4,5864,1958.583333,9,2790.770852,7788401.95,4,5864,5864,4,4,5864,162.8435736,-1868.240646,0.667342776
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 11",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 11",48,85,6385,2235,235,2966.192487,8798297.872,85,6385,6385,85,85,6385,175.0759878,-1879.285714,0.682826836
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 12",48,4,5864,1958.6875,9,2790.696437,7787986.602,4,5864,5864,4,4,5864,162.8498155,-1868.283163,0.667429529
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 10",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 12",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 12",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 13",48,4,5864,1957.333333,4,2791.663375,7793384.397,4,5864,5864,4,4,5864,162.8484585,-1869.605442,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 11",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 13",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 14",48,4,5864,1958.375,9,2790.919666,7789232.58,4,5864,5864,4,4,5864,162.8408597,-1868.385204,0.667249371
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 13",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 12",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 14",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 15",48,4,5864,1957.645833,4,2791.440324,7792139.085,4,5864,5864,4,4,5864,162.843845,-1869.184524,0.667024939
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 14",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 13",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 15",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 16",48,4,5864,1957.333333,4,2791.663375,7793384.397,4,5864,5864,4,4,5864,162.8484585,-1869.605442,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 15",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 14",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 17",48,4,5864,1958.479167,9,2790.845262,7788817.276,4,5864,5864,4,4,5864,162.8411311,-1868.287415,0.667287173
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 16",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 16",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 18",48,4,5864,1958.791667,9,2790.622015,7787571.232,4,5864,5864,4,4,5864,162.8435736,-1868.032313,0.667413963
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 17",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 17",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 15",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 19",48,4,5864,1958.791667,9,2790.622015,7787571.232,4,5864,5864,4,4,5864,162.8500868,-1868.185374,0.667467353
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 18",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 18",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 20",48,4,5864,1958.6875,9,2790.696437,7787986.602,4,5864,5864,4,4,5864,162.8536149,-1868.372449,0.667460672
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 19",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 19",48,85,6385,2235,235,2966.192487,8798297.872,85,6385,6385,85,85,6385,175.0759878,-1879.285714,0.682826836
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 16",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",50,55,6655,1723,655,2529.050802,6396097.959,55,1255,5755,55,55,5362.692308,137.517407,-1646.176471,0.628288596
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 20",48,8,6258,2091.333333,8,2977.456671,8865248.227,8,6258,6258,8,8,6258,173.6864959,-1990.29932,0.666956144
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 20",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 17",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",50,55,6955,1759,955,2354.757234,5544881.633,355,1555,5155,105,105,4878.076923,120.2016807,-1185.941176,0.553716844
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",50,35,6135,1345,185,2420.870142,5860612.245,85,285,5160,43.33333333,43.33333333,4785,119.0876351,-1572.647059,0.514220383
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 18",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 3",50,55,6955,1975,955,2568.56984,6597551.02,355,1555,6055,105,105,5708.846154,144.057623,-1554.411765,0.668418815
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",50,21,6471,1641,471,2466.427641,6083265.306,171,1071,5571,46,46,5224.846154,132.5330132,-1606.058824,0.613578765
