,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.7,5864,3,3,0.381805308,0.316300418,1.66793892,120.2848614,[[1;0.0304516336243873][0;1.05998414366506][0.241533988892818;0.554039079041654][0.111066712755552;0.716914162338046][...]],0.05989775,16,664619198,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.2,6258,3,3,0.120452549,0.258362884,1.18557918,120.5462141,[[0;1.01494239508306][1;0.00749890152309386][0.537749649845262;0.27616983343374][0.179512667060667;0.588109345025217][...]],0.089553073,16,1568938830,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.5,6385,3,3,0.290751822,0.168940547,0.780959209,120.3759148,[[1;0.0224789808334785][0;1.04434875786407][0.189829776976418;0.599179941406893][0.0888341873230475;0.739872907507962][...]],0.029106338,16,1899624207,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.0,6542,3,3,0.261731657,0.163520514,0.567810023,120.404935,[[1;0.0196034972978516][0;1.03879330486038][0.560717966826103;0.27559942183874][0.754232620094515;0.153755691086251][...]],0.042396166,16,534708010,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.2,5864,3,3,0.467387737,0.307062371,1.578628342,120.1992789,[[1;0.0378865074687538][0;1.07443657694121][0.30737745092807;0.4997603886582][0.462197352022736;0.369739685473716][...]],0.03928356,16,1547990158,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:38.5,6258,3,3,0.681695404,0.271492307,1.541810783,119.9849713,[[0;1.11053937822772][1;0.0567080236277445][0.241041302803649;0.593149554291257][0.384567824128734;0.457029157132293][...]],0.04442969,16,1926819888,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.1,6385,3,3,0.10340462,0.181652384,0.877815593,120.563262,[[0;1.01010092448793][1;0.00511675357767824][0.496732486239278;0.301778950790149][0.72690377441963;0.153298411578765][...]],0.046855739,16,1676360614,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.7,6542,3,3,0.115168744,0.158692159,0.471510533,120.5514979,[[1;0.0070099548227896][0;1.01012463310456][0.261915118924196;0.498335626248352][0.849018027604545;0.0852156402342184][...]],0.046225234,16,421228094,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.4,5864,3,3,0.47075984,0.267029114,1.621780774,120.1959068,[[0;1.07443869862826][1;0.0378839286225417][0.691872025238302;0.212287232654058][0.856622356631086;0.115067724667392][...]],0.044868651,16,683872777,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:38.8,6258,3,3,0.165049394,0.237241464,1.315474198,120.5016173,[[1;0.0102867129612681][0;1.01960184945454][0.461189053608948;0.335663354728341][0.00857034540048601;0.930357832847409][...]],0.116958779,16,2086690869,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.3,6385,3,3,0.296943221,0.199110886,0.983377255,120.3697234,[[0;1.04494506951253][1;0.0227254148530654][0.787153104546957;0.139246696635252][0.658193597026823;0.216526289352889][...]],0.043353584,16,1547271998,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.9,6542,3,3,0.102532565,0.157523907,0.523814654,120.5641341,[[1;0.00571808871242678][0;1.01140643156925][0.0793622257620726;0.728091402504917][0.0194390336604978;0.871190662098078][...]],0.040363173,16,660756551,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.6,5864,3,3,0.583813782,0.270136931,1.789389179,120.0828529,[[0;1.09442450947866][1;0.048269335704304][0.767057456373565;0.17819820378501][0.388650570244536;0.442360483368277][...]],0.042599831,16,1716327913,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.2,6258,3,3,0.323441769,0.233676208,1.394726708,120.3432249,[[1;0.0250046688418982][0;1.04906548288829][0.0354539099546442;0.85680757165144][0.31155585212555;0.47736877570893][...]],0.06451851,16,435033549,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.9,6385,3,3,0.180707254,0.187392343,0.967410605,120.4859594,[[0;1.02487871337942][1;0.012515654012899][0.519625052209114;0.295116111400685][0.848372864052261;0.0924204811026535][...]],0.029890891,16,83684515,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.6,5864,3,3,0.181736462,0.272381786,1.639328892,120.4849302,[[0;1.01865185079289][1;0.0126828535826213][0.498246483626557;0.31095710380588][0.645818408817678;0.20883609918807][...]],0.046904935,16,1105538381,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:47.1,6542,3,3,0.122734778,0.138928525,0.430581496,120.5439319,[[0;1.01537038606305][1;0.00772148835748196][0.868388469045597;0.0763631517880636][0.735772752752538;0.151315205432919][...]],0.036756294,16,1521385792,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.1,6258,3,3,0.323688524,0.269307808,1.162238868,120.3429781,[[1;0.0246931798669332][0;1.0488050313155][0.50879619001658;0.318306518491875][0.69186806005127;0.196962985065147][...]],0.128015694,16,1963990377,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.5,6385,3,3,0.135271389,0.187356458,0.796026506,120.5313953,[[0;1.01711427005184][1;0.00856245098667787][0.201749999647963;0.564167694898774][0.0882395976365487;0.717479233349456][...]],0.031461584,16,1725337576,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 6",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:37.3,5864,3,3,0.624925457,0.270019643,1.806833203,120.0417412,[[1;0.0511489253200689][0;1.09991917392144][0.429537594561719;0.412585846803056][0.635990461468137;0.263554444157787][...]],0.040569927,16,1166771103,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:47.5,6542,3,3,0.18956502,0.1335507,0.351479153,120.4771016,[[1;0.0136863767681375][0;1.02738784786277][0.499457232499102;0.311033767742958][0.816880952403008;0.111287411936092][...]],0.033003745,16,1460966324,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.6,6258,3,3,0.30653168,0.273900114,1.652897766,120.360135,[[1;0.0239557801098128][0;1.04734656743405][0.585477543495014;0.264301221156111][0.83000660535401;0.1149973068523][...]],0.03592147,16,1094410234,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:40.1,6385,3,3,0.152338674,0.190858842,0.805633576,120.514328,[[1;0.0102693603643745][0;1.02043671961268][0.0490711283249478;0.796694244475335][0.88293708835799;0.07124551350758][...]],0.032862398,16,294001791,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 7",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.8,5864,3,3,0.231734935,0.296250131,1.389954541,120.4349317,[[1;0.0171967966339198][0;1.03407151563488][0.454859993439573;0.348337638795681][0.244058710414219;0.531805075360088][...]],0.09581711,16,1036687098,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 7",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.8,6258,3,3,0.296022739,0.254940884,1.442765279,120.3706439,[[1;0.0231174787435423][0;1.04566993926748][0.471099113637531;0.343841111197042][0.349963070894283;0.440756220611627][...]],0.039317349,16,1867578408,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 7",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:40.2,6385,3,3,0.391318729,0.167411743,0.703795331,120.2753479,[[0;1.06209387770776][1;0.0315023613271204][0.0261851182121296;0.895349034012382][0.748581784758156;0.170434021057985][...]],0.032712764,16,192886771,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:47.6,6542,3,3,0.095677971,0.135511638,0.329275146,120.5709887,[[1;0.00537927069244198][0;1.01072668913851][0.145426376437456;0.62738925059018][0.0655383362270483;0.756298168674062][...]],0.029903883,16,945043387,32
