,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 11",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.0,6955,5,5,3.326114176,0.358452976,2.966684607,114.192461,[[0.280775318815369;1.10103889940157][0.999999999985798;0.31271105227207][0.925392283753591;0.435645684855989][...]],0.051415871,10,1755712058,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:44.0,5784,5,5,11.526567,0.354973122,4.842860981,105.9920082,[[1;1.08805029618788][0.280775318815372;1.63557129868795][0.86605666611733;1.23661279065494][0.580118187606551;1.48239851707174][...]],0.050769544,10,900247025,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 11",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.1,6471,5,5,5.240504602,0.316044926,4.084542459,112.2780706,[[0.280775318815369;1.21535986941727][1;0.494037502011961][0.754030641380185;0.831909544724662][0.859591630850474;0.698490640043555][...]],0.052170935,10,2078334512,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 11",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:45.9,6135,5,5,1.93525978,0.265355624,4.165872951,115.5833154,[[0.999999880617074;0.179516552611391][0.280775318815369;1.03207612650941][0.823415657731333;0.488633038034765][...]],0.047017005,10,951955542,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 12",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.0,6955,5,5,2.938715633,0.417426307,2.777433823,114.5798596,[[0.280775318815369;1.07871113037436][1;0.275894985630716][0.65278564441377;0.77603634585218][0.756793488239724;0.648264808668596][...]],0.300110418,10,1949286680,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:43.9,5784,5,5,8.98220978,0.273353333,5.358457963,108.5363654,[[1;0.84751688554215][0.28077531881537;1.4576250794896][0.772569422091356;1.11452893741706][0.509846310309703;1.33767973243164][...]],0.05384598,10,1250734376,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 12",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.0,6471,5,5,2.029643882,0.35257712,3.633361857,115.4889313,[[0.999031168712043;0.189064526257287][0.280775318815369;1.02652502662708][0.922197137731193;0.323975465044625][...]],0.042354198,10,1054560377,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 12",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.4,6135,5,5,2.923918011,0.344592771,4.444898553,114.5946572,[[0.280775318815369;1.26298611165762][0.943769735973379;0.276040747395454][0.697662265527469;0.646033364879106][...]],0.079357123,10,57288749,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 13",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.2,6955,5,5,1.900204491,0.287594729,3.678524876,115.6183707,[[0.280775318815369;1.02015727098912][0.9999999999938;0.176853125787856][0.524183524522268;0.840784888947094][...]],0.037271566,10,1935289039,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 13",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:43.8,5784,5,5,0.493477688,0.414403407,4.780831205,117.0250975,[[0.999999998750271;0.0430475967576921][0.280775318815383;0.944599214470722][0.342900712437876;0.906678119348516][...]],0.067646089,10,387871267,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 13",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:46.9,6471,5,5,1.339388304,0.308477733,3.001993589,116.1791869,[[0.280775318815369;0.989429032101779][0.999999978802622;0.123308425603495][0.569743169297734;0.758342760871902][...]],0.206295791,10,1335741107,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 13",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.1,6135,5,5,2.571820422,0.285163264,4.549509448,114.9467548,[[1;0.240715558578376][0.280775318815369;1.0576604924806][0.917853176834244;0.380780125787863][0.820397377905575;0.530788007703958][...]],0.036889658,10,1070922070,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 14",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.6,6955,5,5,1.507736832,0.387445412,3.028149361,116.0108384,[[1;0.1395631892461][0.280775318815369;0.998688300343296][0.464592079522648;0.870904899238422][0.716850820088564;0.59294776246852][...]],0.072531913,10,1308519533,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 14",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:44.1,5784,5,5,1.059874639,0.426527126,4.800168377,116.4587006,[[0.28077531881537;0.974496744983043][1;0.0968667120035912][0.853262286407807;0.355958253706501][0.729430837694822;0.542682687702665][...]],0.060397919,10,88663114,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 14",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.8,6471,5,5,1.838547116,0.384473526,3.723535744,115.6800281,[[0.280775318815369;1.01635335875014][1;0.170286033593933][0.691840980851487;0.650906650487353][0.904660728596981;0.337070982356959][...]],0.040753847,10,1080625291,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 14",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.5,6135,5,5,3.569597018,0.266464433,4.325697932,113.9489782,[[0.280775318815369;1.11514006945239][1;0.335710204807414][0.399706917136221;1.0466616768305][0.795583456810223;0.646281379843028][...]],0.068583374,10,2083830577,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 15",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:47.7,6955,5,5,4.402734256,0.295629729,3.379319055,113.1158409,[[0.280775318815369;1.16423004024404][0.999999999994642;0.414343727599486][0.883292450187555;0.593270204723846][...]],0.033660746,10,2079222589,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 15",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:43.9,5784,5,5,5.627113893,0.339274867,4.895468794,111.8914613,[[0.28077531881537;1.23998964691963][1;0.530053767589563][0.721039840730974;0.900239286632874][0.537798237038047;1.07823111799472][...]],0.073548944,10,590560371,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 15",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.2,6135,5,5,2.779665817,0.286027031,4.477849535,114.7389094,[[0.280775318815369;1.0692035062746][0.999981194211477;0.260207506840667][0.622256925343851;0.798363058732038][...]],0.04297413,10,372282976,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 15",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,00:47.4,6471,5,5,0.863580015,0.403799259,3.469942304,116.6549952,[[1;0.0783740499722713][0.280775318815369;0.964148555705465][0.78856978975702;0.442003104362049][0.676235913694096;0.600228580300373][...]],0.053125203,10,1782482588,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 16",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,00:48.2,6955,5,5,3.554213775,0.281456038,3.1361411,113.9643614,[[0.280775318815369;1.11146967910143][0.996654793542122;0.334151529205032][0.530208649492404;0.939365025643394][...]],0.036525647,10,1504004691,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 16",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,00:43.3,5784,5,5,7.578698569,0.215526878,4.328788942,109.9398766,[[0.28077531881537;1.36368973797003][0.99999968225006;0.714633546102762][0.726968200334428;1.04686599838321][...]],0.072939345,10,838800383,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 16",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,00:46.4,6135,5,5,0.161438522,0.35087868,4.339295989,117.3571367,[[0.280775318815369;0.927244023588748][1;0.011242222617923][0.382539828197338;0.860120452040038][0.582313663737463;0.668448406632107][...]],0.043773869,10,1684822499,20
