,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 48",30,4,5864,2934.333333,2936.5,2979.750317,8878911.954,4,5864,5864,4,4190.428571,4.625,-220.3248053,6129.043011,0.423710029
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 49",25,4,5864,3052,5864,2987.177109,8923227.083,4,5864,5864,4,4888.166667,4,-297.5576923,6622.692308,0.537467897
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 50",32,4,5864,1654.9375,11.5,2675.084695,7156078.125,4,5864,5864,4,2939,5.875,-149.4281525,3971.073864,0.274582246
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 49",34,4,5864,2589.735294,9,2951.810213,8713183.534,4,5864,5864,4,5130.875,4,-217.5362872,6179.084034,0.538582549
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 51",6,182,10982,6182,7382,4918.536368,24192000,182,10982,10982,182,182,9182,2057.142857,1039.142857,0.612244898
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 50",6,182,10982,8082,10982,4684.869262,21948000,4382,10982,10982,182,182,7682,600,6582,0.05740842
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 50",29,4,5864,1623.482759,9,2662.067653,7086604.187,4,5844,5864,4,4189,4,-153.0270936,3765.862069,0.239572238
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 51",31,4,5864,1330.935484,9,2488.61095,6193184.462,4,34,5864,4,4193.285714,4,-167.9193548,3849.725806,0.376372535
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 51",31,4,5864,2084.483871,9,2849.297971,8118498.925,4,5864,5864,4,5027.571429,4,-236.3044355,5629.050403,0.568588977
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 52",35,4,5864,2180,9,2868.473872,8228142.353,4,5864,5864,4,3665.25,4,-173.8235294,5135,0.385571238
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 52",32,4,5864,2568.0625,4,2953.255021,8721715.222,4,5864,5864,4,3667.75,4,-191.2335044,5532.181818,0.368985022
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 53",39,4,5864,1659.512821,9,2669.754521,7127589.204,4,5864,5864,4,3913.444444,4.5,-142.4109312,4365.320513,0.369902565
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 52",12,182,10982,4307,1382,4997.294723,24972954.55,332,10982,10982,182,282,4182,269.5804196,2824.307692,0.0378312
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 51",7,182,10982,6010.571429,5582,4941.22599,24415714.29,1082,10982,10982,182,182,3332,492.8571429,4532,0.046427945
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 53",28,4,5864,2310.785714,14,2910.660869,8471946.693,9,5864,5864,6.857142857,3361.857143,6.857142857,-197.4822113,4976.795567,0.311492455
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 54",27,4,5864,3042.888889,5844,2981.867101,8891531.41,4,5864,5864,4,4885.666667,4,-275.3663004,6622.650794,0.537261304
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 54",25,4,5864,3754.8,5864,2870.25793,8238380.583,4,5864,5864,4,5864,4.714285714,-315.5076923,7540.892308,0.654500773
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 55",32,4,5864,2568.6875,9,2952.056401,8714636.996,4,5864,5864,4,4400.25,4,-227.71261,6098.232955,0.523609518
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 53",7,182,10982,5839.142857,7382,5442.688411,29622857.14,182,10982,10982,182,182,3782,514.2857143,4296.285714,0.041666667
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 52",6,182,10982,7432,9182,4507.660147,20319000,4082,10982,10982,182,182,7532,865.7142857,5267.714286,0.129096623
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 55",37,4,5864,2380.621622,9,2915.980646,8502943.131,4,5864,5864,4,5864,4.5,-222.278331,6381.631579,0.680814904
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 56",33,4,5864,2136.272727,4,2861.590492,8188700.142,4,5864,5864,4,4402.75,4,-199.9114305,5334.855615,0.456322514
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 56",31,4,5864,2462.709677,9,2937.991935,8631796.613,4,5864,5864,4,5028.285714,4,-229.2943548,5902.125,0.503519104
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 57",33,4,5864,1958.69697,9,2804.283537,7864006.155,4,5864,5864,4,2935.875,4,-160.6433824,4528.991087,0.306826909
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 57",24,4,5864,3667.125,5864,2897.15333,8393497.418,6.5,5864,5864,4,4888.166667,1957.333333,-191.1195652,5865,0.217589203
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 58",31,4,5864,2085.290323,14,2848.692088,8115046.613,4,5864,5864,4,5028.285714,4,-215.1108871,5311.953629,0.471372443
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 54",7,182,10982,4210.571429,1082,4944.260742,24445714.29,482,10982,10982,182,182,782,300,3310.571429,0.017180926
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 53",8,182,10982,4982,4982,4756.949803,22628571.43,182,9182,10982,182,3782,1382,-485.7142857,6682,0.062554113
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 58",32,4,5864,2385.40625,9,2923.430992,8546448.765,4,5864,5864,4,4399.625,4,-185.8531891,5266.130682,0.35566163
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 59",34,4,5864,2245.764706,9,2889.625089,8349933.155,4,5864,5864,4,4400.25,4,-178.2414057,5186.747899,0.377311388
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 59",43,4,5864,1641.325581,9,2658.319006,7066659.939,4,5864,5864,4,2936,4,-118.6106916,4132.150106,0.313887029
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 60",35,4,5864,2182.428571,9,2871.364139,8244732.017,4,5864,5864,4,3667.75,5.111111111,-152.6568627,4777.595238,0.296787374
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 60",31,4,5864,1896.258065,9,2783.263025,7746553.065,4,5864,5864,4,5026.857143,5.875,-222.0846774,5227.528226,0.526331203
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 61",29,4,5864,2833.827586,14,2979.242318,8875884.791,4,5864,5864,4,5028.285714,4,-262.7315271,6512.068966,0.563833311
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 55",7,182,10982,5067.714286,4082,4802.231624,23061428.57,782,10982,10982,182,182,782,-171.4285714,5582,0.00594685
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 54",8,182,10982,6519.5,7382,4590.343124,21071250,2132,10982,10982,182,3782,2132,-232.1428571,7332,0.015345166
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 62",31,4,5864,1896.096774,9,2783.375281,7747177.957,4,5864,5864,4,3353.285714,4.625,-165.3830645,4376.842742,0.291856227
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 61",31,4,5864,2462.709677,9,2938.322925,8633741.613,4,5864,5864,4,4191.142857,4,-219.7741935,5759.322581,0.462471282
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 63",36,4,5864,1797.472222,9,2735.695477,7484029.742,4,5864,5864,4,3911.777778,656.7777778,-130.488417,4081.01952,0.252540711
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 62",33,4,5864,2668.242424,9,2962.238153,8774854.877,4,5864,5864,4,5130.875,4.555555556,-244.7526738,6584.285205,0.638302519
