,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 15",7017,1218.374851,1331,1329.869393,33:06.2,2.977611067,8.866167665,1329.47384,1330.999867,1330.999986,1327.393782,1328.840459,1330.429676,0.000304917,1328.799746,0.043033792
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",6260,1234.32442,1331,1330.608078,02:26.6,2.461697305,6.059953621,1330.435068,1330.997445,1330.999794,1329.897003,1330.395494,1330.700379,6.68E-05,1330.399014,0.002405353
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 9",6387,1227.386441,1331,1330.43022,52:02.9,2.284486311,5.218877707,1330.23174,1330.877318,1330.978046,1329.656636,1330.078447,1330.581207,0.000111431,1330.074421,0.008089404
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 16",5985,1210.000007,1331,1330.656815,59:59.8,4.967628749,24.67733539,1330.999346,1.33E+03,1331,1329.627135,1330.058855,1330.848888,0.000202129,1330.052046,0.004942853
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 7",6260,1213.468104,1331,1330.581597,58:05.5,2.065463598,4.266139875,1330.33338,1.33E+03,1330.999852,1329.864329,1330.452445,1330.647404,4.25E-05,1330.44856,0.001383564
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 15",9028,1210,1331,1328.157246,08:17.7,10.51885539,110.6463186,1328.453225,1330.828886,1330.98276,1322.426499,1324.151296,1329.552094,0.000904084,1324.07666,0.050180041
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 10",6387,1222.097387,1331,1330.461049,36:22.4,1.440828815,2.075987674,1330.210084,1330.865067,1330.972276,1329.817505,1330.26984,1330.568385,6.03E-05,1330.268444,0.005959264
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 16",7017,1210,1331,1329.759146,44:08.2,4.801665488,23.05599146,1329.346616,1330.999721,1330.999977,1327.212984,1328.926907,1330.203215,0.000272215,1328.804218,0.013189317
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 8",6260,1210.000207,1331,1330.599631,30:53.8,2.196686137,4.825429984,1330.407279,1330.996136,1330.999689,1329.893139,1330.380368,1330.691966,6.78E-05,1330.387385,0.003113366
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 17",5985,1210,1331,1330.55216,59:59.7,6.066360785,36.80073317,1330.998497,1.33E+03,1331,1329.208582,1329.642839,1330.851953,0.000301715,1329.64943,0.007385093
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 11",6387,1210.000366,1331,1330.451024,13:48.4,2.17058807,4.711452572,1330.212363,1330.85833,1330.970934,1329.795693,1330.208387,1330.561113,7.53E-05,1330.210654,0.00408965
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 9",6260,1221.801688,1331,1330.544012,51:52.3,2.78622915,7.763072878,1330.348619,1330.995198,1330.999636,1329.736648,1330.266906,1330.625611,9.14E-05,1330.258048,0.003512992
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 16",9028,1301.999512,1331,1328.800352,20:03.2,2.978443695,8.871126842,1328.214862,1330.885804,1330.989781,1325.126901,1326.695966,1329.632268,0.000439351,1326.817343,0.147806579
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 12",6387,1210.037666,1331,1330.449111,42:58.6,2.175117338,4.731135435,1330.207568,1330.887191,1330.979808,1329.746854,1330.163196,1330.551722,8.13E-05,1330.189602,0.004747043
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 17",7017,1253.576561,1331,1329.943321,52:30.3,2.011292249,4.045296513,1329.375015,1.33E+03,1330.999987,1327.838693,1329.399272,1330.127106,0.000144563,1329.436193,0.02120069
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 10",6260,1210.498074,1331,1330.652014,49:33.5,2.179722676,4.751190943,1330.468587,1.33E+03,1330.999892,1329.998511,1330.529684,1330.731794,4.89E-05,1330.499015,0.001643087
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 18",5985,1210.001473,1331,1330.693669,59:59.4,4.244289335,18.01399196,1330.999011,1.33E+03,1331,1329.774653,1330.148516,1330.894293,0.000181522,1330.150554,0.005460964
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 13",6387,1219.370086,1331,1330.43982,51:16.3,2.230345801,4.974442394,1330.249699,1330.895881,1330.980307,1329.669954,1330.175322,1330.541509,8.12E-05,1330.180633,0.004503644
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 11",6260,1325.653805,1331,1330.61241,21:12.5,0.422286719,0.178326073,1330.340003,1.33E+03,1330.999631,1330.031293,1330.573751,1330.601744,1.10E-05,1330.577852,0.002233408
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 17",9028,1210.416292,1331,1328.836105,47:01.1,5.70367923,32.53195675,1328.401188,1330.832117,1330.981698,1325.269081,1326.886828,1329.666776,0.000442103,1326.840675,0.04081182
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 18",7017,1210.000717,1331,1329.913733,55:25.8,2.512230277,6.311300967,1329.493983,1330.999829,1330.999978,1327.559888,1329.062452,1330.08151,0.000194245,1329.232321,0.024533787
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 14",6387,1210.001637,1331,1330.475163,59:00.5,2.173564348,4.724381976,1330.263045,1330.886883,1330.97957,1329.807923,1330.23213,1330.604652,8.10E-05,1330.216498,0.004722971
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 19",5985,1215.995376,1331,1330.796608,59:59.5,2.556554906,6.535972989,1330.998746,1.33E+03,1331,1330.18648,1330.622155,1330.829337,6.02E-05,1330.616491,0.001655373
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 12",6260,1281.13966,1331,1330.633443,37:39.9,0.726805086,0.528245633,1330.386153,1330.994777,1330.99962,1330.08132,1330.552452,1330.640587,2.02E-05,1330.570277,0.002518988
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 15",6387,1315.670952,1331,1330.465729,28:56.4,0.527461918,0.278216075,1330.191496,1330.876428,1330.976469,1329.838028,1330.34872,1330.533464,4.13E-05,1330.33387,0.020841016
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 13",6260,1215.645371,1331,1330.529899,28:05.1,3.581315869,12.82582335,1330.370593,1330.998162,1330.99986,1329.62477,1330.17059,1330.658711,0.000115498,1330.168447,0.003397056
