,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 48",5866,1210.000002,1331,1330.957271,1331,2.234139503,4.99137932,1331,1331,1331,1330.829024,1330.8339,1330.996898,4.18E-05,1330.834797,0.001002219
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 49",5866,1210.091961,1331,1330.977529,1331,1.578973148,2.493156202,1331,1331,1331,1330.910087,1330.917092,1330.997851,2.07E-05,1330.916922,0.000491371
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 50",5866,1313.215262,1331,1330.995513,1331,0.233489931,0.054517548,1331,1331,1331,1330.982048,1330.986626,1330.998399,2.89E-06,1330.987037,0.00043951
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 49",5866,1210,1331,1330.936456,1331,2.735982423,7.485599819,1331,1331,1331,1330.745739,1330.751235,1330.99746,6.29E-05,1330.75187,0.001518006
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 51",10984,1210.000046,1331,1328.544354,1329.141247,2.861010571,8.185381488,1327.923195,1329.902873,1330.74617,1325.299836,1326.554736,1329.08619,0.000315072,1326.814134,0.121944187
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 50",10984,1211.614809,1331,1328.817727,1329.388184,3.407204624,11.60904335,1328.092044,1329.950142,1330.787733,1325.940326,1327.341329,1329.438068,0.000257501,1327.403659,0.057430366
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 50",5866,1217.647051,1331,1330.978404,1331,1.480263335,2.191179541,1331,1331,1331,1330.913588,1330.920092,1330.998912,2.01E-05,1330.919575,0.000526767
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 51",5866,1210.018137,1331,1330.957531,1331,2.233763117,4.989697662,1331,1331,1331,1330.830067,1330.833188,1330.999265,4.24E-05,1330.83331,0.001031375
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=0} Run 51",5866,1210.000122,1331,1330.957514,1331,2.234085023,4.99113589,1331,1331,1331,1330.829999,1330.833657,1330.998426,4.22E-05,1330.833795,0.001022758
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=5, NonDominatedElites=1} Run 52",5866,1210.004849,1331,1330.895147,1331,3.53120995,12.46944371,1331,1331,1331,1330.580444,1330.586358,1330.998914,0.000105458,1330.585892,0.002557923
