,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 49",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",31:20.3,10982,0,10,8,1.381552184,1330.988289,2.132408712,0.957402039,1329.606737,[[1;0;0][5.89681503889776E-17;3.70842256689348E-17;2.248937512318][6.12303176911189E-17;0;1.0135735076006][...]],0.568554473,5,225328683,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 48",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",31:22.1,10982,1,10,8,1.077473917,1330.994905,∞,0.117360084,1329.917431,[[1;0;0][5.3431764087321E-17;1.36641588163872;0.764716269876299][6.12303176911189E-17;0;1.01499317892378][...]],0.548575099,5,306835462,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 34",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",31:22.3,10982,3,10,8,0.182676459,1330.998599,1.081932655,0.188283837,1330.815923,[[1;0;0][6.12303176911189E-17;0;1.01047952499735][3.74915180455534E-33;6.18719823359588E-17;1.01047952499735][...]],0.403920921,5,1479102057,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 50",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",31:23.0,10982,0,10,8,1.242707373,1330.959572,2.349126464,1.102077827,1329.716865,[[1;0;0][3.74915180455534E-33;6.15830539395344E-17;1.0057608103586][6.12303176911189E-17;0;1.0057608103586][...]],0.619331076,5,1930788816,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 49",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",31:19.8,10982,1,10,8,1.545081889,1330.999861,1.716758641,0.573688237,1329.454779,[[1;0;0][6.1104482263617E-17;3.06417650173452;0.196751105664168][3.74915180455534E-33;6.17529369927544E-17;1.00853530279349][...]],0.594010697,5,1801013129,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 35",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",26:24.3,10982,3,10,8,2.016094768,1330.998679,1.048947466,0.432965081,1328.982584,[[1;0;0][5.63905985451496E-17;4.918645568582E-17;2.06154666550457][6.12303176911189E-17;1.99231458850477;0][...]],0.802443593,5,1990944760,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 36",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:57.9,10982,3,10,8,1.726841592,1330.995209,2.365339366,0.627280784,1329.268367,[[1;0;0][6.12303176911189E-17;2.80932126466059;0][5.98444899079463E-17;2.78600957117055E-17;2.15080520281817][...]],0.735852367,5,2108503729,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 37",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:55.5,10982,3,10,8,1.219923268,1330.995224,3.076411684,1.113031197,1329.7753,[[1;0;0][6.07682888262285E-17;5.66016303611419;0.699300635636427][5.06797004496312E-17;5.429582101401E-17;1.58013061475459][...]],0.913340609,5,679446144,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 38",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:56.8,10982,3,10,8,1.473508563,1330.995166,2.753947708,0.937178557,1329.521657,[[1;0;0][6.12194477299538E-17;5.66698658021962E-18;4.91200962606317][6.12303176911189E-17;1.54918233773817;0][...]],0.861053207,5,526951102,10,DTLZ2
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3} Run 39",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=3}",21:55.7,10982,3,10,8,2.056197376,1330.995701,1.988639115,1.601748161,1328.939504,[[1;0;0][6.11764858277141E-17;1.31365593260558E-17;5.11751525903715][6.10238986660365E-17;2.23227037214113;0.1837611200528][...]],0.431680012,5,67451897,10,DTLZ2
