,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 10",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:46.8,5784,1,5,5,461.190447,1330.381387,9.451831718,9.873151464,869.1909405,[[0;0;15.7555095395713][11.913802044333;0;0][0;11.9143564800989;0][5.17464810635319;6.46091750355831;0.163652135948142][...]],1.163606167,10,440752405,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:47.9,5784,0,5,5,514.6326485,1330.381387,9.732281693,10.95215042,815.748739,[[0;14.7406731219583;0][0;0;10.563718871498][14.7406731223724;0;0][3.4054082661263;3.3411709329537;7.99409392824786][...]],1.25374956,10,2084858386,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 8",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",32:27.3,9026,0,10,9,0.056982242,1330.995492,0.708206922,0.038340558,1330.93851,[[0;0;0.500659113369661][0.500659113369661;0;0][0;0.500535183392003;0][0.241598650310092;0.186438205018045;0.142678951776046][...]],0.087649347,5,1692644411,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:59.4,5784,0,5,5,34.47343603,1330.381387,3.911282119,3.994521575,1295.907951,[[0;0;5.67960996313498][0;5.67961042928352;0][5.67961042928352;0;0][1.07599549789589;1.66240795067416;2.94120711019389][...]],0.614215024,10,2100690991,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:01.5,5784,1,5,5,2.164516591,1330.64971,1.994628982,1.731569141,1328.485193,[[0;0;2.73379785705315][0;2.73379785705315;0][2.73379785705315;0;0][0.35254584747596;0.273064834208255;2.10795578110475][...]],0.172135804,10,1244233162,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 9",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",38:23.1,9026,1,10,9,0.043827623,1330.99673,1.029835472,0.005116737,1330.952902,[[0;0;0.500000217502905][0.500000217502905;0;0][0;0.500000217502905;0][0.110082536061662;0.110082536061662;0.27983514537958][...]],0.039536247,5,1976673574,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 13",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:10.4,5784,0,5,5,64.77958765,1330.630345,5.038033429,5.099840971,1265.850757,[[7.1027839056745;0;0][0;0;7.1027607598758][0;7.10273513098319;0][0.922858439258792;5.72846449945603;0.45146407512283][...]],0.575493467,10,635099718,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:11.9,5784,1,5,5,26.09819963,1330.381387,3.928432402,3.888335696,1304.283188,[[0;0;5.5038880125685][0;5.50388802637062;0][5.5038880125685;0;0][0.650829259829157;0.979986607240349;3.89424325605948][...]],0.455531802,10,649687722,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 9",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",30:58.6,9026,0,10,9,0.046975744,1330.99136,0.562222823,0.075856614,1330.944384,[[0;0.500009704036597;0][0.500009692997072;0;0][0;0;0.500009745799101][0.166937518601446;0.371214712511037;0.24966875029852][...]],0.073552421,5,983191486,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 14",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",17:07.5,5784,0,5,5,18.02341531,1330.381387,2.693261962,2.687469919,1312.357972,[[3.99353350123964;0;0][0;0;3.99353350123964][0;3.99353350123964;0][0.642140497390676;2.08860912315939;1.26278388068958][...]],0.290134658,10,175231390,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 13",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:08.7,5784,1,5,5,9.885062977,1330.381387,3.353840179,3.30823254,1320.496325,[[0;0;4.69698340754602][4.69698340754602;0;0][0;4.69698340754602;0][0.659651932585257;3.19707570606075;0.840255768900007][...]],0.420227552,10,2067765844,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 10",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",31:56.8,9026,1,10,9,0.042872847,1330.995783,0.704759579,0.038036136,1330.95291,[[0.500003468166643;0;0][0;0.500003468166643;0][0;0;0.500003468166643][0.176983846547884;0.123920437307619;0.301519778700191][...]],0.134601865,5,1309409452,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 15",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:27.9,5784,0,5,5,0.025979472,1330.98438,0.85717241,0.557018803,1330.958401,[[0;1.2185625254964;0][1.2185625254964;0;0][0;0;1.2185625254964][0.123603212447134;0.460431167538553;0.636069894794333][...]],0.171885809,10,444334074,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 14",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:26.1,5784,1,5,5,203.6967187,1330.381387,7.63549329,7.859769214,1126.684669,[[0;10.4789811963008;0][10.4789811963027;0;0][0;0;10.4789811958705][1.48677836228953;0.671981467947553;8.32022136563093][...]],0.461848818,10,1813604170,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 10",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",30:43.7,9026,0,10,9,0.052184365,1330.999135,0.702790132,0.040117845,1330.946951,[[0.500000002122391;0;0][0;0;0.500000002122391][0;0.500000002122391;0][0.348608308042998;0.0496803615342814;0.222320473137554][...]],0.075690487,5,1023869562,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 16",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:35.9,5784,0,5,5,65.8991588,1330.381387,6.24102404,6.469996362,1264.482229,[[0;8.73803746888823;0][8.73878817505834;0;0][0;0;8.7379929804322][2.18459763116326;2.18459763116326;4.36919526232651][...]],1.016754453,10,1909563604,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 15",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:36.9,5784,1,5,5,27.97093707,1330.381387,4.250173618,4.410998041,1302.41045,[[0;0;6.11278960511489][0;6.11278960511489;0][6.11278960511489;0;0][3.05639480255744;3.05639480255744;0][...]],0.87842764,10,416697594,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 11",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",31:19.6,9026,1,10,9,0.063089017,1330.998467,1.161911864,0.077760258,1330.935378,[[0;0;0.588731257751729][0.588731314150881;0;0][0;0.588415731890912;0][0.367514150738558;0.205766469707218;0.0153351955201332][...]],0.083824953,5,712346491,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 17",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:51.5,5784,0,5,5,332.361724,1330.381387,7.598250083,7.981859424,998.0196635,[[10.6369888946198;0;0][0;0;10.5744153601543][0;10.5934936523413;0][6.55967127513827;2.94161677184284;1.13579888053796][...]],1.129464164,10,680152753,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 16",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:52.4,5784,1,5,5,175.831348,1330.381387,7.230735639,7.505793027,1154.550039,[[0;9.98799716982363;0][0;0;9.98799716911628][9.98799716911628;0;0][3.86399052969953;2.48046589043181;5.14406194423871][...]],1.241930463,10,873109492,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 11",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",31:21.8,9026,0,10,9,0.049706715,1330.993957,0.91626475,0.004478917,1330.94425,[[0.500008049298916;0;0][0;0;0.500008049298916][0;0.500008049298916;0][0.185463173148973;0.230793527892375;0.0837513482575685][...]],0.075454355,5,891844360,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 12",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",33:36.2,9026,1,10,9,0.376948542,1330.977132,1.840836694,0.424430502,1330.600183,[[1.00715400299044;0;0][0;0;1.00715400299044][0;1.00715400313628;0][0.23736495813075;0.42948998075223;0.34031036961066][...]],0.168369885,5,309892510,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 18",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",18:35.0,5784,0,5,5,153.3304737,1330.381387,5.791115764,6.013156905,1177.050914,[[0;0;8.16839410790849][0;8.16841009006587;0][8.16841009006587;0;0][2.06601856280829;3.31284977466857;2.78956185793297][...]],0.75975135,10,346944672,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 17",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",18:35.2,5784,1,5,5,469.3472526,1330.381387,9.558329611,10.1429623,861.0341349,[[0;0;13.5868421661743][0;13.5868421661743;0][13.5868421661743;0;0][7.49659614364795;1.18867462588634;4.90157192847649][...]],1.254248615,10,249984892,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 19",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",18:24.4,5784,0,5,5,161.756982,1330.381387,6.423348483,6.852322609,1168.624406,[[0;9.24448448515004;0][0;0;9.13190930226159][9.14142776044385;0;0][6.04037959386892;0.587642350599551;2.50388735779311][...]],1.500891426,10,1768130926,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 18",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",18:22.9,5784,1,5,5,36.73619544,1330.529133,3.651063598,3.76863899,1293.792938,[[5.35241349845715;0;0][0;5.35241349843495;0][0;0;5.35241349844472][1.71655818465516;0.777269098795547;2.85858621499899][...]],0.603188035,10,305492679,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 12",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",34:38.2,9026,0,10,9,0.048896873,1330.995266,0.704743824,0.039161037,1330.946369,[[0;0;0.500238022724908][0.500238022724908;0;0][0;0.500238022724908;0][0.181146874943226;0.125611827463818;0.306758702407045][...]],0.107487378,5,1315468795,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 13",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",33:48.6,9026,1,10,9,0.042791526,1330.989153,0.680727751,0.00461475,1330.946362,[[0.500917024942382;0;0][0;0;0.500926484270813][0;0.50091375589184;0][0.0526459505050037;0.287541366573872;0.160802259589378][...]],0.103391176,5,2106444557,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 20",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",17:11.8,5784,0,5,5,102.0796362,1330.381387,5.934841989,6.187724323,1228.301751,[[8.31673458725045;0;0][0;0;8.31673458711758][0;8.3167345872596;0][0.573797073781393;1.33436753385772;6.40856997959287][...]],1.004552362,10,1977152211,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 19",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:09.4,5784,1,5,5,3.212101905,1330.980052,2.10731951,1.835892278,1327.76795,[[2.80894458437456;0;0][0;2.8089445850224;0][0;0;2.80894458413013][1.2615438147769;1.12566270483839;0.421738064743813][...]],0.194793926,10,1938397760,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 21",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",17:19.3,5784,0,5,5,305.5138022,1330.381387,9.552890794,9.403161143,1024.867585,[[11.8359791109415;0;0][0;11.8359791116854;0][0;0;11.8359309945535][7.90408722800006;1.42854820954528;2.50335948139198][...]],1.218705411,10,1591768065,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 20",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:22.7,5784,1,5,5,132.3254646,1330.381387,7.000352503,7.126109264,1198.055923,[[0;9.37808083714665;0][9.37806613568456;0;0][0;0;9.37806928042449][3.86747071707331;2.12874785831042;3.38184903275303][...]],0.40683107,10,343146521,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 13",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",32:15.2,9026,0,10,9,0.059309754,1330.998915,0.80157035,0.006307992,1330.939605,[[0;0.502610109364554;0][0;0;0.502610109364554][0.502610109364554;0;0][0.2279873370492;0.0709729032080276;0.203649869107326][...]],0.181102362,5,724368483,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 14",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",32:40.1,9026,1,10,9,0.072287785,1330.995461,0.685047594,0.033117798,1330.923173,[[0.500001006832306;0;0][0;0;0.500001006832306][0;0.500001006832306;0][0.217758864307374;0.312987823085052;0.144493546609279][...]],0.111561324,5,1204544922,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 22",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",17:16.1,5784,0,5,5,3.699452729,1330.790198,1.727014238,1.442988107,1327.090746,[[0;2.39193252172632;0][0;0;2.39193252172632][2.39193252172632;0;0][0.272013788723523;1.54240009007876;0.577518642924039][...]],0.268286539,10,791589809,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 21",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:18.6,5784,1,5,5,736.6484707,1330.381387,10.04489786,10.70853134,593.7329168,[[14.2172966875977;0;0][0;0;14.2173449744161][0;14.2173485220853;0][3.2037268986006;2.60906419871644;8.40453376827634][...]],1.206608134,10,1625778128,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 23",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",17:10.9,5784,0,5,5,206.4374587,1330.381387,8.132720795,8.433748055,1123.943929,[[10.968474182732;0;0][0;10.9684741812349;0][0;0;10.9684741972256][1.71391719201951;4.0246493858335;5.22990760479651][...]],0.504990237,10,2080340027,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 22",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:10.3,5784,1,5,5,6.875348248,1330.936379,2.483111929,2.350115578,1324.06103,[[3.52789221264526;0;0][0;0;3.52789221264526][0;3.5278922126449;0][2.51823059018477;0.724416533364907;0.285245089095578][...]],0.248071322,10,1524735599,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 14",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",32:05.8,9026,0,10,9,0.048324523,1330.999959,0.708582671,0.062733848,1330.951635,[[0.500016378482748;0;0][0;0;0.500010186878718][0;0.500010427570185;0][0.176532613354421;0.176532613354421;0.353065226708843][...]],0.127374315,5,356009730,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 15",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",31:57.0,9026,1,10,9,0.078229099,1330.998216,0.849166668,0.005760453,1330.919987,[[0;0;0.500000882430484][0;0.500000887489016;0][0.500000885285623;0;0][0.122084645328381;0.13161142402074;0.260753605421457][...]],0.134260261,5,615540141,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 24",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",17:01.5,5784,0,5,5,1314.576408,1330.381387,16.54746733,17.9750951,15.80497933,[[0;23.3497009303049;0][23.3497009301564;0;0][0;0;23.3497009301805][14.7249040392032;6.20997979365769;2.41481709743908][...]],1.832080736,10,1157861330,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 23",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",17:02.4,5784,1,5,5,24.94144585,1330.770517,4.570801015,4.587307724,1305.829071,[[6.31409184374149;0;0][0;0;6.31498637873681][0;6.31399939565292;0][0.830970235071378;1.89386618133995;3.58984771528511][...]],0.66480767,10,1057706546,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 15",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",31:38.6,9026,0,10,9,0.038264491,1330.997778,1.076325452,0.005038943,1330.959513,[[0.500378593742401;0;0][0;0;0.500378593742401][0;0.500380381140985;0][0;0.447092029629502;0.0532883515114833][...]],0.179538694,5,496726373,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 25",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:57.4,5784,0,5,5,137.3811733,1330.381387,6.260100627,6.579363911,1193.000214,[[8.98009743774334;0;0][0;8.98045010444274;0][0;0;8.97996049435418][0.706998987595888;6.7918727733423;1.48181298270036][...]],0.580922783,10,689982584,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 24",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:58.9,5784,1,5,5,398.4777763,1330.381387,7.86303644,8.294773097,931.9036112,[[11.1227934803735;0;0][0;11.1227931772352;0][0;0;11.1227931772352][7.21181845396379;3.2624948122738;0.648479910997628][...]],1.102190053,10,170844206,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 16",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",31:31.2,9026,1,10,9,1.101437337,1330.992317,3.049806028,0.877419455,1329.89088,[[1.50921109590484;0;0][0;0;1.50939225879824][0;1.50945988520644;0][0.377355447794628;0.377355447794628;0.754710895589255][...]],0.197287541,5,1252455383,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 26",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:43.7,5784,0,5,5,1225.651874,1330.381387,14.24445206,16.48359106,104.7295138,[[0;22.4600478161876;0][0;0;17.4539487587626][22.4392300177832;0;0][8.93945164448808;5.34460987553869;8.40075418275138][...]],3.117013894,10,1193851736,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 25",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:46.7,5784,1,5,5,429.7475682,1330.381387,8.373117272,8.979097116,900.6338193,[[0;12.224747645938;0][0;0;12.224747638387][12.2247476455992;0;0][7.87961587112238;3.86721868529534;0.477913081902221][...]],1.883440479,10,1660763800,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 16",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",30:58.9,9026,0,10,9,0.070063322,1330.999854,0.570498111,0.076887881,1330.92979,[[0;0.500000372471742;0][0;0;0.500000372471742][0.500000372471742;0;0][0.133341077103292;0.152015752161234;0.325321603644979][...]],0.059518755,5,1460058832,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 27",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:33.1,5784,0,5,5,165.0536418,1330.381387,7.077269119,7.171977172,1165.327746,[[9.65385103231747;0;0][0;0;9.65370058133744][0;9.65368699139796;0][0.0622008426114596;7.43870202792232;2.1527982350905][...]],1.026228066,10,1448755992,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 26",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:30.6,5784,1,5,5,658.1599315,1330.381387,10.65850564,11.36250496,672.221456,[[14.7342885703932;0;0][0;0;14.7342520621884][0;14.7342520621884;0][1.81249477142064;10.0392614383496;2.8825035410516][...]],1.298560003,10,2003181038,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 17",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",30:56.2,9026,1,10,9,0.044737619,1330.998337,0.721567941,0.005631888,1330.953599,[[0;0;0.502078212416201][0.502075681717972;0;0][0;0.502063513508155;0][0.125535031301063;0.125535031301063;0.251070062602126][...]],0.057945674,5,1053484275,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 28",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:38.0,5784,0,5,5,787.7813986,1330.381387,10.50211198,11.83572026,542.5999889,[[0;0;15.6718609585524][0;15.671485735222;0][15.6710393604588;0;0][7.15875524091079;5.64773455590147;2.86739407111261][...]],2.259241393,10,2041477020,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 27",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:41.8,5784,1,5,5,11.92916977,1330.381387,2.866404178,2.717734435,1318.452218,[[0;0;3.99455202816964][3.99455323303234;0;0][0;3.99455107124657;0][2.89885047101086;0.312610128824768;0.783100360542669][...]],0.599431084,10,52160068,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 17",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",31:06.2,9026,0,10,9,0.04175721,1330.998066,0.556100726,0.024385788,1330.956309,[[0;0.504057664139179;0][0.504081290880364;0;0][0;0;0.504081298938008][0.131530055010594;0.27313090469774;0.170407440256828][...]],0.082599571,5,1402615242,10,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 29",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",16:56.6,5784,0,5,5,118.7924674,1330.975913,5.348946678,5.590106225,1212.183446,[[7.82979131473988;0;0][0;7.82980072716547;0][0;0;7.82979131473988][1.70001679407538;5.01108589741931;1.11869331633501][...]],0.556284779,10,1737913714,20,DTLZ1
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 28",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",16:53.2,5784,1,5,5,1019.093521,1330.381387,11.55907529,12.4844216,311.2878665,[[16.2512376963755;0;0][0;0;16.2511224844881][0;16.2511645717111;0][9.72835307520407;1.7379629636154;4.78488770759479][...]],1.981118709,10,1442659519,20,DTLZ1
