,Absolute Distance to BestKnownHypervolume,AgeGap,AgeInheritance,AgeLimits,AgingScheme,Algorithm Name,Algorithm Type,Analyzer.1,Analyzer.10,Analyzer.2,Analyzer.2.Dampening,Analyzer.4,Analyzer.5,Analyzer.6,Analyzer.7,Analyzer.8,Analyzer.9,Best known hypervolume,Crowding,DominateOnEqualQualities,EvaluatedSolutions,Execution Time,Generational Distance,Generations,Hypervolume,HypervolumeValues,LayerAnalyzer,LayerAnalyzer.1,LayerAnalyzer.8,LayerAnalyzer.UpdateInterval,LayerResults,MatingPoolRange,MaximumGenerations,NonDominatedElites,NumberOfLayers,OpenLayers,Pareto Archive,Pareto Front,ParetoFrontAnalyzer,ParetoFrontAnalyzer.0,ParetoFrontAnalyzer.1,ParetoFrontAnalyzer.10,ParetoFrontAnalyzer.2,ParetoFrontAnalyzer.2.HistogramName,ParetoFrontAnalyzer.2.MaximumIterations,ParetoFrontAnalyzer.2.StoreHistory,ParetoFrontAnalyzer.4,ParetoFrontAnalyzer.5,ParetoFrontAnalyzer.5.Dampening,ParetoFrontAnalyzer.7,ParetoFrontAnalyzer.8,ParetoFrontAnalyzer.9,ParetoFrontAnalyzer.UpdateInterval,ParetoFrontResults,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Age Distribution,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Archive,ParetoFrontResults.Pareto Front,ParetoFrontResults.ParetoFrontAges,ParetoFrontResults.ParetoFrontHypervolumeValues,ParetoFrontResults.Scatterplot,ParetoFrontResults.Spacing,PopulationSize,ReduceToPopulationSize,Seed,SelectedParents,SelectedParentsFactor,Selector.NumberOfSelectedSubScopes,Spacing,Terminator,Terminator.1,Terminator.1.Comparison,Terminator.1.ComparisonValue,Terminator.1.Threshold,Terminator.1.Type,TopLayerPopulationSize,TopLayerSelector,TopLayerSelector.CopySelected,TopLayerSelector.GroupSize,TopLayerSelector.NumberOfSelectedSubScopes
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 26",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,72.9801726,TRUE,300037,36:20.9,,7987,1330.940036,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.051692847,Population Age Distribution,1330.991729,75.96894189,151.7287248,1330.940036,ItemArray<IScope>,[[0;0.521693357840924;0][0;0;0.522206409619052][0.522176869047286;0;0][0.176881790158427;0.31001173750898;0.0347082247535562][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,58.22448267,6,TRUE,781920918,12,,,56.27257204,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 27",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,82.11171163,TRUE,300037,44:24.6,,7987,1330.585589,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.413427157,Population Age Distribution,1330.999016,82.11171163,170.1307004,1330.585589,ItemArray<IScope>,[[0;0;1.00116841787844][0;1.00116841787844;0][1.00116841787844;0;0][0.533057327729678;0.226866980421114;0.241244109727647][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,64.89278732,6,TRUE,664847249,12,,,64.89278732,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 28",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,63.33597097,TRUE,300037,42:14.7,,7987,1330.937536,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.062200681,Population Age Distribution,1330.999736,62.10963969,136.6434087,1330.937536,ItemArray<IScope>,[[0;0.502323830681128;0][0;0;0.502323828615403][0.502323830142181;0;0][0.218503138982339;0.433745037084345;0.188765525263577][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,64.01679844,6,TRUE,1556317638,12,,,56.98856695,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 29",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,79.75574882,TRUE,300037,26:38.9,,7987,1330.957596,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.039232622,Population Age Distribution,1330.996829,83.65765231,175.4829012,1330.957596,ItemArray<IScope>,[[0;0;0.536163945363299][0.536174901436681;0;0][0;0.536163945363299;0][0.11297902454511;0.338607900619923;0.0867203674828108][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,50.54456264,6,TRUE,962231076,12,,,50.06762551,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 30",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,57.48743151,TRUE,300037,40:51.4,,7987,1330.450857,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.535371314,Population Age Distribution,1330.986228,63.54764238,113.3412709,1330.450857,ItemArray<IScope>,[[0;1.13981420774031;0][0;0;1.13981420774031][1.13981420774066;0;0][0.580759373506517;0.252730313770213;0.307691417151149][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,53.97290824,6,TRUE,874236787,12,,,38.25909615,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 31",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,57.06509742,TRUE,300037,16:10.2,,7987,1330.854644,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.107697159,Population Age Distribution,1330.962342,59.05246284,112.0582396,1330.854644,ItemArray<IScope>,[[0;1.01457683882976;0][1.01621247414211;0;0][0;0;1.01548412910005][0.381172149740998;0.127057383246999;0.508229532987997][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,68.28728941,6,TRUE,1306979807,12,,,60.98990693,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 32",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,68.90744602,TRUE,300037,10:10.1,,7987,1330.929533,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.069754893,Population Age Distribution,1330.999288,73.94778241,153.3844331,1330.929533,ItemArray<IScope>,[[0;0;0.567959560118602][0.567951360586704;0;0][0;0.567955247853391;0][0.299384568219628;0.170942387442507;0.0976244049245689][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,70.1740241,6,TRUE,1289420713,12,,,70.05192707,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 33",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,68.05147801,TRUE,300037,37:44.1,,7987,1330.657871,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.330663952,Population Age Distribution,1330.988535,69.53370913,149.2276704,1330.657871,ItemArray<IScope>,[[0;0;1.00062232165118][0;1.00062232165118;0][1.00062232165118;0;0][0.154206363302039;0.346104797523551;0.500311160825589][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,59.25498122,6,TRUE,886471062,12,,,59.40236921,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 34",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,52.22500886,TRUE,300037,43:23.6,,7987,1330.959576,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.035348991,Population Age Distribution,1330.994925,52.02085454,118.1559861,1330.959576,ItemArray<IScope>,[[0;0;0.532371534665998][0;0.532371779962403;0][0.532371529679054;0;0][0.0807067971112296;0.275982241227912;0.175682660674503][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,45.79228096,6,TRUE,324047340,12,,,27.93774331,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 35",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,70.3706889,TRUE,300037,31:29.3,,7987,1330.951561,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.048318639,Population Age Distribution,1330.99988,73.74560754,122.6453686,1330.951561,ItemArray<IScope>,[[0;0.501044164343611;0][0.501044164349651;0;0][0;0;0.501044164343611][0.0798944544643766;0.108096412341169;0.313053297540908][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,87.33032921,6,TRUE,1885406110,12,,,86.44099621,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 36",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,55.24768697,TRUE,300037,41:29.6,,7987,1330.956908,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.042755408,Population Age Distribution,1330.999664,56.96642545,98.21512269,1330.956908,ItemArray<IScope>,[[0.500001395028093;0;0][0;0;0.500001395028093][0;0.500001395028093;0][0.120513321646136;0.0821215673667089;0.297366506015248][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,82.37668954,6,TRUE,1151462256,12,,,81.9402257,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 37",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,52.79278946,TRUE,300037,37:57.7,,7987,1330.96182,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.034800805,Population Age Distribution,1330.996621,54.66022052,100.4147789,1330.96182,ItemArray<IScope>,[[0;0.517129411495631;0][0.520998721415211;0;0][0;0;0.517031430369485][0.177244368968635;0.125079472822986;0.214469050159868][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,73.78168598,6,TRUE,2074598514,12,,,73.51018561,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 38",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,39.26941287,TRUE,300037,35:54.5,,7987,1330.950895,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.038344316,Population Age Distribution,1330.989239,41.18656633,79.59152013,1330.950895,ItemArray<IScope>,[[0;0.500503836741572;0][0;0;0.500500832441475][0.500497232022489;0;0][0.237829293026423;0.104284971444069;0.158385899779436][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,55.9476064,6,TRUE,191013752,12,,,55.37640681,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 39",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,63.79253864,TRUE,300037,36:06.2,,7987,1330.778558,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.212937493,Population Age Distribution,1330.991495,71.5130381,140.4061261,1330.778558,ItemArray<IScope>,[[0;0.915898448831342;0][0.848972329729769;0;0][0;0;0.847634130987551][0.26644223729753;0.274083733808071;0.307548786937326][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,75.49190988,6,TRUE,1421206571,12,,,73.4650565,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 40",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,38.23107234,TRUE,300037,34:38.5,,7987,1330.864935,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.132240051,Population Age Distribution,1330.997175,38.23107234,83.21851723,1330.864935,ItemArray<IScope>,[[0.716952875179111;0;0][0;0;0.716928588046272][0;0.716188091176761;0][0.377070409794262;0.134087517362794;0.205395111316976][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,53.99546294,6,TRUE,473316967,12,,,53.99546294,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 41",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,50.70034182,TRUE,300037,22:02.0,,7987,1330.96158,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.021484289,Population Age Distribution,1330.983064,52.32312186,103.1354371,1330.96158,ItemArray<IScope>,[[0;0;0.50967263862961][0;0.509673184396064;0][0.509672338345013;0;0][0.0285590056198869;0.100608817174717;0.380504531944051][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,54.65261544,6,TRUE,1376673821,12,,,54.44588217,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 42",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,81.86610995,TRUE,300037,38:59.9,,7987,1330.377107,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.619440917,Population Age Distribution,1330.996548,77.14292592,152.3523523,1330.377107,ItemArray<IScope>,[[0;0;1.11902808421266][1.11902808442085;0;0][0;1.1190280844212;0][0.172618417808188;0.295929041041977;0.650480625519524][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,75.32756355,6,TRUE,2119652798,12,,,61.37034968,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 43",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,54.23805106,TRUE,300037,28:27.9,,7987,1330.978119,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.014039007,Population Age Distribution,1330.992158,58.96516186,127.7122003,1330.978119,ItemArray<IScope>,[[0;0;0.599620336757411][0;0.599620336757411;0][0.599620336757411;0;0][0.16274189252432;0.137068275854385;0.299810168378706][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,59.76206646,6,TRUE,2063664556,12,,,59.57564033,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8} Run 44",,150,1,[150;300;600;1350;2400;3750;5400;7350],Polynomial,"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=8}",AlpsNsga2,,ScatterPlotAnalyzer,,,CrowdingAnalyzer,,,,,SpacingAnalyzer,,66.53767933,TRUE,300037,36:36.9,,7987,1330.558316,,MultiAnalyzer,OldestAverageYoungestAgeAnalyzer,HypervolumeDevelopmentAnalyzer,1,ItemArray<ResultCollection>,1,,,8,8,,,MultiAnalyzer,PF-RankBasedParetoFrontAnalyzer,OldestAverageYoungestAgeAnalyzer,ScatterPlotAnalyzer,AgeDistributionAnalyzer,Age Distribution,-1,FALSE,CrowdingAnalyzer,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,1,ResultCollection,0.440074701,Population Age Distribution,1330.998391,67.80417162,139.8147169,1330.558316,ItemArray<IScope>,[[0;0;1.03855386077721][0;1.03855386077721;0][1.03855386077721;0;0][0.679576676425644;0.306617737809323;0.155099044955917][...]],ParetoFrontAges,ParetoFrontHypervolumeValues,Pareto Front Scatter Plot,84.27033412,6,TRUE,140737968,12,,,65.04121073,MultiTerminator,Evaluations < 300000,Less,EvaluatedSolutions,300000,ComparisonTerminator<IntValue>,,,,,
