,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 11",10984,81.675158,120.5412796,118.9195543,120.2415978,4.149793435,17.22078555,119.5113946,120.4484882,120.4785645,114.8692382,114.8744012,120.4734088,0.000704111,115.0529272,0.289473611
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 12",7017,84.99553901,120.4223986,118.1167695,120.1127285,4.578532814,20.96296273,118.5675623,120.2571231,120.3077782,112.3553971,112.3558658,120.303044,0.001491099,112.8859937,0.435255204
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 11",5985,83.9696393,119.5817718,117.440403,118.6868493,3.938511216,15.5118706,118.1997969,119.0639065,119.2519007,113.1519782,113.1548943,119.2478524,0.001377622,113.3185577,0.365271377
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 12",9028,87.84140634,120.3977253,117.7407207,119.9084586,5.0861308,25.86872651,117.6827136,120.1965638,120.296483,111.5511004,111.5524512,120.2952851,0.001297655,111.8837556,0.44217409
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 12",10984,83.23722631,120.4448031,118.4426551,119.8015681,4.005598865,16.04482227,118.5111201,120.2803401,120.3370014,113.9516003,113.9529746,120.3349185,0.000782332,114.1464778,0.383554286
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 13",7017,77.16905509,120.4239752,118.1306114,120.0077869,4.961685561,24.6183236,118.6988125,120.2679281,120.3229234,112.4679247,112.4685203,120.3155735,0.001495524,112.8843129,0.372830931
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 12",5985,86.08439953,119.8374557,117.77168,118.5721981,3.409327703,11.62351539,118.0499039,119.3122938,119.5162985,114.2716731,114.2727666,119.5149391,0.001193204,114.2016139,0.36568863
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 13",9028,85.35704879,120.5365747,118.1506295,120.2486262,4.968992118,24.69088267,118.3467094,120.4065295,120.449352,111.9293274,111.9294762,120.445804,0.001236927,112.5677603,0.420921737
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 14",7017,81.12164133,120.3673273,117.8398282,119.9225725,4.667211789,21.78286588,117.4002081,120.1860367,120.2625434,112.1178267,112.1183721,120.2619361,0.001551659,112.3966068,0.453587837
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 13",10984,84.95580115,120.5029253,118.7290382,119.8923673,3.121921902,9.746396363,118.5463515,120.3026106,120.385822,115.0506647,115.0515304,120.3851141,0.000653139,115.1423253,0.44009507
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 13",5985,78.8040925,118.922856,117.076006,118.2401964,3.454626095,11.93444145,117.148241,118.5948834,118.7029305,113.6955142,113.6972575,118.6996323,0.001165635,113.5884252,0.339893544
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 14",9028,84.72971146,120.517266,118.239407,119.9207282,4.815612001,23.19011895,118.9471274,120.3425982,120.4177223,112.8635698,112.8635698,120.4163718,0.001132836,113.1263511,0.375907651
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 15",7017,76.43251675,120.421878,117.9221396,120.1671936,5.693937912,32.42092895,118.3989119,120.3421748,120.3674965,111.3925849,111.3926791,120.3504317,0.001702794,111.9487368,0.367013956
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 14",10984,84.41892648,120.4989138,118.3444121,119.9879875,4.778314299,22.83228754,119.2246083,120.3790684,120.4150527,113.0458133,113.0477624,120.4116507,0.000907123,113.3629448,0.362378561
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 14",5985,78.43187295,119.4191967,117.5015469,118.5564844,3.715886077,13.80780934,117.2799303,119.0707157,119.2365214,113.5579113,113.5581287,119.2355956,0.001288615,113.6460118,0.359038476
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 15",9028,79.14849241,120.5060254,118.6361396,120.1348081,4.293870071,18.43732019,118.9043773,120.4074365,120.4388043,114.1047459,114.1048604,120.4319466,0.000951509,114.3415023,0.333563294
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 16",7017,77.72623534,120.4881884,117.952256,119.8964402,5.102734275,26.03789708,118.474891,120.3497454,120.4020854,111.8352215,111.8353759,120.3974478,0.001635367,112.215389,0.421510193
