,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 6",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,12:52.8,9026,10,9,44.22848985,131.7657823,351.4191234,1286.728215,[[1;0;0][6.12297941725348E-17;1.88696666832309E-16;745.2480551734][3.74915180455534E-33;2.46434132099091E-16;4.02470771656367][...]],109.852259,5,1176942003,10,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 10",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:55.5,6471,5,5,21.64225442,113.2334762,392.0556739,1309.314451,[[1;0;0][6.118423142117E-17;29.8778938244808;1.15987922312929][6.12303176911189E-17;0;5.51909441015452][...]],36.96171446,10,159822807,20,DTLZ3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 11",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:24.2,5784,5,5,120.956705,150.9069185,727.7866994,1210,[[1;0;0][6.12303176911189E-17;0;39.7499336685488][3.74915180455534E-33;2.43390106672615E-15;39.7499336685488][...]],42.44662125,10,48170957,20,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 10",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,08:09.5,6955,5,5,15.83316057,119.0698555,392.0498027,1315.166049,[[1;0;0][6.12301933432478E-17;934.875456758581;1.88410602516513][6.12303176911189E-17;0;1.92233782146405][...]],79.39002996,10,1627898540,20,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 6",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,13:57.3,10982,10,8,52.02093956,203.7292158,455.0919608,1278.94797,[[1;0;0][3.74915180455534E-33;3.29342643125362E-16;5.3787511733445][6.12303176911189E-17;0;5.37333115025762][...]],62.92087657,5,154601652,10,DTLZ3
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 11",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:45.9,6135,5,5,8.309709461,128.2761668,460.9242535,1322.681106,[[1;0;0][3.74915180455534E-33;2.20869396435177E-16;3.60719011045101][6.12303176911189E-17;201.407575144616;0][...]],119.1591331,10,705628890,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 11",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:56.9,6471,5,5,120.3582062,116.5974906,485.8523923,1210.598499,[[1;0;0][3.74915180455534E-33;8.04960142092825E-16;13.1464309258284][6.12303176911189E-17;0;45.2614904194668][...]],101.8641991,10,653939064,20,DTLZ3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 12",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:22.3,5784,5,5,120.9537978,120.1538369,675.6061392,1210.002907,[[1;0;0][3.74915180455534E-33;1.78601632042147E-15;29.1688233504058][6.12303176911189E-17;0;29.1688233504058][...]],76.37560521,10,1448094151,20,DTLZ3
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 11",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,08:09.4,6955,5,5,1.324716899,140.5715264,410.9044748,1329.675275,[[1;0;0][6.12303176911189E-17;27.3929762337254;0][3.74915180455534E-33;7.44013626529893E-17;1.21510659193886][...]],78.45770296,10,219239589,20,DTLZ3
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 7",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,12:57.8,9026,10,9,2.102714634,154.1642672,380.8696379,1328.85399,[[1;0;0][6.12303176911189E-17;2.307178825917;0][3.74915180455534E-33;7.70370077864133E-17;1.25815136506449][...]],141.7787839,5,31182317,10,DTLZ3
