,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Crowding,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,ReferencePoint,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 1",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,8.64E-12,35,300033,01:26.1,6543,1,3,3,1.53E-07,995006.25,2.84E-11,,995006.25,[[0.250000000009775;0.250000000015023;0][0.25000000000974;0.250000000252481;0][0.250000000009747;0.250000000205903;0][...]],2.94E-11,16,35,[100;100;100],602324206,32,1.82E-11,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 2",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,7.50E-05,35,300033,01:16.3,6543,1,3,3,0.00013266,995006.25,1.76E-07,,995006.2499,[[0.250000013299251;0.250001219807456;0][0.250000144609079;0.250000000000114;0][0.250000023999704;0.250001120404162;0][...]],7.44E-08,16,35,[100;100;100],367543226,32,2.52E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 3",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000731111,35,300033,01:27.0,6543,1,3,3,2.45E-06,995006.25,2.81E-11,,995006.25,[[0.250000000487488;0.25;0][0.250000000344211;0.250000000001072;0][0.250000000375721;0.250000000000882;0][...]],1.64E-11,16,35,[100;100;100],1716146012,32,1.22E-07,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 4",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,7.60E-05,35,300033,01:52.6,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],255017465,32,3.14E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 5",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000113906,35,300033,02:46.9,6543,1,3,3,5.82E-10,995006.25,2.42E-12,,995006.25,[[0.250000000000329;0.25;0][0.250000000000004;0.250000000000087;0][0.250000000000141;0.25000000000005;0][...]],1.47E-12,16,35,[100;100;100],15060108,32,4.83E-08,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 6",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002284561,35,300033,01:49.6,6543,1,3,3,1.97E-06,995006.25,1.21E-13,,995006.25,[[0.250000000198136;0.25;0][0.250000000197779;0.250000000000045;0][0.250000000197442;0.250000000000088;0][...]],5.51E-14,16,35,[100;100;100],1182030417,32,0.000956711,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 7",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000511817,35,300033,02:31.8,6543,1,3,3,0.000122283,995006.25,6.99E-06,,995006.2499,[[0.250058635270734;0.250000000000024;0][0.250000012291633;0.250000000007763;0][0.250034498433177;0.250000000001824;0][...]],3.09E-06,16,35,[100;100;100],333850581,32,6.61E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 8",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001401399,35,300033,01:54.7,6543,1,3,3,0,995006.25,∞,,995006.25,[[0.250000000000509;0.250000000000004;0]],0,16,35,[100;100;100],624104356,32,4.05E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 9",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.005228661,35,300033,01:29.0,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],1588150788,32,1.64E-06,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 10",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002107279,35,300033,02:11.3,6543,1,3,3,1.91E-08,995006.25,1.65E-10,,995006.25,[[0.25;0.250000000001977;0][0.250000000926622;0.250000000001975;0][0.250000000633842;0.250000000001976;0][...]],3.77E-11,16,35,[100;100;100],1238401863,32,0.000943259,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 11",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.012503303,35,300033,03:06.9,6543,1,3,3,6.98E-10,995006.25,3.11E-10,,995006.25,[[0.25;0.25000000000006;0][0.250000002209451;0.250000000000058;0][0.250000001335419;0.250000000000059;0][...]],1.28E-10,16,35,[100;100;100],623483706,32,0.003879168,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 12",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.008461438,35,300033,02:42.2,6543,1,3,3,1.16E-09,995006.25,8.77E-13,,995006.25,[[0.250000000000017;0.250000000000053;0][0.250000000000016;0.250000000004261;0][0.250000000000017;0.250000000000887;0][...]],3.48E-13,16,35,[100;100;100],61903310,32,0.011733288,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 13",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.005848336,35,300033,01:27.2,6543,1,3,3,2.33E-10,995006.25,2.41E-06,,995006.25,[[0.25;0.250000000000017;0][0.250002056140454;0.250000000000015;0][0.250001081344985;0.250000000000015;0][...]],1.07E-06,16,35,[100;100;100],1486314494,32,1.28E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 14",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.003339843,35,300033,02:02.3,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.250000000000133;0.25;0][0.250000000000089;0.25;0]],0,16,35,[100;100;100],1347957261,32,1.79E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 15",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002778915,35,300033,03:09.3,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.250000000000001;0.25;0]],0,16,35,[100;100;100],826769391,32,0.001538188,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 16",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.005810485,35,300033,01:31.6,6543,1,3,3,1.46E-07,995006.25,1.21E-11,,995006.25,[[0.250000000011185;0.250000000014611;0][0.250000000080647;0.250000000014577;0][0.250000000022709;0.250000000014605;0][...]],3.85E-12,16,35,[100;100;100],1780644293,32,0.000205778,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 17",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001026754,35,300033,01:33.5,6543,1,3,3,4.28E-07,995006.25,2.52E-12,,995006.25,[[0.25;0.250000000058809;0][0.25000000000709;0.250000000045094;0][0.250000000004958;0.250000000049218;0][...]],1.75E-12,16,35,[100;100;100],1781644382,32,0.000959961,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 18",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000370684,35,300033,03:07.5,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],1707590497,32,0.000495441,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 19",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000818222,35,300033,03:26.3,6543,1,3,3,5.70E-09,995006.25,1.83E-06,,995006.25,[[0.250016947092019;0.250000000000563;0][0.25;0.250000000026754;0][0.250007135691112;0.250000000014385;0][...]],1.26E-06,16,35,[100;100;100],86762687,32,0.000432662,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 20",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000689309,35,300033,02:56.7,6543,1,3,3,8.66E-07,995006.25,2.55E-09,,995006.25,[[0.250000000088544;0.250000000006726;0][0.250000000084528;0.250000020024895;0][0.250000000084818;0.250000018581745;0][...]],2.10E-09,16,35,[100;100;100],1087148953,32,0.000203664,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 21",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001357814,35,300033,03:00.7,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.250000000000592;0.25;0]],0,16,35,[100;100;100],1423845438,32,0.000855951,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 22",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000848122,35,300033,02:49.9,6543,1,3,3,1.28E-09,995006.25,2.53E-09,,995006.25,[[0.250000000000021;0.250000000000077;0][0.250000008192047;0.250000000000076;0][0.250000007495629;0.250000000000076;0][...]],9.54E-10,16,35,[100;100;100],312607911,32,0.001294956,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 23",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000215151,35,300033,01:20.6,6543,1,3,3,4.80E-06,995006.25,2.49E-09,,995006.25,[[0.25;0.250000000511639;0][0.250000014733739;0.250000000492272;0][0.250000009965163;0.250000000498529;0][...]],1.76E-09,16,35,[100;100;100],1076068697,32,0.000218904,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 24",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.00226726,35,300033,01:36.7,6543,1,3,3,2.49E-08,995006.25,1.50E-11,,995006.25,[[0.250000000002459;0.25;0][0.250000000002458;0.25000000003542;0][0.250000000002458;0.250000000066223;0][...]],2.62E-12,16,35,[100;100;100],1911315961,32,0.001453759,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 25",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000157119,35,300033,01:30.3,6543,1,3,3,0.000314432,995006.25,2.16E-05,,995006.2497,[[0.250000031109016;0.250000003168989;0][0.250132966042056;0.25000000080271;0][0.250036077155739;0.250000001165106;0][...]],1.29E-05,16,35,[100;100;100],1626622598,32,2.27E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 26",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.003180966,35,300033,01:43.0,6543,1,3,3,1.94E-08,995006.25,2.21E-10,,995006.25,[[0.250000000000063;0.250000001795717;0][0.250000000008514;0.250000000002088;0][0.25000000000089;0.250000000005839;0][...]],1.42E-10,16,35,[100;100;100],1644494361,32,0.00128035,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 27",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002252451,35,300033,01:43.5,6543,1,3,3,1.63E-09,995006.25,0.004219937,,995006.25,[[0.280972625668774;0.250000000000134;0][0.278106498664882;0.250000000000315;0][0.250000000000083;0.250000000032138;0][...]],0.001192992,16,35,[100;100;100],135037370,32,0.000590884,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 28",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001429225,35,300033,01:32.2,6543,1,3,3,0,995006.25,4.51E-06,,995006.25,[[0.25;0.250000000000001;0][0.250042133836675;0.25;0][0.250000001036503;0.25;0][0.250000000116662;0.250000000000001;0][...]],6.97E-06,16,35,[100;100;100],1791893147,32,0.00089202,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 29",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,1.80E-07,35,300033,02:33.9,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],1309241947,32,1.28E-07,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 30",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.003015315,35,300033,02:56.0,6543,1,3,3,1.51E-08,995006.25,2.65E-10,,995006.25,[[0.250000000001495;0.250000000000012;0][0.250000001564782;0.250000000000011;0][0.250000000845663;0.250000000000012;0][...]],5.84E-11,16,35,[100;100;100],1043407427,32,5.79E-08,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 31",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000409546,35,300033,01:35.5,6543,1,3,3,0.000385324,995006.25,1.67E-09,,995006.2496,[[0.250000041708529;0.25;0][0.250000038728441;0.250000010925248;0][0.250000038702548;0.250000011020177;0][...]],1.33E-09,16,35,[100;100;100],636172428,32,0.000568679,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 32",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.005329585,35,300033,01:32.0,6543,1,3,3,0,995006.25,8.05E-14,,995006.25,[[0.25;0.250000000000004;0][0.250000000000001;0.250000000000004;0][0.250000000000003;0.250000000000003;0][...]],5.98E-14,16,35,[100;100;100],1240613050,32,1.56E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 33",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000872366,35,300033,01:37.2,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],1794309313,32,0.000390083,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 34",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000170332,35,300033,01:33.7,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],768973360,32,2.48E-06,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 35",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002872906,35,300033,01:53.9,6543,1,3,3,3.49E-09,995006.25,2.33E-11,,995006.25,[[0.250000000000413;0.250000000000429;0][0.250000000086153;0.250000000000288;0][0.250000000085285;0.250000000000288;0][...]],6.52E-12,16,35,[100;100;100],219471333,32,0.001143848,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 36",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002659678,35,300033,01:43.5,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.250000000000002;0.25;0]],0,16,35,[100;100;100],1030301226,32,0.001607081,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 37",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002816777,35,300033,01:41.4,6543,1,3,3,7.33E-08,995006.25,3.14E-14,,995006.25,[[0.250000000007484;0.25;0][0.250000000007382;0.250000000000081;0][0.250000000007362;0.250000000000096;0][...]],2.27E-14,16,35,[100;100;100],649498761,32,0.001964997,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 38",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000837249,35,300033,01:38.0,6543,1,3,3,1.28E-09,995006.25,3.30E-11,,995006.25,[[0.250000000000113;0.250000000000065;0][0.250000000000112;0.250000000021049;0][0.250000000003481;0.250000000000051;0][...]],9.97E-12,16,35,[100;100;100],2025051412,32,0.000416845,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 39",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002137721,35,300033,01:37.7,6543,1,3,3,1.16E-09,995006.25,3.91E-05,,995006.25,[[0.250212581321607;0.250000000000005;0][0.250000000000968;0.250000000008696;0][0.250000000001123;0.250000000007713;0][...]],1.25E-05,16,35,[100;100;100],234746059,32,0.000897623,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 40",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000158643,35,300033,01:11.4,6543,1,3,3,4.66E-10,995006.25,1.60E-11,,995006.25,[[0.25;0.250000000000012;0][0.25000000009209;0.250000000000008;0][0.250000000085076;0.250000000000009;0][...]],1.11E-11,16,35,[100;100;100],1587790956,32,0.000815261,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 41",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.002532447,35,300033,01:12.7,6543,1,3,3,6.46E-08,995006.25,2.77E-08,,995006.25,[[0.25;0.250000000007515;0][0.250000113954637;0.250000000006972;0][0.250000153110285;0.250000000006785;0][...]],1.78E-08,16,35,[100;100;100],702424420,32,0.00016067,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 42",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001001656,35,300033,01:13.2,6543,1,3,3,0,995006.25,∞,,995006.25,[[0.250000000051205;0.25;0]],0,16,35,[100;100;100],669383711,32,0.000177575,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 43",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000253642,35,300033,01:11.0,6543,1,3,3,4.66E-10,995006.25,1.59E-07,,995006.25,[[0.25;0.250000000000017;0][0.250000024692974;0.250000000000017;0][0.250000159489994;0.250000000000016;0][...]],7.41E-08,16,35,[100;100;100],22824278,32,4.46E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 44",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001508877,35,300033,01:16.0,6543,1,3,3,2.42E-08,995006.25,9.39E-13,,995006.25,[[0.25;0.250000000002843;0][0.250000000003976;0.250000000002586;0][0.250000000001442;0.25000000000275;0][...]],3.05E-13,16,35,[100;100;100],334064527,32,0.00063166,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 45",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.004399116,35,300033,01:14.5,6543,1,3,3,1.05E-09,995006.25,3.01E-14,,995006.25,[[0.25;0.250000000000078;0][0.250000000000132;0.250000000000067;0][0.25000000000012;0.250000000000068;0][...]],1.70E-14,16,35,[100;100;100],1293941939,32,0.00171355,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 46",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.005474778,35,300033,01:14.5,6543,1,3,3,5.82E-10,995006.25,2.26E-07,,995006.25,[[0.25;0.250000000000039;0][0.250000013550356;0.250000000000038;0][0.250001190600559;0.25000000000003;0][...]],5.98E-08,16,35,[100;100;100],593444000,32,0.002758253,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 47",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,9.17E-05,35,300033,01:26.1,6543,1,3,3,5.82E-10,995006.25,1.52E-10,,995006.25,[[0.250000000022562;0.250000000000011;0][0.250000000005261;0.250000000000031;0][0.250000000021237;0.25000000000003;0][...]],5.44E-11,16,35,[100;100;100],1370207328,32,4.33E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 48",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,4.74E-07,35,300033,02:57.2,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],761081157,32,2.35E-08,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 49",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.001620961,35,300033,01:33.4,6543,1,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],865072165,32,0.000746704,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 50",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",,0.000567618,35,300033,01:26.3,6543,1,3,3,6.98E-10,995006.25,9.59E-10,,995006.25,[[0.250000000000132;0.250000000000052;0][0.250000007480877;0.250000000000047;0][0.250000006260048;0.250000000000048;0][...]],1.29E-09,16,35,[100;100;100],543350746,32,0.000289456,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.0001849,35,300033,01:23.8,6543,3,3,3,4.66E-10,995006.25,7.35E-05,,995006.25,[[0.250145804834683;0.250000000001495;0][0.250389070758561;0.250000000000001;0][0.25;0.250000000030926;0][...]],2.70E-05,16,35,[100;100;100],1117927781,32,2.61E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.005311392,35,300033,02:28.9,6543,3,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],244564038,32,0.000138538,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.000514089,35,300033,01:18.1,6543,3,3,3,0,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],191921646,32,0.000370647,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 4",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.000776077,35,300033,03:00.0,6543,3,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],520244344,32,0.000309034,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 5",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.000579801,35,300033,01:19.0,6543,3,3,3,7.11E-06,995006.25,6.60E-11,,995006.25,[[0.250000000758715;0.250000000124889;0][0.250000001176114;0.250000000082647;0][0.250000001131701;0.250000000087167;0][...]],2.58E-11,16,35,[100;100;100],2135281706,32,0.000360181,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 6",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.002619475,35,300033,02:56.0,6543,3,3,3,1.91E-07,995006.25,∞,,995006.25,[[0.250000000019284;0.25;0]],0,16,35,[100;100;100],1874165668,32,5.17E-05,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 7",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.002045012,35,300033,01:20.4,6543,3,3,3,2.33E-10,995006.25,∞,,995006.25,[[0.25;0.25;0]],0,16,35,[100;100;100],1916010820,32,0.000405075,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 8",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.001049974,35,300033,01:24.0,6543,3,3,3,1.28E-09,995006.25,2.86E-12,,995006.25,[[0.250000000000001;0.250000000000069;0][0.250000000011278;0.250000000000067;0][0.250000000003403;0.250000000000068;0][...]],9.42E-13,16,35,[100;100;100],1145157465,32,3.73E-06,DTLZ8
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3} Run 9",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=3}",,0.000824413,35,300033,02:00.3,6543,3,3,3,1.22E-07,995006.25,7.36E-13,,995006.25,[[0.250000000000014;0.250000000012185;0][0.25000000000105;0.250000000012185;0][0.25000000000585;0.250000000012184;0][...]],2.17E-13,16,35,[100;100;100],1782134474,32,2.45E-08,DTLZ8
