,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,06:53.0,5784,5,5,120.956705,1330.956705,150.9554025,718.1297442,1210,[[1;0;0][3.74915180455534E-33;1.42091281812779E-15;23.2060337379874][6.12303176911189E-17;0;23.2062472911732][...]],61.49353808,10,1502180497,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:14.1,6135,5,5,20.42760438,1330.956705,106.3359022,383.3560004,1310.529101,[[1;0;0][3.74915180455534E-33;4.38273646317591E-16;7.15778821414086][6.12303071975878E-17;365.889706775626;0.214211516185195][...]],116.8399166,10,1526721732,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:22.5,6471,5,5,73.34575357,1330.99373,94.0838973,412.1318304,1257.647976,[[1;0;0][6.1230317182974E-17;1.02284942170536E-17;1296.64077293194][3.74915180455534E-33;4.08586207328234E-16;6.67293952955428][...]],65.17215951,10,240065795,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,07:40.5,6955,5,5,21.32077654,1330.999389,114.7144322,402.9413415,1309.678613,[[1;0;0][3.74915180455534E-33;1.38025724975961E-16;2.25420559913216][6.12303174702274E-17;4.9272908909244E-18;947.371878338254][...]],61.135598,10,1766861999,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 1",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,12:13.6,9026,10,9,33.77046566,1330.956705,189.8139794,457.7034269,1297.186239,[[1;0;0][6.1230278558995E-17;1.06445631232937E-16;1537.66931278783][6.12303176911189E-17;0;3.07397824483309][...]],141.9938454,5,327990743,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,13:12.6,10982,10,8,12.18193402,1330.956705,128.9035632,270.4272799,1318.774771,[[1;0;0][5.74982287993352E-17;7.38300164490778E-17;3.50735237028987][6.12303176911189E-17;3.49645950271127;0][...]],148.3953799,5,1768386652,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,07:07.8,5784,5,5,110.0238361,1330.956705,125.6578442,466.4732447,1220.932869,[[1;0;0][3.74915180455534E-33;9.05797368747218E-16;14.7932821991319][6.12303176911189E-17;0;14.7932821991319][...]],81.08165999,10,277766992,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,07:31.2,6135,5,5,78.75906586,1330.956705,112.6111611,442.5502458,1252.197639,[[1;0;0][6.12303176911189E-17;0;8.06101408012483][3.74915180455534E-33;4.93578453038625E-16;8.06101408012483][...]],43.23244049,10,333277933,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,07:40.4,6471,5,5,40.39534567,1330.956705,107.4872588,389.7070327,1290.561359,[[1;0;0][6.12303176911189E-17;0;7.49993181287059][3.74915180455534E-33;4.59223207563795E-16;7.49993181287059][...]],101.3888102,10,728855828,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,07:57.4,6955,5,5,2.161295065,1330.999781,91.06929519,382.1805283,1328.838486,[[1;0;0][6.12303176911189E-17;0;1.50481302650915][3.74915180455534E-33;9.21401796788896E-17;1.50481302650915][...]],63.48577056,10,2122278289,20
