,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 51",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:50.9,6955,0,5,5,60.86650116,1330.994488,492.8097471,307.6837449,1270.127987,[[1;0;0][6.12303176911189E-17;0;5.53381935510677][6.12303176161046E-17;1059.58875487181;0.0524494480657713][...]],198.6311305,10,1217310103,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 52",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:51.2,6955,1,5,5,25.54151832,1330.999826,504.5208534,380.3006284,1305.458308,[[1;0;0][6.12303176911189E-17;0;2.32197198504347][3.74915180455534E-33;1.42175082314089E-16;2.32197198504347][...]],68.41404204,10,585866272,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 53",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:00.6,5983,0,10,10,120.956705,1330.956705,773.5458284,490.9485899,1210,[[1;0;0][6.12303176911189E-17;877.294616429208;0][3.74915180455534E-33;2.68630941456493E-15;43.8722109546488][...]],391.7259089,5,312069177,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 52",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",14:02.9,5983,1,10,10,120.956705,1330.956705,419.378256,223.0426311,1210,[[1;0;0][6.12302769215372E-17;6.8987321691801E-17;976.344254937302][6.12303176911189E-17;0;24.4853838291986][...]],240.0342089,5,614819679,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 53",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:52.8,6955,1,5,5,7.510081234,1330.999939,1.575823414,1.710491703,1323.489858,[[1;0;0][3.74915180455534E-33;1.89128514139687E-16;3.08880504415738][6.12303176911189E-17;0;3.08880504415738][...]],0.687577307,10,964661055,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 52",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",09:09.6,6955,0,5,5,44.77693279,1330.999784,394.7470114,266.319092,1286.222851,[[1;0;0][6.12303161933108E-17;787.981377049392;0.174291333366832][6.12303176911189E-17;0;4.56983971531299][...]],159.5362883,10,349780822,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 54",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:54.7,6955,1,5,5,31.89923094,1330.990982,121.7936247,86.41562655,1299.091751,[[1;0;0][6.12303176911189E-17;0;5.21992033213208][3.74915180455534E-33;3.19597732171505E-16;5.2195994439183][...]],58.88525448,10,2097551290,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 53",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",09:01.5,6955,0,5,5,34.00746117,1330.999816,381.816326,256.2248207,1296.992355,[[1;0;0][6.12303176911189E-17;154.682152758606;0][6.12303176911189E-17;0;3.87238189240959][3.74915180455534E-33;2.37107173493575E-16;3.87238189240959][...]],114.6353928,10,77624210,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 54",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:02.2,5983,0,10,10,120.956705,1330.956705,102.3794709,133.1946832,1210,[[1;0;0][6.12303176911189E-17;0;40.422607081322][3.74915180455534E-33;2.47508907349262E-15;40.422607081322][...]],179.0903174,5,1950565271,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 53",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",14:03.3,5983,1,10,10,120.956705,1330.956705,681.0979798,663.3212084,1210,[[1;0;0][0.273272382616272;1029.12327794667;0][3.74915180455534E-33;2.65391326397026E-15;43.3431241914852][...]],311.0915478,5,1167198210,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 55",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:50.2,6955,1,5,5,17.86254404,1330.980685,18.52635034,16.98740574,1313.118141,[[1;0;0][6.12294647622456E-17;70.685062915638;0.373095779082373][6.12303176911189E-17;0;5.5464880670286][...]],9.141568087,10,933078938,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 54",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:49.3,6955,0,5,5,2.571060407,1330.999698,44.98889377,31.70774302,1328.428637,[[1;0;0][6.12302660346239E-17;309.975134786108;0.402644101348665][3.74915180455534E-33;1.35120394958588E-16;2.20675639215548][...]],92.24578328,10,1899833810,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 55",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",13:55.7,5983,0,10,10,120.956705,1330.956705,646.9661068,536.4766414,1210,[[6.12290447986805E-17;1650.97954474954;10.645744984715][1;0;0][6.12302943206209E-17;6.50466254630016E-17;1215.88520718038][...]],362.2996276,5,448033822,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 56",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:49.4,6955,1,5,5,9.269526353,1330.99422,98.58735279,65.15674667,1321.724694,[[1;0;0][6.1230310647796E-17;1.39590503463728E-17;475.301114851586][6.12303176911189E-17;0;3.35539114113443][...]],126.6774427,10,1386621444,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 55",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:50.2,6955,0,5,5,17.48598773,1330.999031,207.0770859,192.9464464,1313.513043,[[1;0;0][3.74915180455534E-33;2.58147259041497E-16;4.21600391400452][6.12303176911189E-17;0;4.21600391400452][...]],82.28055959,10,1228485760,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 54",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",13:55.8,5983,1,10,10,120.956705,1330.956705,494.3387238,686.249621,1210,[[1;0;0][6.12303176911189E-17;201.069529862983;0][3.74915180455534E-33;3.68460301117918E-15;60.1761210805151][...]],41.29824022,5,1267613435,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 57",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:49.9,6955,1,5,5,10.0048597,1330.999812,50.22199202,31.15629161,1320.994953,[[1;0;0][3.74915180455534E-33;2.01929532875308E-16;3.29786844964543][6.12303176911189E-17;0;3.92369717326846][...]],82.31821463,10,25738548,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 56",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:53.0,6955,0,5,5,49.53004758,1330.956705,204.2762314,173.1436241,1281.426657,[[1;0;0][6.12297948622278E-17;498.430622955235;2.05977142452424][6.12303176911189E-17;0;7.46572552903049][...]],84.98917071,10,2001457019,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 56",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",13:56.4,5983,0,10,10,120.956705,1330.956705,∞,228.5803885,1210,[[1;0;0][3.74915180455534E-33;2.13827167326078E-15;34.9217798288661][6.12303176911189E-17;0;34.9217798288661][...]],319.8089712,5,1236935194,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 55",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",13:55.7,5983,1,10,10,120.956705,1330.956705,∞,175.828405,1210,[[1;0;0][3.74915180455534E-33;3.89898206394235E-15;63.6773123342439][6.12303176911189E-17;63.6773123342439;0][...]],240.329445,5,1177784535,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 58",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:47.3,6955,1,5,5,40.11659505,1330.997857,184.7929781,147.5512795,1290.881262,[[1;0;0][6.12303153782153E-17;3.96596188682377E-18;235.652215784006][6.12303176911189E-17;0;4.66004710644035][...]],41.97631156,10,568607981,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 57",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:49.8,6955,0,5,5,0.821187838,1330.999931,274.4986512,256.1511358,1330.178743,[[1;0;0][6.12303176911189E-17;41.0295904734087;0][3.74915180455534E-33;1.49568691894135E-16;2.44272278070883][...]],126.8432001,10,272669990,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 59",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:47.6,6955,1,5,5,15.48999343,1330.982152,104.2655795,73.39257698,1315.492158,[[1;0;0][3.74915180455534E-33;2.84071150033299E-16;4.63938716546137][6.12303176911189E-17;0;4.63963480382097][...]],47.23689622,10,1807194971,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 57",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",13:52.6,5983,0,10,10,120.956705,1330.956705,805.2345261,389.9557544,1210,[[1;0;0][6.12262717442612E-17;569.105588077075;6.54268787183418][3.74915180455534E-33;1.23303300608814E-15;20.1376222202255][...]],535.1338856,5,1522398026,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 58",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:49.2,6955,0,5,5,42.80619577,1330.993812,167.4879129,110.7992058,1288.187617,[[1;0;0][6.12303176911189E-17;0;5.84115557979479][3.74915180455534E-33;2.89306888657446E-16;4.72489609015059][...]],103.2482172,10,687680058,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 56",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",13:53.4,5983,1,10,10,120.956705,1330.956705,∞,302.4715342,1210,[[1;0;0][6.12303176911189E-17;0;24.0755093694571][3.74915180455534E-33;1.47415096002956E-15;24.0755072914373][...]],454.4065877,5,484101653,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 60",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:49.8,6955,1,5,5,16.1767204,1330.956705,733.3366103,464.0002148,1314.779985,[[1;0;0][3.74915180455534E-33;2.46599530768098E-16;4.02740897102787][6.12303176911189E-17;0;4.02740897102787][...]],322.3888676,10,1200279676,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 59",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:51.4,6955,0,5,5,7.345187949,1330.956705,241.614135,182.1682793,1323.611517,[[1;0;0][6.12303129723634E-17;2.07116714130528E-17;861.594989880864][6.12300991574042E-17;191.254199125492;0.510979064785125][...]],103.0905877,10,732581502,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 58",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",13:58.3,5983,0,10,10,120.956705,1330.956705,∞,372.2155542,1210,[[1;0;0][6.12302395034792E-17;1.77556935035003E-16;1814.55640523864][6.12303176911189E-17;0;17.3288247823001][...]],715.7473931,5,1858969641,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 57",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",14:02.4,5983,1,10,10,120.956705,1330.956705,∞,503.5004209,1210,[[1;0;0][6.12303176911189E-17;0;48.8524050795649][3.74915180455534E-33;2.99106097521792E-15;48.849346010363][...]],627.5356328,5,2081837227,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 61",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:52.4,6955,1,5,5,1.530013958,1330.99958,9.827537522,5.609134552,1329.469566,[[1;0;0][6.12303176911189E-17;0;1.27768772617929][3.74915180455534E-33;7.82332253840011E-17;1.27768772617929][...]],15.03726812,10,1126322634,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 60",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:55.3,6955,0,5,5,16.78747416,1330.994775,13.45282772,13.30335655,1314.207301,[[1;0;0][6.12303176911189E-17;0;4.79320743449103][3.74915180455534E-33;2.93489613973319E-16;4.79320743449103][...]],4.65168061,10,1028961117,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 62",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:52.4,6955,1,5,5,9.214805899,1330.999538,161.9624236,104.7221737,1321.784732,[[1;0;0][6.12298364999886E-17;517.880985932105;2.05316132081205][3.74915180455534E-33;2.02304414926301E-16;3.3039909403515][...]],81.52483347,10,516076580,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 61",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:52.8,6955,0,5,5,63.27612637,1330.956705,53.36122259,36.27038402,1267.680579,[[1;0;0][3.74915180455534E-33;5.75481500785463E-16;9.39863653310644][6.12303176911189E-17;83.5880523361683;0][...]],4.57960452,10,1761080679,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 59",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:03.5,5983,0,10,10,120.9556948,1330.956705,352.6838427,136.3070506,1210.00101,[[1;0;0][6.12160319295484E-17;9.31588338255898E-16;704.36768534231][6.12303176911189E-17;0;37.9849505494331][...]],245.2121737,5,1242539723,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 58",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",14:00.7,5983,1,10,10,120.9542408,1330.956705,722.7620525,478.1704518,1210.002464,[[1;0;0][6.12303176911189E-17;0;36.3728949736288][3.74915180455534E-33;2.22712391458099E-15;36.3728949736288][...]],286.6530419,5,315193514,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 63",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:51.1,6955,1,5,5,2.760692874,1330.99826,142.9622484,109.4114981,1328.237567,[[1;0;0][3.74915180455534E-33;7.95544774118139E-17;1.29926612194195][6.12301076591069E-17;1.53896130194155E-18;9.59593000083638][...]],22.80763428,10,2048206356,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 62",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:53.7,6955,0,5,5,58.84843569,1330.998368,76.6564281,69.19146929,1272.149932,[[1;0;0][6.12303176911189E-17;83.7422409988785;0][6.12303176911189E-17;0;6.73507967576035][3.74915180455534E-33;4.12391068221804E-16;6.73507967576035][...]],28.58897002,10,1378619408,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 60",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:02.7,5983,0,10,10,120.956705,1330.956705,733.2399601,495.963495,1210,[[1;0;0][6.12297548189808E-17;3.30044853506353E-16;1257.10291377051][6.12303176911189E-17;49.6835440072916;0][...]],71.4228023,5,1098521758,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 64",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:51.8,6955,1,5,5,56.37226946,1330.999803,189.5912768,131.6972438,1274.627534,[[1;0;0][6.12285511627466E-17;243.491474224288;1.84963147220384][6.12303153093456E-17;7.20731887886287E-18;422.012468286706][...]],36.83271698,10,2059222059,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 59",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",14:00.5,5983,1,10,10,120.956705,1330.956705,∞,318.9453676,1210,[[1;0;0][3.74915180455534E-33;9.21794891479335E-16;15.0545502005951][6.12303176911189E-17;0;15.0545502005951][...]],394.9194851,5,1253851238,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 63",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",09:04.3,6955,0,5,5,25.50935264,1330.996606,32.92826775,25.66890297,1305.487253,[[1;0;0][6.12070560288871E-17;65.9350978665002;1.81799439296717][6.12303176911189E-17;0;3.63464015289721][...]],20.53846017,10,1703356454,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 65",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:53.1,6955,1,5,5,17.72247698,1330.998795,596.3082925,444.6544798,1313.276318,[[1;0;0][6.12303176911189E-17;0;1.84345268429207][3.74915180455534E-33;1.12875193507749E-16;1.84345268429207][...]],213.9640085,10,1957747956,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 64",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:52.5,6955,0,5,5,44.81344646,1330.994785,71.55548092,61.39774115,1286.181338,[[1;0;0][6.12246692958779E-17;5.67503376643697E-17;68.2366460661838][3.74915180455534E-33;2.9283644639684E-16;4.78254004615943][...]],13.34225934,10,1807806918,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 61",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:00.1,5983,0,10,10,120.956705,1330.956705,975.7719231,591.2268393,1210,[[1;0;0][6.12303176911189E-17;0;38.4909285062127][3.74915180455534E-33;2.35681178066155E-15;38.4909285062127][...]],213.9318759,5,1686612191,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 60",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",14:01.3,5983,1,10,10,73.8665754,1330.956705,123.5188552,233.5676754,1257.09013,[[1;0;0][6.12301664328519E-17;1.57090210955492E-16;1154.22792369314][3.74915180455534E-33;4.1145639777419E-16;6.71981484482595][...]],390.2191043,5,740434102,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 66",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:52.3,6955,1,5,5,20.37862875,1330.999559,147.4470983,93.01964786,1310.62093,[[1;0;0][6.12303175731049E-17;1.54519579455529E-18;406.460644824699][6.12303176911189E-17;0;2.01537131314959][...]],109.0047785,10,1463876261,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 65",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:53.3,6955,0,5,5,18.71353636,1330.999447,51.72851654,50.77221323,1312.285911,[[1;0;0][6.12303176911189E-17;86.6056366077128;0][3.74915180455534E-33;1.27984886461457E-16;2.09022084626584][...]],31.97311215,10,136675583,20
