,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 48",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:50.8,6955,0,5,5,0.004357375,1330.999972,43.54064045,37.59168988,1330.995615,[[1;0;0][3.74915180455534E-33;2.06070468745486E-16;3.36549729800561][6.12303176911189E-17;0;3.36482241598814][...]],41.74204305,10,1911910083,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 49",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:51.6,6955,1,5,5,92.96174128,1330.972245,248.1140408,195.0950942,1238.010503,[[1;0;0][6.12303176911189E-17;0;8.4562250201307][3.74915180455534E-33;5.18319937906667E-16;8.46508653640134][...]],182.7786156,10,1560157081,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 51",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:04.1,5983,0,10,10,120.956705,1330.956705,∞,341.7944377,1210,[[1;0;0][6.12303176911189E-17;0;25.8671463097409][3.74915180455534E-33;1.58385358630809E-15;25.8671463097409][...]],638.7288658,5,941742316,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 50",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",16:16.0,5983,1,10,10,120.956705,1330.956705,253.5911878,352.0146132,1210,[[1;0;0][3.74915180455534E-33;1.5450011206137E-15;25.2326164369681][6.12303176911189E-17;0;25.2326164369681][...]],332.3719143,5,1404289018,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 49",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",09:02.0,6955,0,5,5,0.645431916,1330.999782,21.93993386,18.76311389,1330.35435,[[1;0;0][3.74915180455534E-33;6.13716682894977E-17;1.00230850669585][6.12303176911189E-17;0;1.00230850669585][...]],11.95425196,10,1234201582,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 50",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",09:02.1,6955,1,5,5,78.91036163,1330.987479,130.5583506,122.3217483,1252.077118,[[1;0;0][6.12296786338364E-17;369.68594092804;1.68903235861351][6.12303176911189E-17;0;8.30341707522051][...]],63.53064224,10,1186319124,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0} Run 50",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=0}",08:52.6,6955,0,5,5,24.0592668,1330.998235,208.9109824,131.7222282,1306.938968,[[1;0;0][3.74915180455534E-33;1.69080388900557E-16;2.76138349883299][6.12303176911189E-17;0;2.76138349883299][...]],279.0045703,10,2066773267,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1} Run 51",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=300, NonDominatedElites=1}",08:52.2,6955,1,5,5,2.542029023,1330.99997,21.27888327,11.84436732,1328.457941,[[1;0;0][3.74915180455534E-33;8.36415156383194E-17;1.36601472591169][6.12303176911189E-17;0;1.36658960492186][...]],21.02261342,10,1877274254,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 52",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",14:01.4,5983,0,10,10,120.956705,1330.956705,∞,356.4997438,1210,[[1;0;0][6.12303176911189E-17;0;43.5815924882036][3.74915180455534E-33;2.66851475353759E-15;43.5815924882036][...]],399.4779869,5,2020831704,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 51",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",14:00.9,5983,1,10,10,120.956705,1330.956705,∞,23.95172208,1210,[[1;0;0][3.74915180455534E-33;1.00608016327438E-15;16.4310786096135][6.12303176911189E-17;0;16.4310786096135][...]],27.30773956,5,1707080626,10
