,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",40,182,10982,3662,00:00.0,3593.45559,12912923.08,182,6032,9002,182,182,9002,282.8330206,-1853.243902,0.846638983
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",50,4,5784,822,00:00.0,2022.394519,4090079.592,4,29,3390.666667,4,4,3128.230769,77.81368547,-1084.435294,0.314585822
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",50,35,6135,581,00:00.0,1656.552851,2744167.347,35,185,2189.166667,35,35,1992.692308,48.19687875,-599.8235294,0.179881363
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",50,21,6471,1101,00:00.0,2209.534072,4882040.816,21,621,4183.5,21,33.5,3747.923077,92.29771909,-1160.294118,0.370799778
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",50,55,6955,1039,00:00.0,1625.229654,2641371.429,55,1555,3005,55,80,2570.384615,63.38535414,-513.9411765,0.323226754
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",50,4,5779,702.2,00:00.0,1893.782189,3586410.98,4,19,2902.333333,4,4.416666667,2677.076923,64.00192077,-865.8470588,0.242708449
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,35,6135,468,00:00.0,1448.313939,2097613.265,35,185,1697.5,35,39.16666667,1496.538462,32.01680672,-316.4117647,0.103845945
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",50,21,6471,696,00:00.0,1519.238867,2308086.735,21,471,2371,21,46,2005.615385,45.03961585,-407.4705882,0.186765289
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",50,55,6955,1555,00:00.0,2423.608374,5873877.551,55,955,5105,55,105,4578.076923,115.2172869,-1267.823529,0.480252168
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",50,4,5784,475.5,00:00.0,1580.21545,2497080.867,4,24,1951.916667,4,4.416666667,1799,44.35990396,-611.3176471,0.167458625
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 3",50,35,6135,726,00:00.0,1824.316758,3328131.633,35,235,2755.833333,35,35,2496.538462,58.05762305,-696.4117647,0.215217183
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 3",50,21,6471,726,00:00.0,1527.377705,2332882.653,21,321,2533.5,21,46,2063.307692,49.10204082,-477,0.219616581
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 3",50,55,6955,1129,00:00.0,1881.901991,3541555.102,55,1855,3880,55,55,3262.692308,82.58823529,-894.4117647,0.409261889
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 4",50,4,5784,818.9,00:00.0,2023.639248,4095115.806,4,14,3385.666667,4,4.833333333,3124,79.87827131,-1138.117647,0.331093048
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 4",50,35,6135,589,00:00.0,1654.21046,2736412.245,35,135,2222.5,35,39.16666667,2015.769231,48.96518607,-610.6470588,0.186188232
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 4",50,21,6471,747,00:00.0,1733.29461,3004310.204,21,471,2658.5,21,46,2294.076923,53.12845138,-554.6470588,0.199649614
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 4",50,55,6955,865,00:00.0,1641.210355,2693571.429,55,955,2805,55,105,2224.230769,52.36494598,-417.9411765,0.216327513
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 5",50,4,5784,357.9,00:00.0,1384.823827,1917737.031,4,19,1464.416667,4,4,1351.307692,28.98319328,-352.1882353,0.09308128
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 5",50,35,6135,1313,00:00.0,2438.303191,5945322.449,35,435,5185,35,39.16666667,4788.846154,119.0972389,-1604.882353,0.506975424
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 5",50,21,6471,864,00:00.0,1905.309713,3630205.102,21,471,3121,21,33.5,2755.615385,67.38295318,-786.8823529,0.2657834
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 6",50,4,5784,473.9,00:00.0,1581.782929,2502037.235,4,19,1944.416667,4,4.416666667,1792.076923,40.83433373,-526.5411765,0.141617236
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 5",50,55,6955,1387,00:00.0,2009.410514,4037730.612,55,2155,4155,55,80,3470.384615,84.07202881,-672.7647059,0.371984334
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 6",50,35,6135,391,00:00.0,1184.493347,1403024.49,35,435,1376.666667,35,39.16666667,1204.230769,25.85834334,-242.5294118,0.101273327
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 6",50,21,6471,699,00:00.0,1266.731291,1604608.163,21,1071,1971,21,46,1832.538462,43.39015606,-364.0588235,0.249328751
