,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 29",6544,1225.798588,1330.999773,1330.019431,1330.199451,2.805160147,7.868923448,1329.916148,1330.443,1330.62848,1329.068395,1329.357115,1330.205885,0.000187436,1329.406233,0.015935435
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 28",6544,1168.199819,1330.999897,1329.877376,1330.104653,3.133316837,9.817674402,1329.794229,1330.367967,1330.573907,1328.738795,1329.102349,1330.089512,0.000221428,1329.152974,0.017824952
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 30",6544,1256.185368,1330.995518,1330.009418,1330.15306,1.59596161,2.547093459,1329.888965,1330.401333,1330.588314,1329.146348,1329.43043,1330.185871,0.000166273,1329.465454,0.038741149
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 29",6544,1129.361108,1330.999656,1329.805176,1330.165606,5.531246511,30.59468797,1329.851066,1330.408661,1330.611901,1328.300999,1328.547607,1330.220535,0.000369621,1328.595963,0.015938152
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 31",10984,1156.336359,1330.997977,1328.166678,1329.009808,4.488985589,20.15099162,1327.922842,1329.667394,1329.967417,1324.803534,1325.809273,1329.01077,0.000410169,1325.914234,0.083947739
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 30",10984,955.3691366,1330.992347,1327.777156,1328.977008,8.660786372,75.00922058,1327.571487,1329.63988,1329.970778,1323.424193,1324.494159,1329.199642,0.00060144,1324.474348,0.048489659
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 31",6544,1152.887154,1330.995482,1329.8785,1330.115469,3.705543267,13.7310509,1329.830174,1330.372695,1330.58386,1328.705066,1329.037358,1330.229409,0.000258342,1329.033336,0.017348291
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 30",6544,1122.188475,1330.998965,1329.590507,1330.125457,6.92528053,47.95951043,1329.802042,1330.386006,1330.591413,1327.547246,1327.854115,1330.128987,0.000507018,1327.931799,0.019131243
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 32",6544,1156.002325,1330.998008,1329.728773,1330.02292,5.371883546,28.85713283,1329.684609,1330.313287,1330.548689,1328.327377,1328.734069,1330.160977,0.000319385,1328.683906,0.01261672
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 31",6544,1275.001892,1330.998872,1330.056572,1330.144387,0.913433855,0.834361408,1329.882596,1330.407237,1330.618811,1329.319241,1329.645726,1330.130385,0.000109182,1329.699385,0.050993675
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 32",10984,865.0949532,1330.983421,1326.284413,1328.959789,15.59469799,243.1946054,1327.382267,1329.650974,1329.99474,1317.562802,1318.455168,1329.047316,0.001359435,1318.819075,0.07640862
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 31",10984,964.3754833,1330.914361,1327.710386,1329.04295,11.94671255,142.7239409,1327.920524,1329.650949,1329.943085,1323.017741,1324.010161,1329.150629,0.000657575,1324.099315,0.030462989
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 33",6544,1246.950147,1330.99985,1329.903575,1330.097091,1.961326482,3.846801569,1329.79536,1330.378213,1330.589081,1328.833037,1329.163721,1330.207563,0.000232095,1329.144275,0.049980953
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 32",6544,1201.704743,1330.996093,1329.97533,1330.125811,1.743552339,3.039974758,1329.823004,1330.379941,1330.591155,1329.072589,1329.324925,1330.279857,0.000193172,1329.343366,0.043811903
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 34",6544,1227.623325,1330.99987,1329.942975,1330.064284,2.118034249,4.486069081,1329.781433,1330.337968,1330.551449,1329.092903,1329.428744,1330.202161,0.000167682,1329.394405,0.022370549
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 33",6544,1175.441777,1330.999639,1329.790339,1330.053355,3.126825346,9.777036747,1329.713225,1330.339331,1330.556075,1328.510419,1328.817,1329.992395,0.000258032,1328.946187,0.024305872
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 35",6544,1273.307737,1330.999177,1330.099579,1330.245076,1.013838348,1.027868196,1329.947521,1330.486328,1330.666585,1329.262947,1329.554909,1330.197196,0.000130285,1329.673351,0.058941903
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 34",6544,1265.976,1330.999716,1330.038659,1330.115593,1.180198928,1.392869509,1329.829597,1330.391399,1330.591514,1329.341802,1329.680117,1330.143065,9.16E-05,1329.738989,0.021500767
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 33",10984,981.9342722,1330.927223,1327.846569,1328.927628,8.282513606,68.60003163,1327.845968,1329.603667,1329.884692,1323.732363,1324.736919,1329.068642,0.000559585,1324.773607,0.045897309
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 32",10984,796.709663,1330.99774,1326.129939,1328.987229,25.47775258,649.1158767,1327.79463,1329.639551,1329.951988,1316.775275,1317.841662,1329.216994,0.001506637,1317.85624,0.035162079
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 36",6544,1192.554494,1330.999821,1330.098131,1330.243057,2.562455015,6.566175706,1329.994945,1330.467079,1330.651464,1329.265791,1329.552216,1330.213432,0.000152994,1329.597613,0.012723479
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 35",6544,1300.153746,1330.998834,1329.998421,1330.098211,1.04422103,1.090397559,1329.82975,1330.337213,1330.549682,1329.257175,1329.609926,1330.12242,0.000105315,1329.653884,0.036304914
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 37",6544,1242.345097,1330.997018,1329.962781,1330.155677,1.938492377,3.757752694,1329.862064,1330.422912,1330.612379,1328.931051,1329.352345,1330.262208,0.00019792,1329.315284,0.037206974
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 36",6544,1244.450705,1330.999098,1329.843794,1330.065074,1.484694428,2.204317546,1329.726568,1330.329063,1330.543035,1328.73127,1329.098263,1330.227563,0.000235886,1329.072094,0.090094915
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 34",10984,1079.744149,1330.998434,1327.602054,1328.977709,6.913008854,47.78969141,1327.806145,1329.618988,1329.902382,1322.726524,1323.722206,1329.180845,0.000693522,1323.793579,0.101196486
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 33",10984,867.3522889,1330.992411,1327.463616,1328.849808,13.59872176,184.9252335,1327.48499,1329.593612,1329.944496,1322.42381,1323.583584,1329.279159,0.000740897,1323.39498,0.029846883
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 38",6544,1204.551039,1330.999068,1329.950024,1330.114865,1.924437292,3.703458891,1329.844575,1330.380039,1330.585333,1328.97891,1329.33135,1330.13294,0.000182296,1329.353641,0.032027296
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 37",6544,1266.660393,1330.994271,1329.952535,1330.123485,1.54290219,2.380547169,1329.841102,1330.355991,1330.558184,1329.025291,1329.403735,1330.196274,0.000168781,1329.400368,0.042711137
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 39",6544,1270.79662,1330.999785,1329.930733,1330.083058,1.639815027,2.688993324,1329.748731,1330.364932,1330.591552,1328.980037,1329.269581,1330.159408,0.000185389,1329.324233,0.045619434
