,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 24",6545,0,995006.25,979255.8476,995006.25,123834.3419,15334944229,995006.25,995006.25,995006.25,931995.0131,931995.0131,995006.25,14.20779292,932767.9492,0.046997574
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 25",6545,0,995006.25,994024.9182,995006.2497,30115.00079,906913272.9,995006.2497,995006.2498,995006.2499,991080.3234,991080.3235,995006.2497,0.896466891,991091.6785,0.003163786
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 26",6545,0,995006.25,994212.289,995006.2499,27493.40209,755887158.6,995006.2495,995006.25,995006.25,991829.9206,991829.9279,995006.2429,0.726693109,991834.5491,0.002494305
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 27",6545,0,995006.25,988889.9559,995006.25,77551.32235,6014207598,995006.25,995006.25,995006.25,970537.3348,970537.3348,995006.25,5.571708074,970659.327,0.018429039
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 28",6545,0,995006.25,988441.2004,995006.25,80388.95857,6462384660,995006.25,995006.25,995006.25,968742.0387,968742.0387,995006.25,5.978079926,968880.9229,0.019743995
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 29",6545,0,995006.25,991752.05,995006.25,56272.544,3166599208,995006.25,995006.25,995006.25,981987.4607,981987.4607,995006.25,2.97171785,982028.5892,0.009956953
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 30",6545,0,995006.25,994806.3358,995006.25,12302.82269,151359446.2,995006.25,995006.25,995006.25,994206.4712,994206.4712,995006.25,0.181773714,994211.5722,0.000779394
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 31",6545,0,995006.25,990389.9633,995006.2496,67212.33801,4517498380,995006.2293,995006.2497,995006.2499,976538.2879,976538.2947,995006.2498,4.21104046,976611.4389,0.014014746
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 32",6545,0,995006.25,994807.263,995006.25,12301.76952,151333533.4,995006.25,995006.25,995006.25,994210.1805,994210.1805,995006.25,0.180922921,994215.2832,0.000772247
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 33",6545,991655.1574,995006.25,994970.819,995006.25,210.7197269,44402.80329,995006.25,995006.25,995006.25,994864.5045,994864.5045,995006.25,0.031595439,994867.4388,0.080268065
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 34",6545,0,995006.25,994522.6302,995006.25,21299.30334,453660322.7,995006.25,995006.25,995006.25,993071.4752,993071.4752,995006.25,0.442347728,993075.2684,0.001539931
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 35",6545,0,995006.25,994209.2866,995006.2498,27493.66773,755901765.3,995006.2496,995006.25,995006.25,991817.9095,991817.9095,995006.2499,0.729352204,991822.8461,0.002512544
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 36",6545,0,995006.25,989324.8931,995006.25,74602.63749,5565553521,995006.25,995006.25,995006.25,972277.3496,972277.3496,995006.25,5.177370444,972384.537,0.017195489
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 37",6545,0,995006.25,980329.7294,995006.25,119618.555,14308598696,995006.25,995006.25,995006.25,936291.1966,936291.1966,995006.25,13.25418361,936962.0406,0.043834218
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 38",6545,0,995006.25,966095.6686,995006.25,167060.1443,27909091827,995006.25,995006.25,995006.25,879346.2529,879346.2529,995006.25,25.73286496,881897.7345,0.084710059
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 39",6545,0,995006.25,976191.3939,995006.25,135110.7685,18254919766,995006.25,995006.25,995006.25,919735.3252,919735.3252,995006.25,16.91860286,920833.7254,0.055982652
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 40",6545,0,995006.25,985826.473,995006.25,94832.39296,8993182754,995006.25,995006.25,995006.25,958281.5309,958281.5309,995006.25,8.336041234,958550.9461,0.027587395
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 41",6545,0,995006.25,963663.0629,995006.25,173732.9377,30183133628,995006.25,995006.25,995006.25,869614.3433,869614.3433,995006.25,27.82790443,872610.1596,0.091601184
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 42",6545,0,995006.25,987068.4816,995006.25,88340.90218,7804114998,995006.25,995006.25,995006.25,963250.3246,963250.3246,995006.25,7.218382572,963449.9339,0.023837491
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 43",6545,0,995006.25,990838.8918,995006.25,63777.40584,4067557495,995006.25,995006.25,995006.25,978334.2698,978334.2698,995006.25,3.802491062,978397.141,0.012691329
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 44",6545,0,995006.25,994479.6064,995006.25,21300.76361,453722530.4,995006.25,995006.25,995006.25,992899.3536,992899.3536,995006.25,0.480323857,992907.9867,0.001815442
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 45",6545,0,995006.25,991293.4096,995006.25,60144.22155,3617327386,995006.25,995006.25,995006.25,980152.6191,980152.6191,995006.25,3.389566029,980202.7496,0.011339784
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 46",6545,0,995006.25,993751.9828,995006.25,34767.81849,1208801202,995006.25,995006.25,995006.25,989988.4145,989988.4145,995006.25,1.147554215,989997.1854,0.003889519
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 47",6545,0,995006.25,994018.9026,995006.25,30114.39991,906877082,995006.25,995006.25,995006.25,991056.2571,991056.2571,995006.25,0.901157106,991070.3166,0.003197106
