, AgeGap, AgeLimits, Algorithm Name, Crowding, EvaluatedSolutions, Execution Time, Generations, NumberOfLayers, OpenLayers, ParetoFrontResults.Absolute Distance to BestKnownHypervolume, ParetoFrontResults.Best known hypervolume, ParetoFrontResults.Crowding, ParetoFrontResults.Generational Distance, ParetoFrontResults.Hypervolume, ParetoFrontResults.Pareto Front, ParetoFrontResults.Spacing, PopulationSize, Seed, SelectedParents, Spacing
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 1, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 58.854234094225426, 300021, 00:34:44.7866224, 6307, 5, 5, 4.514601428570586, 1330.8610922189334, 56.285406162925248, 175.74436852576233, 1326.3464907903629, [[0;0;3.51810206014412][3.51810206014412;0;0][0;3.51810206014412;0][0.729725846234148;0.35941720784667;2.42895900606331][...]], 52.658340547603018, 10, 862024330, 20, 40.608660026647264
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 2, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 94.445518251684149, 300021, 01:35:25.7200675, 6307, 5, 5, 1.6228694983317382, 1330.9328980361072, 115.94835639163986, 259.79311299804959, 1329.3100285377755, [[2.36907713157005;0;0][0;1.87074744280667;0][0;0;1.87230929739509][0.912067030887429;0.90702418808096;0.0565175577727997][...]], 108.34347331857266, 10, 2037109033, 20, 106.65967979894526
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 3, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 79.001191292125057, 300021, 01:00:38.5769630, 6307, 5, 5, 17.675146972192806, 1330.3813874999998, 84.21881186616983, 215.98597804360233, 1312.706240527807, [[0;4.44836557101037;0][4.44694008873469;0;0][0;0;4.44694008873451][1.22479712916449;1.47461248707999;1.73811530919303][...]], 66.638083910007, 10, 1747586973, 20, 67.393163420274817
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 4, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 76.323390864968644, 300021, 02:23:06.3474522, 6307, 5, 5, 0.59981498016713886, 1330.9402506940514, 82.3801746279178, 213.15151829211592, 1330.3404357138843, [[0;1.51961009193765;0][1.51961003802788;0;0][0;0;1.51961003802788][0.0667970124130668;0.651711492752069;0.801101586772514][...]], 58.475322114812442, 10, 1084791986, 20, 58.277847700886561
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 5, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 79.594484099822836, 300021, 00:34:48.0837337, 6307, 5, 5, 6.2094430498002566, 1330.7118933190595, 79.287039814809134, 220.92243879218248, 1324.5024502692593, [[0;0;3.10597559616169][3.10599665173302;0;0][0;3.10597559616169;0][0.319102032054445;0.440418666939558;2.34645501224666][...]], 51.14567707131723, 10, 984672733, 20, 63.394082897921351
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 6, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 56.5376167043231, 300021, 00:33:22.6154777, 6307, 5, 5, 16.815908149220377, 1330.3813874999998, 74.902548843102267, 183.81041159842894, 1313.5654793507795, [[0;4.4275262579519;0][4.42752625785224;0;0][0;0;4.42752625784976][0.961555081284724;1.73780522156566;1.72816595507753][...]], 57.349071733752169, 10, 2040930177, 20, 46.704938225002977
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 7, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 71.510260902659908, 300021, 00:38:12.3917956, 6307, 5, 5, 0.87303653537537684, 1330.9845741388931, 82.383803033358092, 196.10525218609362, 1330.1115376035177, [[0;0;1.56140133968928][0;1.56140133968928;0][1.56140133968928;0;0][1.15434375060971;0.213083759405356;0.193973829674216][...]], 54.697592500870392, 10, 432408519, 20, 54.258376367055547
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 8, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 84.910055877176717, 300021, 01:11:15.7556003, 6307, 5, 5, 2.3844474460640868, 1330.9993210253067, 84.910055877176731, 175.30971943739161, 1328.6148735792426, [[2.07150076944514;0;0][0;2.07163181810382;0][0;0;2.06773098738316][0.314015785117524;0.379021938373809;1.37573160036339][...]], 69.318377317605282, 10, 1150155493, 20, 69.318377317605282
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 9, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 64.425817308746971, 300021, 00:31:05.5531821, 6307, 5, 5, 0.24428536167692982, 1330.8801939044693, 72.504716635107883, 195.91235486125353, 1330.6359085427923, [[1.62567935373491;0;0][0;1.62567054469821;0][0;0;1.62524484215495][0.569868390211091;0.792205579810408;0.263583983007493][...]], 52.879627616676707, 10, 67529424, 20, 50.27533122064024
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 10, 100, [100;200;400;900;1600], ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5}, 79.20263202459536, 300021, 01:55:52.3918722, 6307, 5, 5, 1.5402799851785858, 1330.9743252185817, 85.6931220673269, 267.80580215294731, 1329.4340452334031, [[0;2.0123504668729;0][2.01235035169144;0;0][0;0;2.01234992550542][0.705220803948595;0.256314985046646;1.05081443906851][...]], 63.88938904205849, 10, 603265590, 20, 61.87851199716183
