,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",48,4,5864,1957.75,4,2791.365962,7791723.936,4,5864,5864,4,4,5864,162.8441164,-1869.086735,0.667062702
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",48,8,6258,1977.791667,58,2916.328564,8504972.296,8,6258,6258,8,8,5741.333333,159.2569475,-1764.746599,0.584493845
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",48,85,6385,2088.125,235,2928.208483,8574404.92,85,6385,6385,85,85,5860,158.5567738,-1637.959184,0.574674178
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",48,242,6542,2435.75,542,2936.882574,8625279.255,242,6542,6542,242,242,6542,175.1248372,-1679.683673,0.696912727
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",48,4,5864,1958.895833,9,2790.547588,7787155.84,4,5864,5864,4,4,5864,162.8460161,-1867.985544,0.667469587
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",48,8,6258,1964.25,8,2925.504594,8558577.128,8,6258,6258,8,8,5741.333333,163.8949197,-1887.280612,0.615156314
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",48,4,5864,1958.583333,9,2790.770852,7788401.95,4,5864,5864,4,4,5864,162.8452019,-1868.278912,0.667356121
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",48,8,6258,1978.833333,58,2915.618859,8500833.333,8,6258,6258,8,8,5741.333333,159.8892749,-1778.564626,0.589431356
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",48,85,6385,2222.5,235,2975.082692,8851117.021,85,6385,6385,85,85,6385,175.0108554,-1890.255102,0.678247129
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",48,242,6542,2429.5,542,2941.314296,8651329.787,242,6542,6542,242,242,6542,175.0759878,-1684.785714,0.694426643
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",48,4,5864,1958.479167,9,2790.845262,7788817.276,4,5864,5864,4,4,5864,162.8395028,-1868.24915,0.667273828
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",48,8,6258,2108,58,2965.618589,8794893.617,8,6258,6258,8,8,6258,173.6864959,-1973.632653,0.672291449
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",48,85,6385,2078.75,85,2934.490876,8611236.702,85,6385,6385,85,85,5860,159.4767694,-1668.954082,0.578875812
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",48,242,6542,2435.75,542,2936.882574,8625279.255,242,6542,6542,242,242,6542,174.9945723,-1676.622449,0.695876329
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",48,4,5864,1957.645833,4,2791.440324,7792139.085,4,5864,5864,4,4,5864,162.8530721,-1869.401361,0.667100531
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",48,8,6258,2104.875,58,2967.849107,8808128.324,8,6258,6258,8,8,6258,173.7000651,-1977.076531,0.671386185
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",48,85,6385,2200.625,85,2990.448558,8942782.58,85,6385,6385,85,85,6385,174.9864307,-1911.556122,0.671107581
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",48,242,6542,2435.75,542,2936.882574,8625279.255,242,6542,6542,242,242,6542,175.3202345,-1684.27551,0.698468769
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 6",48,4,5864,1958.479167,9,2790.845262,7788817.276,4,5864,5864,4,4,5864,162.8460161,-1868.402211,0.667327208
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",48,8,6258,2106.958333,58,2966.362655,8799307.402,8,6258,6258,8,8,6258,173.6512158,-1973.845238,0.67168127
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",48,85,6385,2185,85,3001.276324,9007659.574,85,6385,6385,85,85,6385,175.0759878,-1929.285714,0.666956144
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6",48,242,6542,2442,542,2932.430551,8599148.936,242,6542,6542,242,242,6542,175.0759878,-1672.285714,0.698640522
