,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.1,5864,3,3,7.163217917,0.048715551,0.34150859,113.5034487,[[0;1][1;0.670415773975778][0.791279410271186;0.706822001528699][0.303773134191271;0.81834763896988][0.428084096980396;0.784359212313891][...]],0.024834344,16,1020029214,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:42.0,6258,3,3,6.782745339,0.048036979,0.344042502,113.8839213,[[0;1][1;0.634596857041759][0.167483889174484;0.850460784540294][0.0797858205847109;0.896792482132794][...]],0.025595316,16,2089431154,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:42.1,6385,3,3,5.580676187,0.048028392,0.317809612,115.0859905,[[0;1][1;0.521501746834526][0.33647224088838;0.722659081300886][0.471602931530499;0.671402755652751][0.239113531267674;0.766097201022662][...]],0.027625521,16,173646921,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:42.4,6542,3,3,5.183513374,0.048434203,0.318000117,115.4831533,[[0;1][1;0.484253456927523][0.360956818175037;0.690143723631611][0.808433870074982;0.536282749949698][...]],0.024547492,16,1502915764,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.0,5864,3,3,7.694438396,0.044744613,0.367325615,112.9722283,[[0;1][1;0.720334256814269][0.223301536392268;0.867880252756495][0.361387841276928;0.831877578399487][...]],0.023316787,16,1524595326,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:42.8,6258,3,3,6.058399034,0.050628409,0.351583676,114.6082676,[[0;1][1;0.566400226413166][0.0642559358987248;0.892833514775472][0.604973753339897;0.662745901490826][...]],0.029007391,16,1850874464,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:43.1,6385,3,3,5.466395978,0.047469404,0.300603402,115.2002707,[[0;1][1;0.510811791849821][0.103280322166323;0.842794038653984][0.277586998542732;0.742276711322586][...]],0.028408376,16,1964900752,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:43.6,6542,3,3,4.920539926,0.048600095,0.332781098,115.7461267,[[0;1][1;0.459626029400163][0.478974405211624;0.626019657646129][0.592933396704542;0.583902701119862][...]],0.025974995,16,1597726487,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.5,5864,3,3,7.43777951,0.046941083,0.349088353,113.2288872,[[0;1][1;0.696316824348358][0.153761807201799;0.880918738509061][0.797023409579464;0.728884576393042][...]],0.02785831,16,1037088018,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:43.2,6258,3,3,6.50233686,0.0470316,0.368182149,114.1643298,[[0;1][1;0.60812053582058][0.402591347888335;0.751365499551376][0.661366592000797;0.681317650869683][0.272376850306642;0.795492864255781][...]],0.022371511,16,2131099447,32
