,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.7,5864,3,3,0.381805308,0.316300418,1.66793892,120.2848614,[[1;0.0304516336243873][0;1.05998414366506][0.241533988892818;0.554039079041654][0.111066712755552;0.716914162338046][...]],0.05989775,16,664619198,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.2,6258,3,3,0.120452549,0.258362884,1.18557918,120.5462141,[[0;1.01494239508306][1;0.00749890152309386][0.537749649845262;0.27616983343374][0.179512667060667;0.588109345025217][...]],0.089553073,16,1568938830,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.5,6385,3,3,0.290751822,0.168940547,0.780959209,120.3759148,[[1;0.0224789808334785][0;1.04434875786407][0.189829776976418;0.599179941406893][0.0888341873230475;0.739872907507962][...]],0.029106338,16,1899624207,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.0,6542,3,3,0.261731657,0.163520514,0.567810023,120.404935,[[1;0.0196034972978516][0;1.03879330486038][0.560717966826103;0.27559942183874][0.754232620094515;0.153755691086251][...]],0.042396166,16,534708010,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.2,5864,3,3,0.467387737,0.307062371,1.578628342,120.1992789,[[1;0.0378865074687538][0;1.07443657694121][0.30737745092807;0.4997603886582][0.462197352022736;0.369739685473716][...]],0.03928356,16,1547990158,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:38.5,6258,3,3,0.681695404,0.271492307,1.541810783,119.9849713,[[0;1.11053937822772][1;0.0567080236277445][0.241041302803649;0.593149554291257][0.384567824128734;0.457029157132293][...]],0.04442969,16,1926819888,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.1,6385,3,3,0.10340462,0.181652384,0.877815593,120.563262,[[0;1.01010092448793][1;0.00511675357767824][0.496732486239278;0.301778950790149][0.72690377441963;0.153298411578765][...]],0.046855739,16,1676360614,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.7,6542,3,3,0.115168744,0.158692159,0.471510533,120.5514979,[[1;0.0070099548227896][0;1.01012463310456][0.261915118924196;0.498335626248352][0.849018027604545;0.0852156402342184][...]],0.046225234,16,421228094,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.4,5864,3,3,0.47075984,0.267029114,1.621780774,120.1959068,[[0;1.07443869862826][1;0.0378839286225417][0.691872025238302;0.212287232654058][0.856622356631086;0.115067724667392][...]],0.044868651,16,683872777,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:38.8,6258,3,3,0.165049394,0.237241464,1.315474198,120.5016173,[[1;0.0102867129612681][0;1.01960184945454][0.461189053608948;0.335663354728341][0.00857034540048601;0.930357832847409][...]],0.116958779,16,2086690869,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.3,6385,3,3,0.296943221,0.199110886,0.983377255,120.3697234,[[0;1.04494506951253][1;0.0227254148530654][0.787153104546957;0.139246696635252][0.658193597026823;0.216526289352889][...]],0.043353584,16,1547271998,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:46.9,6542,3,3,0.102532565,0.157523907,0.523814654,120.5641341,[[1;0.00571808871242678][0;1.01140643156925][0.0793622257620726;0.728091402504917][0.0194390336604978;0.871190662098078][...]],0.040363173,16,660756551,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 4",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.6,5864,3,3,0.583813782,0.270136931,1.789389179,120.0828529,[[0;1.09442450947866][1;0.048269335704304][0.767057456373565;0.17819820378501][0.388650570244536;0.442360483368277][...]],0.042599831,16,1716327913,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 4",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.2,6258,3,3,0.323441769,0.233676208,1.394726708,120.3432249,[[1;0.0250046688418982][0;1.04906548288829][0.0354539099546442;0.85680757165144][0.31155585212555;0.47736877570893][...]],0.06451851,16,435033549,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 4",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.9,6385,3,3,0.180707254,0.187392343,0.967410605,120.4859594,[[0;1.02487871337942][1;0.012515654012899][0.519625052209114;0.295116111400685][0.848372864052261;0.0924204811026535][...]],0.029890891,16,83684515,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 5",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.6,5864,3,3,0.181736462,0.272381786,1.639328892,120.4849302,[[0;1.01865185079289][1;0.0126828535826213][0.498246483626557;0.31095710380588][0.645818408817678;0.20883609918807][...]],0.046904935,16,1105538381,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:47.1,6542,3,3,0.122734778,0.138928525,0.430581496,120.5439319,[[0;1.01537038606305][1;0.00772148835748196][0.868388469045597;0.0763631517880636][0.735772752752538;0.151315205432919][...]],0.036756294,16,1521385792,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 5",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.1,6258,3,3,0.323688524,0.269307808,1.162238868,120.3429781,[[1;0.0246931798669332][0;1.0488050313155][0.50879619001658;0.318306518491875][0.69186806005127;0.196962985065147][...]],0.128015694,16,1963990377,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 5",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:39.5,6385,3,3,0.135271389,0.187356458,0.796026506,120.5313953,[[0;1.01711427005184][1;0.00856245098667787][0.201749999647963;0.564167694898774][0.0882395976365487;0.717479233349456][...]],0.031461584,16,1725337576,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 6",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:37.3,5864,3,3,0.624925457,0.270019643,1.806833203,120.0417412,[[1;0.0511489253200689][0;1.09991917392144][0.429537594561719;0.412585846803056][0.635990461468137;0.263554444157787][...]],0.040569927,16,1166771103,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:47.5,6542,3,3,0.18956502,0.1335507,0.351479153,120.4771016,[[1;0.0136863767681375][0;1.02738784786277][0.499457232499102;0.311033767742958][0.816880952403008;0.111287411936092][...]],0.033003745,16,1460966324,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 6",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.6,6258,3,3,0.30653168,0.273900114,1.652897766,120.360135,[[1;0.0239557801098128][0;1.04734656743405][0.585477543495014;0.264301221156111][0.83000660535401;0.1149973068523][...]],0.03592147,16,1094410234,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 6",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:40.1,6385,3,3,0.152338674,0.190858842,0.805633576,120.514328,[[1;0.0102693603643745][0;1.02043671961268][0.0490711283249478;0.796694244475335][0.88293708835799;0.07124551350758][...]],0.032862398,16,294001791,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 7",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:36.8,5864,3,3,0.231734935,0.296250131,1.389954541,120.4349317,[[1;0.0171967966339198][0;1.03407151563488][0.454859993439573;0.348337638795681][0.244058710414219;0.531805075360088][...]],0.09581711,16,1036687098,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 7",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:39.8,6258,3,3,0.296022739,0.254940884,1.442765279,120.3706439,[[1;0.0231174787435423][0;1.04566993926748][0.471099113637531;0.343841111197042][0.349963070894283;0.440756220611627][...]],0.039317349,16,1867578408,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 7",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:40.2,6385,3,3,0.391318729,0.167411743,0.703795331,120.2753479,[[0;1.06209387770776][1;0.0315023613271204][0.0261851182121296;0.895349034012382][0.748581784758156;0.170434021057985][...]],0.032712764,16,192886771,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:47.6,6542,3,3,0.095677971,0.135511638,0.329275146,120.5709887,[[1;0.00537927069244198][0;1.01072668913851][0.145426376437456;0.62738925059018][0.0655383362270483;0.756298168674062][...]],0.029903883,16,945043387,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 8",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:37.7,5864,3,3,0.990518387,0.237212888,1.787501336,119.6761483,[[1;0.0843008077351756][0;1.16248202305053][0.0620459263630746;0.894460018279863][0.156445764992443;0.7364816052318][...]],0.036988235,16,1400771679,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 8",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:40.7,6258,3,3,0.486716541,0.228857058,1.194790225,120.1799501,[[1;0.0394738969590248][0;1.07750160235332][0.644690062314764;0.244042469786414][0.242992996241433;0.565812992855464][...]],0.053495277,16,611305116,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 8",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.0,6385,3,3,0.163460337,0.190904513,0.948079908,120.5032063,[[1;0.0108993437419585][0;1.02168949491234][0.354835868398944;0.419593951872134][0.865344694264527;0.0814195958514286][...]],0.043924861,16,1520316683,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 7",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:45.8,6542,3,3,0.155997644,0.146007569,0.420432632,120.510669,[[1;0.0100644315521313][0;1.02002644473398][0.395043305183514;0.385240919322982][0.528395788231377;0.285882936425015][...]],0.042108164,16,568717313,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 9",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.7,5864,3,3,0.256587553,0.298427795,1.760209908,120.4100791,[[0;1.03804765998888][1;0.019221482019123][0.0318210127208972;0.856457610858][0.415480415211419;0.381332468269462][...]],0.099439463,16,1143504641,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 9",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.5,6258,3,3,0.207722867,0.228507567,1.363835557,120.4589438,[[0;1.02992543662574][1;0.0150691289694884][0.282507919293614;0.490510724327356][0.552192307100548;0.275795130738141][...]],0.053415864,16,156428196,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 9",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.6,6385,3,3,0.106453698,0.173104874,0.719523985,120.560213,[[0;1.01185392092106][1;0.00594356471194893][0.0645889933358643;0.756208766472787][0.600722950560002;0.232210715766533][...]],0.025930746,16,859864956,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:41.5,6542,3,3,0.071032321,0.150751682,0.472175011,120.5956343,[[0;1.00578242694757][1;0.00290205829088242][0.0884007613757983;0.74138308913584][0.0154946458107176;0.880978654696933][...]],0.043190293,16,851389908,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 10",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.5,5864,3,3,0.368229955,0.281012422,1.863250932,120.2984367,[[1;0.0293225834091215][0;1.05861153345568][0.515417231929668;0.32014302570758][0.0301803522069695;0.88027468202406][...]],0.055014026,16,2007546107,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 10",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.3,6258,3,3,0.3649137,0.215968831,1.321513792,120.301753,[[0;1.05772126089447][1;0.0292616064946724][0.0300667719623284;0.87681388932224][0.372050529975914;0.426438987266481][...]],0.041240629,16,1012902456,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 10",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.2,6385,3,3,0.137869867,0.163313475,0.722676001,120.5287968,[[0;1.01303619953321][1;0.00893063355573506][0.877957558414518;0.0709886461644609][0.401249494432096;0.377720169918075][...]],0.042628118,16,1966670353,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 11",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.4,5864,3,3,0.48762153,0.304390546,1.829791514,120.1790451,[[0;1.07785270957553][1;0.0396558289833692][0.0853955469360597;0.774575393120098][0.0196489012633123;0.932354636603971][...]],0.153918612,16,1899380697,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:41.6,6542,3,3,0.120655654,0.150778139,0.48645469,120.546011,[[1;0.00737431991293887][0;1.01462910091215][0.458021971926279;0.333041116519167][0.10587992675648;0.687329733453635][...]],0.048001924,16,1614436036,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 11",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:40.6,6258,3,3,0.449420824,0.226793267,1.21251565,120.2172458,[[0;1.07238767690104][1;0.0362055077250608][0.866137379165046;0.10996040116026][0.377142794761494;0.437542860313922][...]],0.064897813,16,1839819445,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 11",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.4,6385,3,3,0.204028702,0.176754715,0.767519183,120.462638,[[1;0.0147040275277935][0;1.02916881785558][0.946193349502011;0.0423483976473994][0.572549169885761;0.261635788199894][...]],0.048996208,16,730232376,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 12",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.4,5864,3,3,0.436693948,0.277955388,1.794382827,120.2299727,[[1;0.0351271237441592][0;1.06910771016189][0.612977448296249;0.259577506264211][0.460341311068552;0.367570337482835][...]],0.053637102,16,1603184090,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 10",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:41.7,6542,3,3,0.259757097,0.141730152,0.433353927,120.4069096,[[1;0.0196274981865053][0;1.03899455186089][0.34507960322609;0.44021245600084][0.568938534061413;0.270133734266533][...]],0.030758466,16,208365808,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 12",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:40.6,6258,3,3,0.279789002,0.350846187,1.137259903,120.3868777,[[0;1.04282361743993][1;0.0212979947331777][0.310509122764042;0.473954917334798][0.187764707382966;0.600302407578581][...]],0.065183996,16,1154211197,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 12",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.6,6385,3,3,0.162256944,0.169814142,0.725481048,120.5044097,[[1;0.0109543359055843][0;1.02179034819197][0.588378288093078;0.246420678569879][0.759416033980673;0.140903028045037][...]],0.033952735,16,1765279608,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 13",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.1,5864,3,3,0.634132915,0.293812977,1.409127466,120.0325338,[[0;1.1008676411899][1;0.0516069171687316][0.680017660271526;0.235722925309458][0.521293874824687;0.395017865176533][...]],0.053880779,16,842667936,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 11",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:41.7,6542,3,3,0.22184519,0.148638438,0.479088376,120.4448215,[[0;1.03206850332585][1;0.0161589427855641][0.0191816880504753;0.891341926418619][0.216213622950879;0.559681767310231][...]],0.034267882,16,1366696744,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 13",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.5,6258,3,3,0.077051421,0.258490162,1.26276559,120.5896152,[[0;1.00653321142869][1;0.00327726523377157][0.385100306348906;0.384144197817094][0.759616865879995;0.132279488830686][...]],0.049891582,16,1987204444,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 14",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.2,5864,3,3,0.602457815,0.245720965,1.672390956,120.0642089,[[0;1.09699375075592][1;0.049934841817891][0.835013572926154;0.136386601517528][0.129024117585134;0.720805364952739][...]],0.044699609,16,85580267,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 13",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.8,6385,3,3,0.325985737,0.189219304,0.967551535,120.3406809,[[1;0.0255183866484404][0;1.05040508981337][0.785595093450492;0.142003790068628][0.923841643000415;0.0684359033310701][...]],0.037289679,16,1609863206,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 12",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:42.8,6542,3,3,0.195799881,0.147671183,0.463215268,120.4708668,[[0;1.02777519908831][1;0.0139996747613358][0.770110480901133;0.138143182372204][0.548474101775197;0.277198209456718][...]],0.043462166,16,1705144831,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 14",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.7,6258,3,3,0.36357158,0.234460104,1.533359342,120.3030951,[[1;0.0287813010633443][0;1.05678100187798][0.428218796857312;0.384076488337839][0.518289807748825;0.316712342083353][...]],0.036122222,16,1719310546,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 15",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.1,5864,3,3,0.830410135,0.26276039,1.758086605,119.8362565,[[1;0.0686433570388396][0;1.12935822431509][0.694314867258005;0.246967989868557][0.0331133223437494;0.935978607127565][...]],0.069951993,16,804849039,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 14",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.9,6385,3,3,0.434180825,0.219508492,1.033885896,120.2324858,[[1;0.0349784645041012][0;1.06881587209171][0.898162930353987;0.0890514840911086][0.43238944301586;0.389165867719043][...]],0.033461554,16,925645329,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 13",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:41.5,6542,3,3,0.173735802,0.146104645,0.416687176,120.4929309,[[1;0.0117019309261381][0;1.02327977780025][0.108892823665582;0.689471955042961][0.347704254400504;0.426787608355837][...]],0.04539647,16,1717692611,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 15",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:40.9,6258,3,3,0.377656589,0.253817062,1.212746058,120.2890101,[[1;0.030029378525949][0;1.05920446039173][0.823999467433753;0.124983084322777][0.345662080237636;0.454137704541319][...]],0.081753851,16,1605622416,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 16",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.0,5864,3,3,0.256062421,0.31144886,1.703337922,120.4106042,[[0;1.03854065098184][1;0.019452518410612][0.396696978219113;0.396623987911084][0.534760035229874;0.293282722449381][...]],0.143114007,16,532251732,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 15",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.8,6385,3,3,0.081324628,0.200209105,1.059346989,120.585342,[[0;1.00791820299928][1;0.00396217790752556][0.128070127539833;0.6486181493131][0.8707702738517;0.0710760949577635][...]],0.043789579,16,1737148270,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 14",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:41.8,6542,3,3,0.057062037,0.146772239,0.476074833,120.6096046,[[0;1.00356908351438][1;0.00178637532446654][0.158297900137718;0.604994387290304][0.287806363779301;0.466136993791467][...]],0.031469151,16,1827895397,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 17",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:38.8,5864,3,3,0.42855429,0.308815302,1.724537564,120.2381124,[[0;1.06732479112814][1;0.034261433397018][0.0586139936032098;0.817240414720751][0.391616215910816;0.420866211422254][...]],0.170128141,16,275588935,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 16",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.2,6258,3,3,0.177421375,0.273024223,1.662704885,120.4892453,[[0;1.02212588590106][1;0.012531131104804][0.245344843960738;0.522238723488112][0.125448348000053;0.664273358229105][...]],0.02781683,16,1733933117,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 16",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:41.7,6385,3,3,0.302790822,0.18562662,0.95638324,120.3638758,[[0;1.04614849348152][1;0.0233324687620715][0.45506479233355;0.356175944860108][0.848882034342614;0.103801645707689][...]],0.045844354,16,1957406625,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 18",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.2,5864,3,3,0.325231245,0.289096564,1.854202408,120.3414354,[[1;0.0253321081575323][0;1.050066526034][0.30994680042963;0.479759153044077][0.212556989399159;0.577643155244529][...]],0.044347537,16,1517973556,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 17",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:41.9,6258,3,3,0.171893577,0.282741356,1.517172052,120.4947731,[[0;1.0233993553716][1;0.0117673193410123][0.270903698792909;0.496862846598124][0.57091456007627;0.26103567648483][...]],0.037956564,16,403767357,32,ZDT1
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 17",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:42.5,6385,3,3,0.262626121,0.207915632,0.861309456,120.4040405,[[0;1.03901545858267][1;0.019735215970118][0.293102026811158;0.48727131124867][0.442306425278294;0.361249745747283][...]],0.04080679,16,504328355,32,ZDT1
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 15",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,01:22.7,6542,3,3,0.228230311,0.144434493,0.368971662,120.4384364,[[1;0.016810229185467][0;1.03007800462134][0.470160830557891;0.334965026970906][0.628519958798324;0.227118733680539][...]],0.04313918,16,1311039741,32,ZDT1
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 19",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.8,5864,3,3,0.46236038,0.28189051,1.688404616,120.2043063,[[1;0.0377309456913458][0;1.07225916401397][0.767493428532372;0.168815991768248][0.934122780949237;0.0724561023971297][...]],0.034288607,16,856462957,32,ZDT1
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 18",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:42.6,6258,3,3,0.237006494,0.187251584,1.708355312,120.4296602,[[1;0.0171758422135872][0;1.03829022840332][0.688149778749181;0.192207688588416][0.109093903508183;0.700704079236165][...]],0.034671357,16,1731127288,32,ZDT1
