,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents,Problem
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 20",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,00:48.1,7015,10,10,0.38299993,0.25207295,0.856133248,128.3951162,[[0.851986584574696;-0.757144854369943][0;1.02993381385554][0.220836002384813;0.605724078913179][0.425993292287348;0.0570772314291785][...]],0.090887242,5,1531609710,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 16",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,00:45.9,5983,10,10,0.959915824,0.298028714,1.503621148,127.8182003,[[0.851663181725044;-0.706079005352703][0;1.12191580834667][0.425831590862522;0.121927909213158][0.183077465728659;0.761723039298753][...]],0.127261135,5,1514045712,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 17",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,00:43.9,5983,10,10,1.49711775,0.314476115,1.811464696,127.2809984,[[0;1.20394642677805][0.851683595611141;-0.659074191334065][0.235369878482148;0.72105476102519][0.470739756964295;0.0770148911866766][...]],0.142493864,5,383101321,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 18",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,00:43.0,5983,10,10,1.363083838,0.293441323,1.389283089,127.4150323,[[0.849942257068065;-0.666918145033474][0;1.17019618930563][0.210360708624346;0.610609688737121][0.424971128534032;0.170924092645359][...]],0.175031856,5,2042816379,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 19",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,00:43.7,5983,10,10,1.301097215,0.294895296,1.503154791,127.4770189,[[0;1.17211327428988][0.852512694771744;-0.677366947131482][0.425763746462849;0.232529339890503][0.0928386324606429;0.821527023558882][...]],0.159195847,5,1290265448,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 20",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,00:43.8,5983,10,10,1.518780669,0.31074478,1.568589027,127.2593355,[[0.852532665704326;-0.654412777679159][0;1.21186465952342][0.21023894942835;0.660555726203061][0.426266332852163;0.179966283273196][...]],0.124959626,5,1371515496,10,ZDT3
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 1",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:39.1,5864,3,3,7.163217917,0.048715551,0.34150859,113.5034487,[[0;1][1;0.670415773975778][0.791279410271186;0.706822001528699][0.303773134191271;0.81834763896988][0.428084096980396;0.784359212313891][...]],0.024834344,16,1020029214,32,ZDT4
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 1",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:42.0,6258,3,3,6.782745339,0.048036979,0.344042502,113.8839213,[[0;1][1;0.634596857041759][0.167483889174484;0.850460784540294][0.0797858205847109;0.896792482132794][...]],0.025595316,16,2089431154,32,ZDT4
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 1",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:42.1,6385,3,3,5.580676187,0.048028392,0.317809612,115.0859905,[[0;1][1;0.521501746834526][0.33647224088838;0.722659081300886][0.471602931530499;0.671402755652751][0.239113531267674;0.766097201022662][...]],0.027625521,16,173646921,32,ZDT4
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:42.4,6542,3,3,5.183513374,0.048434203,0.318000117,115.4831533,[[0;1][1;0.484253456927523][0.360956818175037;0.690143723631611][0.808433870074982;0.536282749949698][...]],0.024547492,16,1502915764,32,ZDT4
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 2",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.0,5864,3,3,7.694438396,0.044744613,0.367325615,112.9722283,[[0;1][1;0.720334256814269][0.223301536392268;0.867880252756495][0.361387841276928;0.831877578399487][...]],0.023316787,16,1524595326,32,ZDT4
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 2",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:42.8,6258,3,3,6.058399034,0.050628409,0.351583676,114.6082676,[[0;1][1;0.566400226413166][0.0642559358987248;0.892833514775472][0.604973753339897;0.662745901490826][...]],0.029007391,16,1850874464,32,ZDT4
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 2",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:43.1,6385,3,3,5.466395978,0.047469404,0.300603402,115.2002707,[[0;1][1;0.510811791849821][0.103280322166323;0.842794038653984][0.277586998542732;0.742276711322586][...]],0.028408376,16,1964900752,32,ZDT4
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:43.6,6542,3,3,4.920539926,0.048600095,0.332781098,115.7461267,[[0;1][1;0.459626029400163][0.478974405211624;0.626019657646129][0.592933396704542;0.583902701119862][...]],0.025974995,16,1597726487,32,ZDT4
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 3",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,00:40.5,5864,3,3,7.43777951,0.046941083,0.349088353,113.2288872,[[0;1][1;0.696316824348358][0.153761807201799;0.880918738509061][0.797023409579464;0.728884576393042][...]],0.02785831,16,1037088018,32,ZDT4
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 3",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,00:43.2,6258,3,3,6.50233686,0.0470316,0.368182149,114.1643298,[[0;1][1;0.60812053582058][0.402591347888335;0.751365499551376][0.661366592000797;0.681317650869683][0.272376850306642;0.795492864255781][...]],0.022371511,16,2131099447,32,ZDT4
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 3",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,00:43.9,6385,3,3,5.772825806,0.048576458,0.344215414,114.8938409,[[0;1][1;0.539541384891068][0.273464572645651;0.759208520254754][0.715689775227417;0.610459165926674][...]],0.026987815,16,615860821,32,ZDT4
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:44.0,6542,3,3,5.643497024,0.047401201,0.313125276,115.0231696,[[0;1][1;0.527428520472007][0.18589897142147;0.796248174591078][0.704401979240886;0.603377098983807][0.0772409943432641;0.868663522463822][...]],0.025551258,16,1189366839,32,ZDT4
