,Absolute Distance to BestKnownHypervolume,AgeGap,AgeInheritance,AgeLimits,AgingScheme,Algorithm Name,Algorithm Type,Analyzer.0,Analyzer.1,Analyzer.10,Analyzer.2,Analyzer.2.Dampening,Analyzer.4,Analyzer.5,Analyzer.6,Analyzer.7,Analyzer.8,Analyzer.9,Best known hypervolume,BestKnownFront,Bounds,Crowding,DominateOnEqualQualities,Encoding.Bounds,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generational Distance,Generations,Hypervolume,HypervolumeValues,LayerAnalyzer,LayerAnalyzer.0,LayerAnalyzer.1,LayerAnalyzer.8,LayerAnalyzer.UpdateInterval,LayerResults,MatingPoolRange,MaximumGenerations,NumberOfLayers,OpenLayers,Pareto Archive,Pareto Front,ParetoFrontAnalyzer,ParetoFrontAnalyzer.0,ParetoFrontAnalyzer.1,ParetoFrontAnalyzer.10,ParetoFrontAnalyzer.2,ParetoFrontAnalyzer.2.HistogramName,ParetoFrontAnalyzer.2.MaximumIterations,ParetoFrontAnalyzer.2.StoreHistory,ParetoFrontAnalyzer.4,ParetoFrontAnalyzer.5,ParetoFrontAnalyzer.5.Dampening,ParetoFrontAnalyzer.7,ParetoFrontAnalyzer.8,ParetoFrontAnalyzer.9,ParetoFrontAnalyzer.UpdateInterval,ParetoFrontResults,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Age Distribution,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Archive,ParetoFrontResults.Pareto Front,ParetoFrontResults.ParetoFrontAges,ParetoFrontResults.ParetoFrontHypervolumeValues,ParetoFrontResults.Scatterplot,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,ReduceToPopulationSize,Seed,SelectedParents,SelectedParentsFactor,Selector.NumberOfSelectedSubScopes,Spacing,Terminator,Terminator.1,Terminator.1.Comparison,Terminator.1.ComparisonValue,Terminator.1.Threshold,Terminator.1.Type,TestFunction,TopLayerPopulationSize,TopLayerSelector,TopLayerSelector.CopySelected,TopLayerSelector.GroupSize,TopLayerSelector.NumberOfSelectedSubScopes
NSGA-II Run 56,2.005299297,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.07695281,FALSE,[[0;1][-5;5]],30,180030,02:45.9,0.091104161,6000,118.6613674,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][1;0.186315299852528][0.208964942542821;0.62805031620996][0.160470026352863;0.674051921179758][0.129127900759761;0.707615723636473][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,193942263,60,,,0.018282349,,,,,,,ZDT4,,,,,
NSGA-II Run 57,3.940275486,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.072777174,FALSE,[[0;1][-5;5]],30,180030,00:24.5,0.142128721,6000,116.7263912,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][1;0.368219546882643][0.830802880761307;0.42414234209809][0.898927051900768;0.400997805134367][0.931072066634781;0.390381962042878][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,1731700340,60,,,0.018188088,,,,,,,ZDT4,,,,,
NSGA-II Run 52,0.149590078,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.113199259,FALSE,[[0;1]],30,180030,00:24.7,0.005788033,6000,117.3689851,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0.280775318835783;0.928170908909494][1;0.0129522745584578][0.469484413349368;0.787504429014381][0.494744097864997;0.763305427287763][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,1973098291,60,,,0.011667242,,,,,,,ZDT6,,,,,
NSGA-II Run 56,0.02647975,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.139322681,FALSE,[[0;1]],50,180030,00:25.0,0.000555276,6000,120.3068536,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;0.00073381840064059][0;1.00036697395928][0.233476923186076;0.945875504131754][0.154559931620421;0.976486964729697][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1070907638,60,,,0.016464247,,,,,,,ZDT2,,,,,
NSGA-II Run 57,0.014317009,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.174190268,FALSE,[[0;1]],50,180030,00:25.2,0.001593861,6000,128.7637991,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][0.851833968821626;-0.773369011813319][0.257753208587622;0.242161096537761][0.823351957264562;-0.458675332809338][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1481711015,60,,,0.034328601,,,,,,,ZDT3,,,,,
NSGA-II Run 57,0.020405755,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.140382862,FALSE,[[0;1]],50,180030,00:31.6,0.000469071,6000,120.6462609,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;4.42451129939513E-05][0;1.00008849186168][0.808671125573165;0.100787270414644][0.926698830695239;0.0373939206573037][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1643122796,60,,,0.023163681,,,,,,,ZDT1,,,,,
NSGA-II Run 58,2.65690342,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.076314349,FALSE,[[0;1][-5;5]],30,180030,00:24.2,0.118234586,6000,118.0097632,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][1;0.247700788573528][0.512579671364645;0.461393871204081][0.714813516403378;0.363956256942292][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,652609099,60,,,0.017179151,,,,,,,ZDT4,,,,,
NSGA-II Run 53,0.149859122,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.113053904,FALSE,[[0;1]],30,180030,00:24.4,0.005838291,6000,117.3687161,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0.999998764293301;0.0130323054922638][0.280775318864323;0.928227302526731][0.833066281788018;0.317051318280217][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,939870097,60,,,0.011985373,,,,,,,ZDT6,,,,,
NSGA-II Run 57,0.018088921,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.142878982,FALSE,[[0;1]],50,180030,00:24.6,0.000357205,6000,120.3152444,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;3.21554306376389E-05][0;1.00001607819586][0.939595084861426;0.117191357475759][0.540031101711459;0.708387199529677][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1211678998,60,,,0.017128235,,,,,,,ZDT2,,,,,
NSGA-II Run 58,0.013433807,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.163071496,FALSE,[[0;1]],50,180030,00:25.5,0.001612356,6000,128.7646823,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0.851843275130741;-0.773368966635728][0;1.00000000000327][0.652494798053558;-0.458263233153084][0.618398410825045;-0.124246657237247][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1949645808,60,,,0.03847874,,,,,,,ZDT3,,,,,
NSGA-II Run 58,0.020404249,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.137045205,FALSE,[[0;1]],50,180030,00:31.6,0.000422404,6000,120.6462624,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;1.96590653558155E-07][0;1.00000039680515][0.647987126608797;0.195023762872171][0.573946098051753;0.242407965065347][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,334238777,60,,,0.025843389,,,,,,,ZDT1,,,,,
NSGA-II Run 59,3.154867496,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.071920647,FALSE,[[0;1][-5;5]],30,180030,00:24.9,0.124101653,6000,117.5117992,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][1;0.294246592524357][0.521141347926197;0.490517792994922][0.577397496390768;0.463723405001882][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,1945156179,60,,,0.021409455,,,,,,,ZDT4,,,,,
NSGA-II Run 54,0.05224442,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.113483278,FALSE,[[0;1]],30,180030,00:25.0,0.001736134,6000,117.4663308,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0.999999999272047;0.00354944303311993][0.280775318815369;0.923353949720144][0.353106787710376;0.877356483239025][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,1094391300,60,,,0.013565238,,,,,,,ZDT6,,,,,
NSGA-II Run 58,0.019686366,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.141225041,FALSE,[[0;1]],50,180030,00:25.0,0.000380221,6000,120.313647,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1.00000295964885][1;5.86602757423001E-06][0.888361590535536;0.210819002779867][0.501102044761202;0.748900440104233][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,280669882,60,,,0.020448195,,,,,,,ZDT2,,,,,
NSGA-II Run 59,0.013429699,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.159767604,FALSE,[[0;1]],50,180030,00:25.4,0.001142406,6000,128.7646864,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][0.851830528707461;-0.7733690100244][0.453888837003565;-0.124218434478576][0.257764349417648;0.242161085997342][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,997730317,60,,,0.035157746,,,,,,,ZDT3,,,,,
NSGA-II Run 59,0.019010744,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.139608917,FALSE,[[0;1]],50,180030,00:32.0,0.000460059,6000,120.6476559,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;1.96858053924922E-06][0;1.0000039360131][0.023622435154628;0.846307731174747][0.343469397985922;0.413940168888527][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,710008833,60,,,0.017939656,,,,,,,ZDT1,,,,,
NSGA-II Run 60,3.230675014,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.075443044,FALSE,[[0;1][-5;5]],30,180030,00:25.0,0.124770645,6000,117.4359917,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][1;0.30160361037908][0.925879871443391;0.327984475272937][0.724117305895896;0.405699031796302][0.841550725466877;0.359318574692061][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,1309989237,60,,,0.017558146,,,,,,,ZDT4,,,,,
NSGA-II Run 55,0.17366508,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.112732263,FALSE,[[0;1]],30,180030,00:25.2,0.006770457,6000,117.3449101,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0.280775318819348;0.929357721560733][0.999999999712546;0.015142343124338][0.625899755869262;0.618806906928697][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,1633297266,60,,,0.013169965,,,,,,,ZDT6,,,,,
NSGA-II Run 59,0.019015044,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.138524095,FALSE,[[0;1]],50,180030,00:25.6,0.000358281,6000,120.3143183,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;7.7802990329954E-07][0;1.00000038866626][0.953365562480379;0.0910948557466277][0.261971009920418;0.931372600496441][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1504194382,60,,,0.015091358,,,,,,,ZDT2,,,,,
NSGA-II Run 60,0.01211065,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.188597848,FALSE,[[0;1]],50,180030,00:26.1,0.001130725,6000,128.7660055,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1.00000000000005][0.851838402476692;-0.773368999399804][0.453879212038343;-0.12421844285371][0.618417085298013;-0.124572549244655][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1195025036,60,,,0.03077839,,,,,,,ZDT3,,,,,
NSGA-II Run 61,4.00131726,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.076084268,FALSE,[[0;1][-5;5]],30,180030,00:25.1,0.160385025,6000,116.6653494,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][1;0.373998119609985][0.622702247387898;0.50601444440427][0.432831059046627;0.588147289809386][0.131074637754749;0.773360455120842][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,895614249,60,,,0.013536059,,,,,,,ZDT4,,,,,
NSGA-II Run 56,0.076055316,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.113466763,FALSE,[[0;1]],30,180030,00:24.9,0.002620793,6000,117.4425199,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0.280775318819006;0.924331452326164][0.99999977466136;0.00586297750530361][0.509574784416964;0.744029788249526][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,1921295468,60,,,0.014697412,,,,,,,ZDT6,,,,,
NSGA-II Run 60,0.018480354,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.137115083,FALSE,[[0;1]],50,180030,00:25.5,0.000743854,6000,120.314853,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;7.65557056674294E-06][0;1.00000382820374][0.161251815451391;0.974001795896204][0.0709038023717123;0.994976511253836][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,2054894027,60,,,0.016767797,,,,,,,ZDT2,,,,,
NSGA-II Run 61,0.013117696,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.186989304,FALSE,[[0;1]],50,180030,00:26.0,0.001078329,6000,128.7649984,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1.00000000044853][0.851834317996438;-0.773369011195481][0.652512102229583;-0.458263325353849][0.823457115401308;-0.460821264400787][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,2111162622,60,,,0.032912936,,,,,,,ZDT3,,,,,
NSGA-II Run 60,0.021246795,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.138848442,FALSE,[[0;1]],50,180030,00:34.2,0.000388399,6000,120.6454199,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1.00007522610199][1;3.76307800915284E-05][0.0751331571123318;0.725960659463115][0.153287097470188;0.608541573472914][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,1749126439,60,,,0.016411149,,,,,,,ZDT1,,,,,
NSGA-II Run 62,2.689124924,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.6666667,[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.075168295,FALSE,[[0;1][-5;5]],30,180030,00:25.9,0.112621168,6000,117.9775417,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][1;0.250901475341686][0.804287413998215;0.328196541966129][0.73945926655437;0.355837922538578][0.239458759420769;0.633432344822279][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,101446395,60,,,0.009196138,,,,,,,ZDT4,,,,,
NSGA-II Run 57,0.097584194,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,117.5185752,[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.114783459,FALSE,[[0;1]],30,180030,00:25.7,0.003554445,6000,117.420991,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0.280775318816343;0.925456570226696][0.999999999739024;0.00782379168449691][0.805160547147835;0.358239948791218][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,,216485758,60,,,0.017860322,,,,,,,ZDT6,,,,,
NSGA-II Run 61,0.018254449,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,120.3333333,[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.135661433,FALSE,[[0;1]],50,180030,00:25.7,0.000365229,6000,120.3150789,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[1;2.26247452003685E-05][0;1.00001132641344][0.104020177466243;0.989191304821347][0.970844097833525;0.057483802629713][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,695540815,60,,,0.01873262,,,,,,,ZDT2,,,,,
NSGA-II Run 62,0.012033997,,,,,NSGA-II,NSGA2,Multi-objective Analyzer,CrowdingAnalyzer,,GenerationalDistanceAnalyzer,1,HypervolumeAnalyzer,HypervolumeDevelopmentAnalyzer,SpacingAnalyzer,ScatterPlotAnalyzer,RankBasedParetoFrontAnalyzer,,128.7781161,[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.194327861,FALSE,[[0;1]],50,180030,00:26.5,0.001225152,6000,128.7660821,HypervolumeValues,,,,,,,,6000,,,ItemArray<IScope>,[[0;1][0.851856895459606;-0.773368768854754][0.453876294748613;-0.124218437102955][0.823363615052004;-0.458913501651208][...]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,,921586179,60,,,0.036041691,,,,,,,ZDT3,,,,,
