,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.484135954,[[0;1]],50,180021,00:52.5,9236,8,8,0.303540896,120.6666667,0.477261206,0.982085224,120.3631258,[[0;1.00311702508183][1;0.00273955453361413][0.347800105865954;0.412452816313939][0.33;0.530804836593511][...]],0.160858558,3,50,185158103,6,0.166510364,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.710846595,[[0;1]],30,180021,00:56.3,9236,8,8,0.14681344,117.5185752,0.798267039,3.986184019,117.3717618,[[0.280775318815369;0.921165220344128][1;0][0.681480361261149;0.535584517215374]],0.198469397,3,30,1727726599,6,0.225327142,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.056434881,[[0;1][-5;5]],30,180021,00:56.4,9236,8,8,8.071227481,120.6666667,0.183293294,0.602972953,112.5954392,[[0;1][1;0.743902591351352][0.996762279013827;0.855648109079432][0.200774189118981;0.968999215436226][...]],0.073208773,3,30,289722265,6,0.022382251,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.597188927,[[0;1]],50,180021,00:56.5,9236,8,8,0.23003277,120.3333333,0.517081075,0.87372209,120.1033006,[[1;0.00327961727255214][0;1.00164115312155][0.689648666476329;0.603165139528019][0.629844923175334;0.766366137707557][...]],0.194856466,3,50,659801527,6,0.18006886,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.512846621,[[0;1]],50,180021,00:56.8,9236,8,8,0.577960759,128.7781161,0.568395072,0.8566025,128.2001554,[[0.851325176593205;-0.758225715776089][0;1.02774841762081][0.422577741263413;0.141172286369306]],0.247543837,3,50,972208724,6,0.237855606,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.419865676,[[0;1]],50,180021,00:52.8,9236,8,8,0.384231051,120.6666667,0.419865676,0.952080083,120.2824356,[[0;1.0090140082364][1;0.00451711514195076][0.33;0.506594940859319]],0.22952538,3,50,641588419,6,0.22952538,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.095348223,[[0;1][-5;5]],30,180021,00:56.9,9236,8,8,8.272667003,120.6666667,0.149363457,0.600730439,112.3939997,[[0;1][0.991330891755328;0.768498911645629][0.474978030705298;0.856255375893841][0.38785177988281;0.968429524764042][...]],0.097218717,3,30,304115135,6,0.030643702,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.647720979,[[0;1]],30,180021,00:57.0,9236,8,8,0.146774477,117.5185752,0.647720979,3.646512954,117.3718007,[[1;0][0.280775318815369;0.921165220344128][0.682297277620534;0.534470424951609]],0.127732277,3,30,678167878,6,0.127732277,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.482492818,[[0;1]],50,180021,00:57.2,9236,8,8,0.44769715,120.3333333,0.608583683,1.210001794,119.8856362,[[0;1.00922846036241][1;0.0183725349945328][0.57454559728285;0.824508328849348]],0.19696044,3,50,1195682143,6,0.160767003,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.510584136,[[0;1]],50,180021,00:57.3,9236,8,8,0.434556821,128.7781161,0.614769083,1.143528456,128.3435593,[[0;1.01015654501248][0.852024613518267;-0.76787262974197][0.426012306759133;0.0434918330622648][0.423225476298524;0.997254582319903][...]],0.156111363,3,50,1832340677,6,0.142358269,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.346425184,[[0;1]],50,180021,00:54.0,9236,8,8,0.470118245,120.6666667,0.434276286,0.792824201,120.1965484,[[0;1.01611923845574][1;0.00993307538596869][0.5;0.392122410552339]],0.163884314,3,50,1080621381,6,0.146971888,ZDT1
