,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.23974602,[[0;1]],50,300042,00:57.3,7987,8,8,0.23425523,120.6666667,0.294320777,0.895100431,120.4324114,[[1;0.00639246282874947][0;1.0127445763118][0.0879549173933792;0.717461195569123][0.357949723517118;0.562688418348894][...]],0.143194729,6,50,1176270894,12,0.126841207,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.199491177,[[0;1]],50,300042,01:01.0,7987,8,8,0.3022502,120.3333333,0.254501286,0.78536175,120.0310831,[[0;1.0084637884114][1;0.0168565423294496][0.430918615715699;0.920013603995815][0.916154963956814;0.228670087731359][...]],0.202358595,6,50,440877618,12,0.096105278,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.371357318,[[0;1]],30,300042,01:01.1,7987,8,8,1.159709913,117.5185752,0.38032705,3.191241387,116.3588653,[[0.280775318815369;0.978742350280206][1;0.104413833664827][0.856212943502471;0.357742712451567][0.721432330124345;0.559567219410911][...]],0.085737148,6,30,113429703,12,0.086775821,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.042921073,[[0;1][-5;5]],30,300042,01:01.3,7987,8,8,5.158733385,120.6666667,0.061636345,0.412043392,115.5079333,[[0;1][1;0.479064038115177][0.518685354147952;0.624822891618734][0.281619931564108;0.723550356947662][...]],0.053382443,6,30,854654798,12,0.053294143,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 51",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.231232192,[[0;1]],50,300042,01:01.8,7987,8,8,0.338884823,128.7781161,0.276665831,0.545821491,128.4392313,[[0;1.01108134830984][0.852428309125503;-0.767287117210565][0.426221167619619;0.249313642592113][0.642604989540327;-0.199737838042069][...]],0.09827692,6,50,627460306,12,0.086701436,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.21516276,[[0;1]],50,300042,01:01.4,7987,8,8,0.279706202,120.6666667,0.230607226,0.795549319,120.3869605,[[1;0.0133583378044791][0;1.02654284439492][0.839591198695841;0.172904372373195][0.488852385482386;0.337579903115187][...]],0.145613909,6,50,619550000,12,0.144953761,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.276724399,[[0;1]],50,300042,01:04.6,7987,8,8,0.306264648,120.3333333,0.255505593,0.962885858,120.0270687,[[1;0.0174417307349846][0;1.00875889139088][0.648550086984121;0.638238132690777][0.32769991365547;0.940549076950905][...]],0.05044329,6,50,790042524,12,0.053516509,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.369764394,[[0;1]],30,300042,01:05.2,7987,8,8,0.101763484,117.5185752,0.43460004,3.084950286,117.4168117,[[1;0.00178224462848737][0.280775318815369;0.922126959837769][0.613514814658831;0.642884568656016][0.925255064224283;0.173976851528922][...]],0.083140057,6,30,657171009,12,0.084370378,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.045887848,[[0;1][-5;5]],30,300042,01:05.8,7987,8,8,5.930769525,120.6666667,0.06327324,0.389976203,114.7358971,[[0;1][1;0.551184857769975][0.12271834509992;0.842774890168704][0.837985876621107;0.589147475478778][0.492130971552923;0.685147154890283][...]],0.041754829,6,30,700280034,12,0.040412605,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 52",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.297648397,[[0;1]],50,300042,01:06.5,7987,8,8,0.197612582,128.7781161,0.31058002,0.904196809,128.5805035,[[0.852034657812599;-0.763971755747127][0;1.01943460615493][0.646294044341093;-0.405543986235685][0.440553430869587;-0.0386230334696335][...]],0.136532609,6,50,1270565652,12,0.135841515,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.240564342,[[0;1]],50,300042,01:04.3,7987,8,8,0.25266204,120.6666667,0.240352101,0.818671092,120.4140046,[[0;1.02286923313718][1;0.0114992547725978][0.73944763144539;0.184893521036472][0.479947405237308;0.328665301483121][...]],0.102134671,6,50,552703387,12,0.104145608,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.338970109,[[0;1]],50,300042,01:07.8,7987,8,8,0.369254547,120.3333333,0.406607548,0.632120158,119.9640788,[[0;1.01215056678126][1;0.0241552696189965][0.635853971701671;0.628599402916958][0.428631584844441;0.954780224504398][...]],0.311238937,6,50,178831732,12,0.043406186,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.349790038,[[0;1]],30,300042,01:08.3,7987,8,8,1.196167096,117.5185752,0.403323293,3.085186601,116.3224081,[[1;0.106795560192835][0.280775318815369;0.98209799110852][0.894343288503453;0.343082301272283][0.720587303653822;0.58250306930318][...]],0.102032125,6,30,1774034861,12,0.093746062,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.047957675,[[0;1][-5;5]],30,300042,01:08.7,7987,8,8,5.678205512,120.6666667,0.05792313,0.429513648,114.9884612,[[0;1][1;0.526485450758763][0.696375324722334;0.60485634315429][0.416493073928102;0.704283747023281][0.231193853302785;0.825033797792051][...]],0.058825982,6,30,658824895,12,0.04621347,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 53",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.239918306,[[0;1]],50,300042,01:09.9,7987,8,8,0.188678214,128.7781161,0.25802194,0.595937204,128.5894379,[[0;1.00788579469193][0.851367941353451;-0.769023757219773][0.424501151864236;0.181155129616525][0.645781325075654;-0.389485382788967][...]],0.136361794,6,50,899369697,12,0.132667952,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.236271896,[[0;1]],50,300042,01:06.1,7987,8,8,0.282546716,120.6666667,0.264445782,1.022143249,120.38412,[[0;1.02133505511439][1;0.0107238266420432][0.264550752035724;0.635248921288509][0.5;0.343981049663642][...]],0.119694794,6,50,636253544,12,0.116072988,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.207441838,[[0;1]],50,300042,01:10.3,7987,8,8,0.320597035,120.3333333,0.234557167,0.926189645,120.0127363,[[1;0.0196573944367143][0;1.00987699769639][0.869808285903405;0.309532364241093][0.317278984607019;0.945829426327264][...]],0.103970312,6,50,911098167,12,0.107377844,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.399550634,[[0;1]],30,300042,01:10.5,7987,8,8,0.147551768,117.5185752,0.48845354,2.247906557,117.3710234,[[0.280775318815369;0.925370237987894][0.9999999999999;0.00778255131456492][0.526895739672768;0.727357916831796][...]],0.206270677,6,30,1355116438,12,0.104847849,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.041295116,[[0;1][-5;5]],30,300042,01:11.1,7987,8,8,4.662014594,120.6666667,0.065880133,0.396035013,116.0046521,[[0;1][1;0.428650635573624][0.45983418495789;0.614302977548287][0.224070892710201;0.730557885487553][0.143794262641407;0.788529754536474][...]],0.066821838,6,30,872320636,12,0.061927181,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 54",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.262566309,[[0;1]],50,300042,01:10.8,7987,8,8,0.23049138,128.7781161,0.302443104,0.866844205,128.5476248,[[0.852000932185109;-0.763736410127229][0;1.01779908408189][0.425554944340415;0.0989270296783349][0.241815526046213;0.337763870095216][...]],0.125485009,6,50,1497212344,12,0.084368766,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.221774524,[[0;1]],50,300042,01:06.0,7987,8,8,0.202664031,120.6666667,0.221131048,0.762611224,120.4640026,[[0;1.01242377601448][1;0.00623106285537406][0.5;0.409481811840939][0.67;0.2273046754614][0.835;0.151243768431454][...]],0.120068968,6,50,1627167427,12,0.121906651,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.377596763,[[0;1]],50,300042,01:09.9,7987,8,8,0.23016128,120.3333333,0.345836109,0.821147967,120.1031721,[[1;0.00717826045569243][0;1.003595571135][0.406630576857912;0.955452610994571][0.996071283302597;0.314140576444946][...]],0.167215548,6,50,627179702,12,0.039473696,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.366526516,[[0;1]],30,300042,01:09.8,7987,8,8,1.755652268,117.5185752,0.366526516,3.076702932,115.7629229,[[0.280775318815369;1.01028966777302][1;0.159782403118076][0.480713267162007;0.869717570439873][0.920721414447659;0.300374454156521][...]],0.066153113,6,30,823681975,12,0.066153113,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.042756941,[[0;1][-5;5]],30,300042,01:10.6,7987,8,8,5.550085239,120.6666667,0.055449089,0.386182976,115.1165814,[[0;1][0.999327470116542;0.515032016282983][0.591838365706556;0.626783605427484][0.361291514599869;0.708402030073011][...]],0.043033811,6,30,336688334,12,0.042464314,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 55",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.237433815,[[0;1]],50,300042,01:11.0,7987,8,8,0.224414237,128.7781161,0.251583635,0.618134138,128.5537019,[[0.849584840823088;-0.763416921403734][0;1.0143767716484][0.248812604293846;0.294510839683662][0.651529962550797;-0.402462007642916][...]],0.053570484,6,50,1428868406,12,0.055451337,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.190457735,[[0;1]],50,300042,01:05.5,7987,8,8,0.163188517,120.6666667,0.203403386,0.632725418,120.5034782,[[0;1.01265845181039][1;0.0062544309706233][0.0935759296900673;0.708713353930706][0.756094024373004;0.165781179954533][...]],0.109058972,6,50,167202401,12,0.11542429,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.203904339,[[0;1]],50,300042,01:08.4,7987,8,8,0.260847454,120.3333333,0.233541693,0.840617189,120.0724859,[[0;1.00656822274824][1;0.0130935854606619][0.835;0.483893829705261][0.9175;0.222192483679806][0.552547983428405;0.741242235570223][...]],0.183528059,6,50,1078896197,12,0.080742287,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.368185756,[[0;1]],30,300042,01:08.8,7987,8,8,1.121049888,117.5185752,0.384921432,3.272197816,116.3975253,[[0.999999999989642;0.100437031874206][0.280775318815369;0.976503513488999][0.548037580572974;0.765837889880193][...]],0.064469791,6,30,792336854,12,0.063848403,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.040878787,[[0;1][-5;5]],30,300042,01:09.3,7987,8,8,6.001902167,120.6666667,0.067703576,0.42318796,114.6647645,[[0;1][1;0.557010862576773][0.5594038825569;0.667426945051547][0.38460635020784;0.724709568421145][0.209808817858781;0.801174740484707][...]],0.039205168,6,30,1782480989,12,0.039670888,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 56",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.290190524,[[0;1]],50,300042,01:09.7,7987,8,8,0.152267052,128.7781161,0.307471056,0.785514502,128.6258491,[[0.851601259184325;-0.767566441770029][0;1.01063110977139][0.254673300577361;0.267139697034834][0.449314951396045;-0.0745647445088755][...]],0.124922366,6,50,330660309,12,0.112747695,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.227999815,[[0;1]],50,300042,01:03.9,7987,8,8,0.184451982,120.6666667,0.241680046,0.722364914,120.4822147,[[0;1.01297956847956][1;0.00651070732211715][0.74242277662603;0.175630494372745][0.0927407737323531;0.729816048058062][...]],0.150448265,6,50,152816212,12,0.150787214,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.440717618,[[0;1]],50,300042,01:07.8,7987,8,8,0.110599465,120.3333333,0.369409381,0.515637878,120.2227339,[[0;1.00164398058886][1;0.00328539596428925][0.892836858110025;0.26882061253366][0.812149192660955;0.36255816093598][...]],0.326374083,6,50,1485434989,12,0.045379884,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.405789621,[[0;1]],30,300042,01:08.5,7987,8,8,0.08133473,117.5185752,0.392851049,3.326401607,117.4372405,[[0.280775318815369;0.921165220344128][1;0][0.801065349011796;0.358294306612609][0.624897667084148;0.60950290567279][...]],0.08451975,6,30,1554272769,12,0.085116498,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044454579,[[0;1][-5;5]],30,300042,01:09.0,7987,8,8,6.304443467,120.6666667,0.0675652,0.456290916,114.3622232,[[0;1][1;0.586735993274507][0.449576959296993;0.72270539800479][0.690571676825427;0.656574955579226][0.226528379627359;0.808493821606896][...]],0.037672613,6,30,1697387892,12,0.042605784,ZDT4
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 57",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.258354694,[[0;1]],50,300042,01:09.7,7987,8,8,0.328310629,128.7781161,0.275724168,0.728167982,128.4498055,[[0;1.02458961697206][0.851943702316916;-0.760052464673635][0.634915200527519;-0.335885734831453][0.206828585471516;0.622401626030252][...]],0.141798742,6,50,80998059,12,0.148884244,ZDT3
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.222300048,[[0;1]],50,300042,01:04.2,7987,8,8,0.317339932,120.6666667,0.217937062,0.804448981,120.3493267,[[1;0.0167853981846104][0;1.03329812618326][0.74317227676227;0.230209619346408][0.183381613892014;0.599451396390891][...]],0.109709497,6,50,1253328045,12,0.112705454,ZDT1
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.234376627,[[0;1]],50,300042,01:08.5,7987,8,8,0.235446449,120.3333333,0.303134516,0.785379831,120.0978869,[[1;0.0113183371193519][0;1.00567518152586][0.691987594095517;0.676957660803481][0.866257107992395;0.306664387239189][...]],0.121281125,6,50,299642211,12,0.078226028,ZDT2
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.371404721,[[0;1]],30,300042,01:08.4,7987,8,8,1.237793885,117.5185752,0.389152344,3.339866617,116.2807813,[[0.280775318815369;0.982688162003827][1;0.111407075875379][0.870778967647784;0.340059831197604][0.751294659539622;0.523376598663863][...]],0.069761325,6,30,1554942934,12,0.073250769,ZDT6
"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12} Run 58",150,[150;300;600;1350;2400;3750;5400;7350],"ALPS with NSGA2 {NumberOfLayers=8, PopulationSize=6, AgeGap=150, SelectedParents=12}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044225858,[[0;1][-5;5]],30,300042,01:09.0,7987,8,8,4.649238676,120.6666667,0.063018571,0.408580942,116.017428,[[0;1][1;0.429919489187145][0.51724246689769;0.599042995335059][0.74864403159491;0.509398123803839][0.292738575562998;0.704533834632043][...]],0.064692371,6,30,712620634,12,0.061077158,ZDT4
