,AgeGap,AgeLimits,Algorithm Name,BestKnownFront,Bounds,Crowding,Encoding.Bounds,Encoding.ProblemSize,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,ProblemSize,Seed,SelectedParents,Spacing,TestFunction
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 63",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.205904132,[[0;1]],30,300000,00:52.4,6542,3,3,1.026777728,117.5185752,0.205904132,2.679419774,116.4917975,[[1;0.0951795812509776][0.280775318815369;0.973696277142848][0.903515195448084;0.270420771419791][0.806273412759912;0.428966856519412][...]],0.019907595,16,30,1681540866,32,0.019907595,ZDT6
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 59",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.18507172,[[0;1]],50,300000,00:55.2,6542,3,3,0.068706614,128.7781161,0.18507172,0.459443672,128.7094095,[[0;1.00690348271425][0.851433312773605;-0.769577781936694][0.409561485900934;0.243544864521528][0.823388773613923;-0.455650528264207][...]],0.052720568,16,50,1938071835,32,0.052720568,ZDT3
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 72",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.143419936,[[0;1]],50,300000,00:51.3,6542,3,3,0.29052647,120.6666667,0.151783605,0.516902109,120.3761402,[[1;0.0224224045088154][0;1.04429718739809][0.320693053868663;0.465663331729305][0.864148869488557;0.0943458516700911][...]],0.042806484,16,50,1614331149,32,0.0420335,ZDT1
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 61",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044369731,[[0;1][-5;5]],30,300000,00:54.6,6542,3,3,5.771610509,120.6666667,0.054764601,0.365226249,114.8950562,[[0;1][1;0.539482120343568][0.258848357097413;0.765677875612187][0.12597557997295;0.836541144086747][0.350402065972607;0.727363722934927][...]],0.02918586,16,30,2124886021,32,0.031053594,ZDT4
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 63",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.134227941,[[0;1]],50,300000,00:54.1,6542,3,3,0.344793135,120.3333333,0.134227941,0.540467769,119.9885402,[[0;1.01463460118733][1;0.0288240542185849][0.492622139115727;0.775473513069145][0.331989480535263;0.906002674443602][...]],0.03536375,16,50,595304070,32,0.03536375,ZDT2
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 64",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0.280775319;0.92116522][0.281499068;0.920758275][0.282222229;0.920350613][0.282944464;0.91994243][0.283665793;0.919533718][...]],[[0;1]],0.201833629,[[0;1]],30,300000,00:53.0,6542,3,3,1.937870458,117.5185752,0.347878545,1.842814589,115.5807047,[[1;0.181908890514376][0.280775318815369;1.02336962487088][0.430650272432561;0.925879789390494][0.344444749978969;0.986677155660868][...]],0.079545489,16,30,843133631,32,0.030183745,ZDT6
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 60",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.000166987;0.98707679][0.000355607;0.981138473][0.000502083;0.977584873][0.000593637;0.975624266][...]],[[0;1]],0.190577303,[[0;1]],50,300000,00:56.0,6542,3,3,0.029047395,128.7781161,0.190577303,0.50727575,128.7490687,[[0;1.00081282248049][0.851783732378825;-0.772930181447773][0.189090669669622;0.629335706703639][0.618719000838068;-0.129334416187205][...]],0.055306935,16,50,1074722770,32,0.055306935,ZDT3
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 73",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.001;0.968377][0.002;0.955279][0.003;0.945228][0.004;0.936754][0.005;0.929289][0.006;0.92254][...]],[[0;1]],0.164559395,[[0;1]],50,300000,00:52.0,6542,3,3,0.083920507,120.6666667,0.164559395,0.497233741,120.5827462,[[0;1.00859396626563][1;0.00428864366829894][0.713670800415902;0.160192040266533][0.0594311181611795;0.763772903875002][...]],0.05492308,16,50,1128277973,32,0.05492308,ZDT1
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 64",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[0;1][0.003754873;0.999985901][0.00563231;0.999968277][0.007200271;0.999948156][0.008597509;0.999926083][...]],[[0;1]],0.146254035,[[0;1]],50,300000,00:54.8,6542,3,3,0.171424217,120.3333333,0.146254035,0.595777747,120.1619091,[[0;1.00655676218764][1;0.0126871187012979][0.778967600676348;0.403726408208341][0.654273893781719;0.581099067934171][...]],0.02756196,16,50,1135514783,32,0.02756196,ZDT2
"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32} Run 62",300,[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, PopulationSize=16, AgeGap=300, SelectedParents=32}",[[1E-10;0.999989473][0.000210548;0.985489736][0.000631265;0.974875018][0.00116308;0.965896038][0.001774631;0.957873636][...]],[[0;1][-5;5]],0.044827724,[[0;1][-5;5]],30,300000,00:55.2,6542,3,3,5.26518203,120.6666667,0.047200769,0.304916769,115.4014846,[[0;1][1;0.491875507556576][0.0797642646150557;0.856490373954715][0.361088549274502;0.694661861078509][...]],0.024716814,16,30,1969806184,32,0.026146267,ZDT4
