,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",50,21,6471,1263,00:00.0,2306.542602,5320138.776,171,621,4521,21,46,4221,107.0348139,-1359.352941,0.457600078
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",50,55,6955,1549,00:00.0,2305.929358,5317310.204,55,1855,4830,55,105,4508.846154,114.5690276,-1257.941176,0.524567514
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 1",45,26,9026,2612.666667,00:00.0,3019.56499,9117772.727,476,4526,7253.272727,121.4545455,121.4545455,6701,201.1660079,-1812.985507,0.76561341
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",40,182,10982,3932,00:00.0,3841.874542,14760000,182,7082,9032,182,182,9032,308.2739212,-2079.341463,0.87993343
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",50,4,5779,1163.4,00:00.0,2331.240504,5434682.286,4,19,4820.666667,4,4,4449.384615,111.0439376,-1557.176471,0.482141462
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,35,6135,946,00:00.0,2115.95711,4477274.49,35,185,3672.5,35,35,3361.923077,81.54861945,-1051.941176,0.31563012
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",50,21,6471,1254,00:00.0,2306.990486,5322205.102,171,471,4483.5,33.5,46,4163.307692,101.9279712,-1243.235294,0.414814651
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",50,55,6955,1693,00:00.0,2406.27496,5790159.184,55,1855,5255,55,105,4808.846154,123.3565426,-1329.235294,0.558460947
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",50,4,5774,704.4,00:00.0,1891.106155,3576282.49,4,24,2903.583333,4,4.416666667,2677.461538,62.39855942,-824.3647059,0.231353591
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 3",50,35,6135,1048,00:00.0,2244.080876,5035898.98,35,235,4180.833333,35,39.16666667,3835,96.9819928,-1328.058824,0.396884495
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 3",50,21,6471,1353,00:00.0,2431.862476,5913955.102,21,621,5008.5,21,33.5,4671,114.9435774,-1463.117647,0.474733994
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 3",50,55,6955,1549,00:00.0,2275.460034,5177718.367,55,1555,4705,55,105,4439.615385,110.5354142,-1159.117647,0.501445105
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 2",45,26,9026,2272.666667,00:00.0,2813.974866,7918454.545,476,3326,6435.090909,107.8181818,135.0909091,5701,168.3399209,-1430.811594,0.617337856
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 2",40,182,10982,3234.5,00:00.0,3310.743003,10961019.23,182,4682,7502,182,182,7502,237.2138837,-1391.170732,0.701603699
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 4",50,4,5764,1163.6,00:00.0,2323.5838,5399041.673,4,44,4810.666667,4,4.416666667,4438.615385,110.8552221,-1552.352941,0.483676033
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 4",50,35,6135,712,00:00.0,1828.074988,3341858.163,35,235,2718.333333,35,43.33333333,2473.461538,56.43937575,-670.7647059,0.202551435
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 4",50,21,6471,1113,00:00.0,2194.528446,4815955.102,21,621,4033.5,21,46,3713.307692,90.69867947,-1109.117647,0.362976437
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 4",50,55,6955,1819,00:00.0,2645.809933,7000310.204,55,1855,6105,55,105,5639.615385,141.2052821,-1640.529412,0.605262176
