,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 7",6473,0,1330.999999,1239.119566,00:31.8,112.3030819,12611.9822,1210,1289.493657,1307.947459,1176.347342,1176.347411,1297.106273,0.027362284,1150.575216,0.207309109
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 4",10984,0,1329.128083,1234.352706,00:00.0,55.76757614,3110.022549,1210,1264.662968,1294.587167,1204.712309,1204.712324,1292.658252,0.010687815,1175.660568,0.369312233
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 7",6957,0,1330.967737,1239.815094,06:24.3,66.88372727,4473.432973,1210,1275.02167,1302.310908,1200.954572,1200.954927,1287.857579,0.01823286,1176.401206,0.299773925
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 8",5786,0,1210.94536,1204.971239,00:00.0,74.77692642,5591.588725,1210,1210,1210.018799,1189.859202,1189.859283,1210.005209,0.005198401,1189.934863,0.013485127
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 8",6137,0,1330.926152,1209.98459,00:00.0,109.7853487,12052.8228,1210,1211.682677,1247.67217,1172.138201,1172.145697,1246.495277,0.016802933,1158.433192,0.07353315
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 8",6473,0,1330.99961,1259.729858,20:00.0,82.51766117,6809.164406,1210,1318.42698,1325.501027,1197.286774,1197.287337,1320.436783,0.027839988,1169.639658,0.397503823
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 5",9028,0,1330.576823,1232.90598,00:00.0,76.5691555,5862.835574,1210,1283.333408,1303.062613,1196.597253,1196.597259,1301.970387,0.014681247,1166.642173,0.249728502
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 8",6957,0,1330.998762,1216.670171,00:01.8,48.32239318,2335.053683,1210,1218.011944,1242.041818,1202.659913,1202.661654,1234.726354,0.006399039,1194.414315,0.070738816
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 9",5786,0,1270.442472,1208.648341,00:00.0,52.88160065,2796.463687,1210,1210.003026,1213.795941,1200.795297,1200.796747,1213.218898,0.003075403,1199.752738,0.00943725
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 5",10984,0,1330.912971,1227.857233,00:00.0,98.85941198,9773.183337,1210,1281.050144,1297.537883,1183.561544,1183.561551,1297.252377,0.013248948,1155.100637,0.180595141
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 9",6137,0,1330.997727,1243.127722,15:30.6,109.1701525,11918.12219,1210,1291.87981,1309.067812,1178.448501,1178.45082,1302.979741,0.028729174,1154.986615,0.217390324
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 9",6473,0,1330.995942,1240.692094,06:46.3,68.85387305,4740.855834,1210,1278.082825,1302.304842,1200.278121,1200.278387,1293.077095,0.020443828,1174.535867,0.30786813
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 9",6957,0,1330.992467,1213.05862,00:00.0,60.95315202,3715.286741,1210,1210.003443,1233.36879,1198.867165,1198.867242,1233.311114,0.006758673,1189.551954,0.049597041
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 10",5786,0,1211.518969,1208.542603,00:00.0,42.06519245,1769.480416,1210,1210,1210.025935,1204.142462,1204.142509,1210.020329,0.00152041,1204.144817,0.003645242
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 10",6137,0,1261.551077,1208.252591,00:00.0,48.8423995,2385.579989,1210,1210,1210.897099,1202.112125,1202.11931,1210.81934,0.002081664,1201.866045,0.005702025
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 6",9028,0,1328.379592,1224.715106,00:00.0,62.45714244,3900.894642,1210,1227.696687,1274.044213,1200.350022,1200.350033,1272.820805,0.010365066,1177.93238,0.187081095
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 10",6473,0,1330.859272,1228.78467,00:00.2,50.91679861,2592.520381,1210,1241.681764,1286.083429,1205.512979,1205.515442,1284.012212,0.014900593,1180.566351,0.29907628
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 11",5786,0,1210.635891,1205.294832,00:00.0,73.03949222,5334.767424,1210,1210,1210.013165,1191.159657,1191.160428,1210.001933,0.004864071,1191.225508,0.012374707
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 10",6957,0,1330.99921,1247.666562,24:03.6,69.15650173,4782.621731,1210,1289.350608,1310.902004,1200.954572,1201.000645,1305.621001,0.021217781,1173.87112,0.379716157
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 6",10984,0,1330.96891,1224.161413,00:00.0,37.95764994,1440.783189,1210,1231.938866,1268.724937,1207.796795,1207.79683,1268.724937,0.006609538,1187.865137,0.304875737
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 11",6137,0,1330.990815,1231.138737,28:24.1,95.10488486,9044.939125,1210,1273.416023,1309.363522,1187.125163,1187.127437,1309.055841,0.024434804,1156.172757,0.207211497
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 11",6473,0,1269.409822,1210.241836,00:00.0,15.47240453,239.3953019,1210,1210,1211.71533,1209.252163,1209.255486,1211.554192,0.000504376,1208.609674,0.003710999
