,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 75",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:51.7,5983,0,10,10,0.555570604,1324.367774,2.428766368,0.006608083,1323.812204,[[4.36075777980583E-17;4.35071603193457E-17;1.00602879931484][0.712253835043019;0.71048373325288;0][4.3762061883749E-17;4.33519240235505E-17;1.00603059375574][...]],0.377144987,5,474331194,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 75",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:19.2,6471,1,5,5,0.181425491,1324.492885,0.663907349,0.036861703,1324.311459,[[0.712288489653673;0.707726394431331;0][4.36133387622689E-17;4.33342748843628E-17;1.0041032972449][4.33343256008353E-17;4.36137650993521E-17;1.00410882031119][...]],0.10292901,10,1399350005,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 74",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:52.1,5983,1,10,10,1.21793289,1324.367774,∞,0.057859321,1323.149841,[[4.33588080773897E-17;4.38202676479753E-17;1.0067852256262][0.721748267582352;0.708841148186655;0][4.35915790745729E-17;4.36016381266896E-17;1.00693443855368][...]],0.170262274,5,1576467463,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 74",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:20.3,6471,0,5,5,0.358576396,1324.505542,0.603661327,0.050414676,1324.146966,[[4.33254167491773E-17;4.35389656817519E-17;1.00313997688089][0.67024863489912;0.899955359211386;0.496167413380997][...]],0.173196773,10,1791240438,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 76",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:19.7,6471,1,5,5,0.097004907,1324.520596,0.795496733,0.003883502,1324.423592,[[0.710431889070611;0.707505125941129;0][4.34973080416667E-17;4.33204457439027E-17;1.00260054379156][4.3320386480925E-17;4.34968117524441E-17;1.00259411784626][...]],0.113543357,10,573245901,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 75",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.0,6471,0,5,5,0.099037141,1324.499274,0.699546793,0.008941471,1324.400237,[[4.36132941924818E-17;4.33342695823615E-17;1.00410271985756][0.709501604056727;0.710371849997933;0][0.720326441008302;0.693071113862857;0.227487192070267][...]],0.092190329,10,554529164,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 76",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:52.9,5983,0,10,10,1.034655911,1324.367774,1.580194492,0.251314204,1323.333118,[[0.678004421120945;1.55530399128213;0.878298474661258][4.43107231288046E-17;4.34162990127285E-17;1.01315163151047][...]],0.378332245,5,1709580825,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 75",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:53.5,5983,1,10,10,1.224396099,1324.367774,∞,0.13563283,1323.143378,[[0.718087537932487;0.708412257486855;0][4.39644920635446E-17;4.3375809442641E-17;1.00865591754904][4.33776175951689E-17;4.39798707866661E-17;1.00885546066511][...]],0.220043445,5,375432495,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 77",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.6,6471,1,5,5,0.060678264,1324.535697,0.659762282,0.008393648,1324.475019,[[0.710715495598756;0.707538979188414;0][4.33228414847621E-17;4.35173775685897E-17;1.00286041561507][4.35173070764559E-17;4.33228330727197E-17;1.00285950280159][...]],0.076028762,10,582264282,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 76",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.6,6471,0,5,5,0.099535654,1324.525346,0.764537327,0.003959114,1324.42581,[[0.710584645309891;0.707523362374858;0][4.35017061226654E-17;4.33209708863436E-17;1.00265749069773][4.34674377421442E-17;4.33709523773898E-17;1.0028373972015][...]],0.101360201,10,2008574127,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 77",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:52.1,5983,0,10,10,0.971232041,1324.367774,2.436845208,0.01029188,1323.396542,[[4.33818239456046E-17;4.40156765426895E-17;1.00932010251359][4.40145079978302E-17;4.33816867459923E-17;1.0093049374578][...]],0.460417515,5,687692152,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 76",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:52.1,5983,1,10,10,0.924832142,1324.367774,∞,0.070019773,1323.442942,[[4.37868139253104E-17;4.33548530697985E-17;1.00635147772329][4.3354567073711E-17;4.37843962212896E-17;1.00632013320523][...]],0.263923216,5,1867122234,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 78",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:19.6,6471,1,5,5,0.287767757,1324.521712,0.797634124,0.033803804,1324.233944,[[4.35545354638843E-17;4.34240241510467E-17;1.00445662994782][4.33356516256546E-17;4.36249141478168E-17;1.00425325653095][...]],0.111690314,10,504388137,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 77",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.3,6471,0,5,5,0.439130531,1324.504844,0.663687103,0.026685062,1324.065714,[[4.35965953272258E-17;4.33322825498601E-17;1.00388639944505][4.33355228767241E-17;4.36238314652018E-17;1.00423923003532][...]],0.10909634,10,402143141,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 79",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.3,6471,1,5,5,0.180851679,1324.522087,0.7983666,0.01372331,1324.341235,[[4.33290114490605E-17;4.35691250744247E-17;1.00353057926019][4.35546134587817E-17;4.33272822507615E-17;1.00334262889709][...]],0.092295151,10,1931780366,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 78",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.2,6471,0,5,5,0.203637561,1324.506475,0.70382672,0.006583028,1324.302838,[[4.35242753547107E-17;4.33236645250242E-17;1.00294973749264][0.710494329425065;0.7078883978364;0][4.33233787937345E-17;4.35218805042867E-17;1.0029187254149][...]],0.124320935,10,937706712,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 78",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:53.2,5983,0,10,10,1.098178305,1324.367774,2.052072481,0.071214832,1323.269596,[[0.718458408607331;0.708455851360297;0][4.39914366068826E-17;4.33789768489231E-17;1.00900553924407][4.3378976848923E-17;4.39914366068826E-17;1.00900553924407][...]],0.202676675,5,1953088465,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 77",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:52.8,5983,1,10,10,0.50814794,1324.367774,2.418750505,0.00469603,1323.859626,[[4.35599665223368E-17;4.33279202150865E-17;1.00341195885862][0.711411733476316;0.707622005572971;0][4.33376268697069E-17;4.36415292791714E-17;1.004468519269][...]],0.305810097,5,831691422,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 80",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.4,6471,1,5,5,0.135507058,1324.499002,0.617335053,0.032622505,1324.363495,[[0.807353722405593;0.669070899307443;0.434327343915192][4.33293971434869E-17;4.35723628014755E-17;1.00357251504459][...]],0.080488178,10,1088761735,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 79",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.8,6471,0,5,5,0.532301214,1324.514645,0.701866471,0.02348038,1323.982344,[[0.710273306415708;0.707486188037187;0][4.33196035017064E-17;4.34902555619216E-17;1.00250922972388][4.3490002184492E-17;4.33195732385017E-17;1.00250594909801][...]],0.143373158,10,1740827090,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 79",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:53.2,5983,0,10,10,0.577592813,1324.367774,2.425891122,0.01036192,1323.790181,[[4.33787943146381E-17;4.39898831786322E-17;1.0089853814476][4.39898831786322E-17;4.33787943146381E-17;1.0089853814476][...]],0.306139851,5,562001282,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 78",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:53.1,5983,1,10,10,1.013736893,1324.367774,∞,0.061499851,1323.354037,[[0.71465667556904;0.70800744388319;0][4.37586552851685E-17;4.33515207166444E-17;1.00598643357121][4.33515207166443E-17;4.37586552851673E-17;1.0059864335712][...]],0.207299543,5,1043798185,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 81",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.6,6471,1,5,5,0.108513676,1324.544164,0.655766084,0.006294269,1324.435651,[[4.33215487307461E-17;4.35065463144239E-17;1.00272016339829][4.35023049372645E-17;4.33210423805447E-17;1.00266524431074][...]],0.096195286,10,1479335052,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 80",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.5,6471,0,5,5,0.063903798,1324.515568,0.682269709,0.003965947,1324.451665,[[0.710887564159975;0.70755950912792;0][4.35173593153058E-17;4.33233998403184E-17;1.00286663797401][4.33236492013818E-17;4.3524146915189E-17;1.0029480742587][...]],0.11588537,10,1370354947,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 82",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:19.6,6471,1,5,5,0.242350345,1324.51465,0.541409665,0.030532474,1324.2723,[[4.34721092857692E-17;4.33174354906721E-17;1.00227428862652][0.709933623169326;0.70744560291469;0][4.33172718855507E-17;4.3470740345702E-17;1.00225656563461][...]],0.07686127,10,208475006,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 80",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:52.1,5983,0,10,10,0.617938258,1324.367774,1.904991614,0.071738996,1323.749836,[[4.39387414798297E-17;4.33727797891463E-17;1.00832182702749][0.717597804207049;0.7083546424401;0][4.38111744519135E-17;4.35016324899293E-17;1.00832182791045][...]],0.2755718,5,1957720983,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 79",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:52.0,5983,1,10,10,0.894668044,1324.367774,1.489436768,0.073808253,1323.473106,[[4.33653570388034E-17;4.38757429129475E-17;1.00750463771037][0.716486703029999;0.708223717179218;0][4.38691436691707E-17;4.33645786061648E-17;1.00741904841947][...]],0.128289105,5,1674090000,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 81",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:20.9,6471,0,5,5,0.107376482,1324.517112,0.629872074,0.004007924,1324.409735,[[0.711296218737934;0.70760823843722;0][4.355617299585E-17;4.33274681238883E-17;1.00336282700083][4.33268303505084E-17;4.35508221974218E-17;1.00329352754464][...]],0.095083438,10,650325896,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 83",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.3,6471,1,5,5,0.401479555,1324.507147,0.672934072,0.078556268,1324.105668,[[4.33281220869572E-17;4.35616605940962E-17;1.00343389989646][4.33577914898742E-17;4.35408628882553E-17;1.00353495559691][...]],0.123758989,10,216884255,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 82",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:24.3,6471,0,5,5,0.10165417,1324.510115,0.621296176,0.008931957,1324.408461,[[4.36541080118313E-17;4.33391215450761E-17;1.00463149769151][0.710884712272555;0.709835941050743;0][4.33385208753101E-17;4.36490523371307E-17;1.0045659919155][...]],0.088188043,10,1643648199,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 81",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:52.4,5983,0,10,10,1.23806006,1324.367774,∞,0.010680393,1323.129714,[[4.39774636765508E-17;4.34586478824686E-17;1.00975722698895][4.40493561902219E-17;4.33857760509307E-17;1.00975722132555][...]],0.002204647,5,114748638,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 80",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:52.5,5983,1,10,10,1.097265891,1324.367774,∞,0.097266707,1323.270508,[[0.717979656098398;0.708399570492984;0][4.33757946589678E-17;4.39643663570119E-17;1.00865428652834][4.3961616248435E-17;4.3375471218244E-17;1.00861860456773][...]],0.169757017,5,2091703446,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 84",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.4,6471,1,5,5,0.214268292,1324.517012,0.818916043,0.009180452,1324.302744,[[4.35867297308142E-17;4.33311081128103E-17;1.00375860609391][4.33309376736653E-17;4.3585298258908E-17;1.00374006408259][...]],0.110444443,10,929683858,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 83",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.8,6471,0,5,5,0.024252935,1324.528988,0.564104786,0.002891884,1324.504735,[[4.33162779896368E-17;4.34624253942678E-17;1.00214891838088][4.34564986520183E-17;4.33155693942752E-17;1.00207219186076][...]],0.125460634,10,1313182836,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 82",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:53.5,5983,0,10,10,0.667959314,1324.367774,2.276721841,0.015050918,1323.699815,[[4.41565780175017E-17;4.33983290584831E-17;1.01114925527468][4.33982415761856E-17;4.41558294883922E-17;1.01113953503497][...]],0.233228845,5,235142903,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 81",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:54.0,5983,1,10,10,0.569786216,1324.367774,2.19576077,0.015991455,1323.797988,[[4.33751480418816E-17;4.39588686338116E-17;1.00858295539778][0.717926515677504;0.708393320130902;0][4.39588686338116E-17;4.33751480418816E-17;1.00858295539778][...]],0.176654775,5,1818091406,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 85",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:21.0,6471,1,5,5,0.311102672,1324.519833,0.669544307,0.073917474,1324.20873,[[4.36710181590515E-17;4.33411299363122E-17;1.00485061113758][0.712845505732188;0.707792619199119;0][4.3339725499764E-17;4.36591921763319E-17;1.0046973740887][...]],0.12577253,10,844340592,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 84",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:23.0,6471,0,5,5,0.228248853,1324.489908,0.599454731,0.055798921,1324.261659,[[0.868880607605761;0.672190888203762;0.464717571765137][4.33305657517072E-17;4.35821748201413E-17;1.00369960624996][...]],0.104685896,10,1001131035,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 86",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.3,6471,1,5,5,0.397803634,1324.492797,0.656331562,0.053232486,1324.094993,[[4.3556685378993E-17;4.33275291901084E-17;1.00336946308263][4.33272636395717E-17;4.35544573091143E-17;1.00334060655647][...]],0.08208683,10,1354579875,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 83",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:52.8,5983,0,10,10,1.116934324,1324.367774,∞,0.068132362,1323.25084,[[4.38237197495105E-17;4.33592159504196E-17;1.00682998788076][4.33592212841438E-17;4.38237648949519E-17;1.00683057327124][...]],0.133950471,5,767778318,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 82",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:53.5,5983,1,10,10,1.124026999,1324.367774,1.419541145,0.24373493,1323.243747,[[1.32937011948407;0.65842797837301;0.8461696287028][4.41040208845481E-17;4.33921814031752E-17;1.010466837236][...]],0.069876195,5,440510186,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 85",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.3,6471,0,5,5,0.648783145,1324.518636,0.729060842,0.092007513,1323.869853,[[0.657006655192401;1.28207449805403;0.821712523187664][4.33200928337271E-17;4.3494352765256E-17;1.00256227912704][...]],0.229225568,10,503420684,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 87",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:20.3,6471,1,5,5,0.106999077,1324.509075,0.647421094,0.014245013,1324.402076,[[4.33203365544688E-17;4.34963936568144E-17;1.00258870436143][4.34948322987236E-17;4.33205704396396E-17;1.00257333249315][...]],0.093251962,10,1488774463,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 86",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:21.3,6471,0,5,5,0.180027379,1324.513885,0.666201553,0.019530806,1324.333857,[[0.710821215215101;0.707551593702989;0][4.33236440963006E-17;4.35241041256003E-17;1.00294752015301][4.35221263479362E-17;4.33234081265431E-17;1.00292190894813][...]],0.098827209,10,1055593938,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 84",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:52.7,5983,0,10,10,0.602981545,1324.367774,2.424453152,0.007925414,1323.764793,[[4.33600510711835E-17;4.38307891465735E-17;1.00692165653848][0.708146759745993;0.715834749832286;0][4.38311267466874E-17;4.33600909476832E-17;1.00692603426064][...]],0.30545852,5,1046280747,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 83",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:53.3,5983,1,10,10,0.573687005,1324.367774,2.422371532,0.007166302,1323.794087,[[0.714555197020646;0.707995427960976;0][4.37697535801346E-17;4.33528344779459E-17;1.00613030467579][0.708245799373817;0.714605904319237;0][...]],0.258606812,5,1419916287,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 88",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1}",01:21.7,6471,1,5,5,0.184537701,1324.533035,0.751865603,0.006445078,1324.348497,[[4.33204305606556E-17;4.34971808909962E-17;1.00259889744526][0.710390122903147;0.70750013881797;0][4.34965457522493E-17;4.33203547168664E-17;1.00259067368563][...]],0.079872417,10,504830707,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 87",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0}",01:22.2,6471,0,5,5,0.099041764,1324.525074,0.728519203,0.00334463,1324.426032,[[0.707488753979148;0.710294790212559;0][4.34919927482684E-17;4.33198109831555E-17;1.00253172219183][4.33193718721227E-17;4.34883163062381E-17;1.00248412113987][...]],0.107340057,10,783459619,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 64",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:21.0,6471,3,5,5,0.05191404,1324.505461,0.649156202,0.005115708,1324.453547,[[4.33332622771218E-17;4.36048277401463E-17;1.00399304174932][0.710364537263053;0.705464392707393;0.0858917993152015][...]],0.087547453,10,1081366384,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 85",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:54.5,5983,0,10,10,0.951101324,1324.367774,∞,0.17727556,1323.416673,[[4.33579256319706E-17;4.38128002537382E-17;1.00668840074268][4.38128288199816E-17;4.33579290081429E-17;1.00668877113664][...]],0.290362266,5,1889107243,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 84",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:55.0,5983,1,10,10,1.021921817,1324.367774,1.556699268,0.18379107,1323.345852,[[1.12072975832091;0.689551154451611;0.544108352030299][0.718557819210336;0.708467531065852;0][4.39975235496864E-17;4.33796920010047E-17;1.00908452674831][...]],0.146968182,5,59804499,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 64",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:54.9,5983,3,10,10,1.164541292,1324.367774,2.045433517,0.235927725,1323.203233,[[1.74207836668128;0.678659920096891;0.987192595376588][0.7147402070415;0.72276518847609;0][4.34041110087217E-17;4.42060908889876E-17;1.01179228986574][...]],0.425985281,5,1289432145,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 65",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:21.9,6471,3,5,5,0.168188436,1324.52575,0.623772967,0.011505303,1324.357562,[[4.34515941826555E-17;4.33546774826638E-17;1.00246648906575][4.3318170594323E-17;4.34782609056469E-17;1.00235393194907][...]],0.091514672,10,1031356980,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 86",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0}",01:54.5,5983,0,10,10,0.463255731,1324.367774,1.770874452,0.014995557,1323.904518,[[4.43452542232852E-17;4.34203122433203E-17;1.01360038296977][0.724178579271886;0.709124159573632;0][4.34198351122953E-17;4.43411468064346E-17;1.01354700116697][...]],0.278259177,5,608103357,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 85",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1}",01:54.9,5983,1,10,10,0.576641835,1324.367774,1.789726876,0.052168665,1323.791132,[[0.716320892437263;0.708204154172711;0][4.33635653501652E-17;4.38605558127194E-17;1.00730767143391][0.760740643314329;0.62920499074835;0.563106678268154][...]],0.216606157,5,426763670,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 66",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:21.3,6471,3,5,5,0.081489009,1324.497034,0.678315953,0.028081568,1324.415545,[[4.37701873152192E-17;4.33528858117024E-17;1.00613592747995][0.714834654604881;0.708028512230678;0][0.792258280560685;0.677589541252224;0.381291340646611][...]],0.093883422,10,97132411,20
