,AgeGap,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 78",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:07.8,6471,3,5,5,0.186189692,1324.483798,0.669543094,0.045359164,1324.297608,[[4.3552824848489E-17;4.33270690639279E-17;1.00331946415926][0.71506350350791;0.834837229883516;0.146190620635354][...]],0.083038946,10,1180865901,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 74",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:35.5,5983,3,10,10,0.759134676,1324.367774,1.74625069,0.029328297,1323.608639,[[0.718409433520051;0.708450096448175;0][4.3988836486857E-17;4.33786713187874E-17;1.00897179930832][4.34341827659495E-17;4.44649000199166E-17;1.01515577349373][...]],0.25257203,5,802271301,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 79",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:08.2,6471,3,5,5,0.163081166,1324.495529,0.80039852,0.021540466,1324.332448,[[0.712949524958289;0.707804978085156;0][4.33389516860882E-17;4.36526782701155E-17;1.00461297254903][4.36531553869587E-17;4.33390083703434E-17;1.00461915453192][...]],0.117625688,10,612291219,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 80",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:08.1,6471,3,5,5,0.122570994,1324.526422,0.697765121,0.003447179,1324.403851,[[4.33177835740368E-17;4.34750220222494E-17;1.0023119987488][0.708658206477085;0.708658206477084;0][4.34622847892383E-17;4.331626118063E-17;1.00214709811044][...]],0.091833912,10,886419166,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 75",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:35.9,5983,3,10,10,1.168823739,1324.367774,∞,0.018053354,1323.19895,[[4.37661783997876E-17;4.33524113177096E-17;1.00608395758238][0.714779541412304;0.708021988982716;0][4.33524113177096E-17;4.37661783997876E-17;1.00608395758238][...]],0.04282315,5,321580501,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 81",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:07.8,6471,3,5,5,0.279221574,1324.508529,0.667946491,0.043276565,1324.229308,[[0.79303388755898;0.6549250551598;0.528258596331449][4.3321612735335E-17;4.35070824824584E-17;1.00272710599529][...]],0.104629895,10,804609894,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 76",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:35.7,5983,3,10,10,1.077639591,1324.367774,1.602252787,0.467602608,1323.290135,[[0.656946064189145;1.53185583666151;0.98999488969309][0.717045444775267;0.70828959213489;0][4.37756689243201E-17;4.35151069509668E-17;1.00806556079019][...]],0.293593726,5,1720958995,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 82",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:07.6,6471,3,5,5,0.100201716,1324.507367,0.749419162,0.017630878,1324.407165,[[0.710979840868784;0.707570515986889;0][4.33252679604153E-17;4.35377179899984E-17;1.00312381881903][0.765947277139925;0.693099740071246;0.270535967092805][...]],0.095516491,10,815345534,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3} Run 83",150,[150;300;600;1350;2400],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=3}",01:08.0,6471,3,5,5,0.061528205,1324.474245,0.635895131,0.024003787,1324.412717,[[0.714037671867596;0.707934110675839;0][4.3347055323787E-17;4.37209628910491E-17;1.00549786659511][0.858799991766317;0.70475948647382;0.268334570857019][...]],0.09469838,10,732287493,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 77",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:35.2,5983,3,10,10,1.165345119,1324.367774,2.426076077,0.041946423,1323.202429,[[4.33666248105054E-17;4.38864936202438E-17;1.00764407500272][0.716744502970451;0.708254120602015;0][4.38864936202438E-17;4.33666248105054E-17;1.00764407500272][...]],0.246256328,5,1167611580,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 78",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:29.0,5983,3,10,10,0.633265018,1324.367774,1.498241676,0.088556736,1323.734509,[[4.3373452999902E-17;4.39444615769417E-17;1.00839603683199][4.39445693904738E-17;4.33734656875075E-17;1.00839743557119][...]],0.339266118,5,75739291,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 79",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:29.1,5983,3,10,10,0.311033006,1324.367774,1.602898101,0.008693765,1324.056741,[[0.715826456446639;0.708145780138061;0][4.33599910794101E-17;4.38302812546954E-17;1.00691507062431][4.38302812199945E-17;4.33599910753112E-17;1.00691507017434][...]],0.267816329,5,1629473276,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 80",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:27.6,5983,3,10,10,1.199577694,1324.367774,∞,0.047813801,1323.168196,[[4.38805802681277E-17;4.33659275364545E-17;1.00756737766588][0.716532712739315;0.708229144443553;0][4.33642415221258E-17;4.38662864446879E-17;1.00738199224817][...]],0.160194565,5,165775775,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 81",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:27.7,5983,3,10,10,0.979690565,1324.367774,2.277695538,0.051221845,1323.388084,[[4.40349294964689E-17;4.3384083695569E-17;1.00956997332591][4.33840460089162E-17;4.40346083090754E-17;1.00956580468237][...]],0.287560978,5,1021258819,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 82",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:28.6,5983,3,10,10,0.345352241,1324.367774,1.643127405,0.008561223,1324.022422,[[0.716651695057512;0.708243177180291;0][4.38839712965733E-17;4.33663274066681E-17;1.00761135972491][4.33661185102939E-17;4.38821997411363E-17;1.00758838234923][...]],0.266909494,5,1129410066,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3} Run 83",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=3}",01:28.6,5983,3,10,10,0.555692321,1324.367774,1.859461238,0.008526898,1323.812082,[[0.717043038530199;0.708289308599112;0][4.39047730474092E-17;4.33687793827465E-17;1.00788117542716][4.33687769800493E-17;4.39047526568169E-17;1.00788091093238][...]],0.373207808,5,228388687,10
