,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 28",50,21,6471,1503,00:00.0,2394.18428,5732118.367,171,1221,5158.5,33.5,33.5,4855.615385,124.3361345,-1543.235294,0.573110687
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 29",50,4,5784,1167.9,00:00.0,2331.50457,5435913.561,4,34,4825.666667,4,4.416666667,4454.384615,111.2165666,-1556.905882,0.483532155
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 29",50,35,6135,1335,00:00.0,2426.890174,5889795.918,35,335,5168.333333,35,35,4796.538462,120.0480192,-1606.176471,0.519958503
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 29",50,21,6471,1626,00:00.0,2484.282223,6171658.163,171,1221,5596,46,46,5259.461538,133.8943577,-1654.411765,0.617279173
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 30",50,4,5774,1164.3,00:00.0,2328.266722,5420825.929,4,34,4817.333333,4,4.416666667,4447.846154,111.0134454,-1555.529412,0.483108452
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 27",50,55,6955,1945,00:00.0,2585.142005,6682959.184,355,1555,6055,80,105,5708.846154,144.0144058,-1583.352941,0.659480562
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 30",50,35,6135,1328,00:00.0,2428.970765,5899898.98,35,285,5160,35,43.33333333,4761.923077,118.4753902,-1574.647059,0.505557612
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 30",50,21,6471,1536,00:00.0,2511.306067,6306658.163,171,921,5546,46,46,5190.230769,130.4801921,-1660.764706,0.573652403
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 31",50,4,5784,1168.8,00:00.0,2331.052569,5433806.082,4,39,4826.5,4,4.833333333,4456.692308,111.2561825,-1556.976471,0.484064358
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 31",50,35,6135,1326,00:00.0,2431.063637,5910070.408,35,335,5168.333333,35,35,4781.153846,119.5030012,-1601.823529,0.513480439
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 31",50,21,6471,1575,00:00.0,2499.119028,6245595.918,171,1071,5571,21,33.5,5224.846154,132.1296519,-1662.176471,0.59399889
