,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 68",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 69",11,321,6471,5407.363636,6471,2370.241645,5618045.455,6471,6471,6471,621,6471,4421,-218.1818182,6498.272727,0.093206146
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 71",5,5978,5978,5978,5978,0,0,5978,5978,5978,5978,5978,5978,0,5978,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 70",5,5903,5903,5903,5903,0,0,5903,5903,5903,5903,5903,5903,0,5903,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 69",11,1221,6471,4561.909091,6471,2648.75614,7015909.091,1221,6471,6471,1221,1221,4721,238.6363636,3368.727273,0.089285714
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 70",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 72",5,163,5983,4819,5983,2602.783126,6774480,5983,5983,5983,163,163,5983,1164,2491,0.5
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 71",6,113,5978,5000.5,5978,2394.376224,5733037.5,5978,5978,5978,113,113,5978,837.8571429,2905.857143,0.428571429
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 70",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 71",10,6171,6171,6171,6171,0,0,6171,6171,6171,6171,6171,6171,0,6171,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 71",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 72",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 73",5,5983,5983,5983,5983,0,0,5983,5983,5983,5983,5983,5983,0,5983,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 72",5,5983,5983,5983,5983,0,0,5983,5983,5983,5983,5983,5983,0,5983,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 72",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 73",11,1221,6471,5993.727273,6471,1582.934559,2505681.818,6471,6471,6471,3846,6471,4721,-238.6363636,7186.909091,0.25
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 74",5,5983,5983,5983,5983,0,0,5983,5983,5983,5983,5983,5983,0,5983,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 73",6,213,5898,4950.5,5898,2320.891531,5386537.5,5898,5898,5898,213,213,5898,812.1428571,2920.142857,0.428571429
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 74",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 73",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 75",5,5983,5983,5983,5983,0,0,5983,5983,5983,5983,5983,5983,0,5983,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 75",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=1} Run 74",5,5983,5983,5983,5983,0,0,5983,5983,5983,5983,5983,5983,0,5983,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 74",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=1} Run 76",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=150, NonDominatedElites=0} Run 75",10,6471,6471,6471,6471,0,0,6471,6471,6471,6471,6471,6471,0,6471,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=5, NonDominatedElites=0} Run 76",6,148,5978,5006.333333,5978,2380.087533,5664816.667,5978,5978,5978,148,148,5978,832.8571429,2924.190476,0.428571429
