,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 10",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:18.8,6385,3,3,0.550706948,1330.999962,11.25223501,41.38793185,1330.449255,[[1.73066935954448;0;0][0;0;1.7306693826412][0;1.73066942458214;0][0.50923810887937;0.945987304584067;0.275444012716983][...]],7.740614309,16,1357233106,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 9",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:14.4,6258,3,3,0.948597009,1330.990283,55.5551148,161.9132454,1330.041686,[[2.1317079048596;0;0][0;2.13170733803248;0][0;0;2.13170596256226][0.421678088222828;1.26503426466849;0.444993622326776][...]],36.68780914,16,1414222197,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 8",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:31.6,5864,3,3,61.16386281,1330.381387,86.39281763,266.4548318,1269.217525,[[8.08545348650639;0;0][0;0;8.08476088657885][0;8.08833265993388;0][6.92194400869474;0.508184246137731;0.654632631746374][...]],46.03615288,16,841341629,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 13",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:27.3,6542,3,3,0.636319324,1330.996804,10.24426358,32.79545377,1330.360485,[[0;0;1.66842320032537][0;1.66842303631604;0][1.66846538588442;0;0][0.288478820065639;1.27977875800363;0.10017850318931][...]],4.834996218,16,212581730,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 11",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:18.0,6385,3,3,0.912926858,1330.985961,13.66697277,44.6747577,1330.073034,[[0;2.22013308268522;0][0;0;2.21408497472569][2.21505618455061;0;0][0.526113739408612;1.59025432431373;0.0994437228620158][...]],7.795648258,16,2061439900,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 10",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:01.1,6258,3,3,17.12713486,1330.61086,79.8928925,211.4224042,1313.483725,[[0;0;5.50658761965225][0;5.50658761965225;0][5.506785931851;0;0][0.945215638414005;3.11405685236527;1.44752749588414][...]],62.28045528,16,1832451317,32
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3} Run 9",5,[5;10;20],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=3}",300032,09:22.0,5864,3,3,1312.204194,1330.381387,76.93776572,266.8718421,18.1771939,[[0;23.0104223805421;0][23.0104116819365;0;0][0;0;23.0103937320934][2.62142117016462;15.2433281784835;5.14566796991043][...]],51.45653116,16,1416143787,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 14",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,10:18.2,6542,3,3,0.389106174,1330.997437,13.15380973,42.33123614,1330.608331,[[0;1.53893309099554;0][0;0;1.53893309055305][1.53893313079197;0;0][0.131523337144434;0.164695098238932;1.24271470365872][...]],10.08210788,16,800886629,32
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3} Run 12",150,[150;300;600],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=3}",300000,10:07.3,6385,3,3,1.467018191,1330.996543,12.91200106,44.78812848,1329.529525,[[2.31872798353568;0;0][0;2.31872798353568;0][0;0;2.31872798353568][0.038585541884087;1.65901809695747;0.621124344694129][...]],6.211770527,16,235488696,32
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3} Run 11",50,[50;100;200],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=3}",300032,10:01.5,6258,3,3,41.41782124,1330.381387,77.43828693,237.3627305,1288.963566,[[0;6.26938654763666;0][6.26938669714169;0;0][0;0;6.26938656673276][0.25334334202206;4.95316690188488;1.06287629030899][...]],44.65026403,16,181971388,32
