,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 39",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 40",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 40",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 41",10,5779,5779,5779,5779,0,0,5779,5779,5779,5779,5779,5779,0,5779,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 35",13,2276,9026,4860.615385,3926,3051.528621,9311826.923,2276,9026,9026,2276,4526,4788.5,-85.71428571,5374.901099,0.011966349
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 34",16,776,9026,4619.75,3626,3016.889955,9101625,1826,7226,9026,1301,6326,3813.5,-129.7058824,5592.544118,0.041897496
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 41",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 42",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 42",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 43",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 36",16,926,9026,4722.875,4526,3014.822756,9089156.25,1676,7226,9026,1301,8126,4038.5,-305.5147059,7014.235294,0.232770708
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 35",12,476,9026,4626,4376,3616.628264,13080000,1226,9026,9026,676,4126,3076,-84.96503497,5093.307692,0.007174904
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 43",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 44",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 37",9,776,6176,4576,6176,2100,4410000,2576,6176,6176,1676,6176,3176,-540,6736,0.495918367
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 36",12,326,9026,4438.5,5276,2801.470799,7848238.636,1676,5276,7776,1226,6526,1226,-523.951049,7320.230769,0.454728925
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 44",10,5784,5784,5784,5784,0,0,5784,5784,5784,5784,5784,5784,0,5784,NaN
