,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 21",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:42.5,5983,10,10,17.87898994,0.906010091,6.084703603,986.0068643,[[0.859439325212145;0.857995271653274;2.66650416554683][0;0;6.05013730840217][0.859439325212145;0.428997635826637;4.26690010487131][...]],0.259775467,5,2031378205,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 22",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:59.6,10982,10,8,3.466573326,0.668319816,1.365600196,1000.419281,[[0.887916109167999;0;4.34723033560992][0;0;6][0.859516738821691;0.859371713865425;2.61400929236165][0.791880204412084;0.971719510459703;3.24911600663596][...]],0.343546643,5,581433355,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 22",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:52.2,9026,10,9,5.678992195,0.756341833,1.651277723,998.2068621,[[0;0.901773042020099;5.24583768037837][0;0;6.00028330288828][0.859453709722678;0.859037529813103;2.61429733286142][...]],0.392507937,5,621842796,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 22",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:46.1,7015,10,10,6.72726256,0.869224777,2.883565816,997.1585917,[[0.859621398151873;0.858811093944604;2.61444740230508][0;0;6.00058389845125][0.130372188646981;0.92984924256394;4.26731353936625][...]],0.333603817,5,466154937,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 22",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:41.6,5983,10,10,11.29505154,0.739911277,5.508756982,992.5908027,[[0;0;6.04070411201831][0.858022393094305;0.860291575206046;2.65482388372544][0.201283382121963;1;4.64874940491002][...]],0.330243314,5,1326986155,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 23",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,01:58.4,10982,10,8,6.773477702,0.574311895,0.765849604,997.1123766,[[0.960412375426299;0.81392722528981;3.23937184617598][0;0.906405946200185;4.51302472960021][0.859304744082277;0.859167160616988;2.61401971251077][...]],0.313791631,5,1617122332,10
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 23",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10}",300015,01:54.9,9026,10,9,6.36893302,0.942246396,1.617794273,997.5169213,[[0.299387096261318;0.902615403195355;4.69686828734881][0.908574331770698;0;4.41903994545698][0;0;6.00008970493807][...]],0.3309951,5,2107040938,10
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 23",50,[50;100;200;450;800;1250;1800;2450;3200;4050],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10}",300000,01:48.2,7015,10,10,5.720026147,0.769277147,2.626484622,998.1658281,[[0.944970339243089;0.823152281688332;3.0991598690557][0;0;6.00169688092534][0.859211963500539;0.859020763692942;2.61571269369124][...]],0.337734461,5,1985285409,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 23",5,[5;10;20;45;80;125;180;245;320;405],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10}",300030,01:44.4,5983,10,10,19.34990153,1.037018535,5.277938931,984.5359527,[[0.860686110563642;0.858218962692981;2.65331939350254][0.816277754791469;1;3.48577533525718][0;0;6.03761909461418][...]],0.322401613,5,1572855352,10
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 24",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,02:04.1,10982,10,8,9.900324801,0.721799178,1.179149049,993.9855295,[[1;0.735051018063953;3.84907681415173][0;0;6.000003990152][0.85969182984361;0.859781282230072;2.6140217406599][...]],0.30885126,5,352918288,10
