,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 39",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:25.4,9026,1,10,9,12.36565769,1.269406636,0.094401742,991.5201966,[[0;0.930771663010877;4.5053768081423][0.859393367983607;0.857522031398271;2.61417952468085][1;0;5.00003210665023][...]],0.354698739,5,2084475699,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 38",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:24.9,9026,0,10,9,4.687406406,0.978015065,0.054365096,999.1984479,[[0.859865575148689;0.861206810156506;2.61460314641378][0;0;6.00046446731471][0.900660422639347;0.686533729158446;3.59822097474179][...]],0.195171608,5,814025781,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 48",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.0,5784,1,5,5,40.04716689,1.300188315,0.189419602,963.8386874,[[0;0;6.26125669907462][1;0.00371114766774486;5.25742485895062][0.852999321451438;0.850230762315183;2.88018207710353][...]],0.222190897,10,1392276699,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 49",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.2,5784,0,5,5,34.92174308,1.122233558,0.173773708,968.9641112,[[0;0;6.23985911350911][0.860228685400899;0.857077043457562;2.85410691824308][0.860228685400899;0.255086403006499;4.12028130908437][...]],0.229785217,10,1735549596,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 40",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:24.9,9026,1,10,9,4.027921671,0.846238098,0.102990904,999.8579326,[[0;0.91299600538327;4.71337737109353][0.916984163368639;0;4.45554370592015][0;0;6.00010505535215][0.858399253138638;0.857131257327633;2.61435555648124][...]],0.213882279,5,1101820179,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 39",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.7,9026,0,10,9,7.58702062,1.174346601,0.096265161,996.2988337,[[0;0.877360088355128;5.42096801442378][0;0;6.00007993521553][1;0.753824456802706;3.69877044040393][0.859011057867485;0.860067892218415;2.61411213571003][...]],0.309562444,5,400149291,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 49",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.2,5784,1,5,5,33.77396313,1.218632917,0.133113358,970.1118911,[[0;0;6.18151261955644][0.858611739921405;0.859389739608998;2.7962533904791][0.741564926778271;0.869639050275169;3.27084004203973][...]],0.141843046,10,1282846366,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 50",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.8,5784,0,5,5,52.46356481,1.255916503,0.258637716,951.4222895,[[0.909736905401684;0;4.79565404533608][0.155463415741201;0.993691639470712;5.02661068157493][0.855689529906285;0.860357025163977;3.00387056409916][...]],0.182045907,10,559726187,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 24",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:27.8,5784,3,5,5,12.28809428,1.175133288,0.12015678,991.59776,[[0.872012902914495;0.0602575584217288;4.28291745970747][0;0.273765914107903;5.64264808307722][0.399074319773152;1;4.89518313040613][...]],0.230948269,10,2038170402,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 41",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:26.0,9026,1,10,9,6.932611789,0.688634205,0.09955595,996.9532425,[[0;0;6.00127516749234][0.859558124426981;0.86177556591654;2.61550088375256][0.784430587828288;1;3.5561601732311][...]],0.26604685,5,1539460914,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 40",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:26.5,9026,0,10,9,7.863388583,0.584152767,0.084367065,996.0224657,[[0.300039328023099;0.908444524948193;4.01971380135004][0.858932658061185;0.859762604527991;2.61418004520048][...]],0.263146121,5,1064243911,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 24",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:24.9,9026,3,10,9,8.973632322,0.78434232,0.142094311,994.912222,[[0.829682375590868;1;3.48658443093775][1;0.0478452159371638;5.01704550618431][0.85986666432719;0.857840181427975;2.61632430513129][...]],0.232110108,5,1505930460,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 25",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:28.4,5784,3,5,5,14.06546044,1.255842296,0.083246188,989.8203938,[[0;0;6.05682105077353][0.857493060951212;0.85785316657328;2.67208436566361][0.950439268794425;0.759643106813658;3.33711395128638][...]],0.249500469,10,1420702479,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 26",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:28.0,5784,3,5,5,41.64621988,1.233508912,0.184328946,962.2396344,[[0.859893775720233;0.859497658780286;2.90531354858915][0.892448966765216;0.231089160390573;4.21987518173573][...]],0.156319286,10,1078995722,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 42",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:25.0,9026,1,10,9,8.052451608,0.973143743,0.166652398,995.8334027,[[0.821974687944117;0.905048907025901;4.05016516375959][0;0.892759105398332;4.86894065210846][1;0.298698440699803;4.66081571316276][...]],0.228153494,5,1958755313,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 41",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.9,9026,0,10,9,9.125143142,1.202344577,0.160818089,994.7607111,[[0.873247307821268;0;4.90630491490849][0.858689260321772;0.859479264649425;2.61406454759989][0;0;6.00006332479046][...]],0.196455087,5,1717313508,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 25",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:24.6,9026,3,10,9,5.087837013,0.742326763,0.109918004,998.7980173,[[0;0.328492400544552;5.69853055650752][0.859428945376344;0.858409966459196;2.61416334706419][0;0;6.00011599702721][...]],0.138739984,5,1033875874,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 27",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:28.3,5784,3,5,5,32.79715337,1.160400958,0.111096216,971.0887009,[[0;0;6.22590472482286][0.85916239533614;0.860504522612664;2.84161860017871][0.914261088727729;0;4.64451909262894][...]],0.322357978,10,2075234284,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 43",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:24.8,9026,1,10,9,10.20131811,1.078138916,0.115939007,993.6845362,[[0.929145262142687;0.791841117721192;3.68231130391005][0.129068190141711;0.941059177422363;4.85139179971826][...]],0.227847334,5,583350533,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 42",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:24.7,9026,0,10,9,5.41651955,0.949563127,0.121574365,998.4693347,[[1;0.808925791292936;3.57926166451178][0.791710687548575;1;3.48403139026352][0;0;6.00014792330158][0.860136946170502;0.85666204624278;2.6144669188111][...]],0.221551581,5,1210917111,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 26",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:24.1,9026,3,10,9,8.817471844,1.145169408,0.10778577,995.0683824,[[0.917648382719627;0.288444088272744;4.13522295598257][0;0;6.00054903943256][0.689083894049018;1;4.17552429576075][...]],0.27462381,5,1659886432,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 28",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:27.4,5784,3,5,5,32.42780509,1.16082588,0.101720868,971.4580492,[[0;0;6.1630081367838][0.623848092690479;0.864151509978263;4.09203235511989][0.861936709636195;0.860285020957007;2.77730010431376][...]],0.163220824,10,889369338,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 29",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:27.7,5784,3,5,5,29.30723678,1.133592227,0.182274663,974.5786175,[[0;0;6.1728522047298][0.856816479125926;0.860903645125199;2.79849847658363][0.72744668508751;0.789271518222955;3.56217977109349][...]],0.242004526,10,983784389,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 44",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:25.1,9026,1,10,9,11.57312368,0.85656585,0.092475149,992.3127306,[[0;1;5.26070083387952][0.937810781949731;0.851017185468867;2.97661394614249][0.838868502326137;1;3.39158819913153][...]],0.280214396,5,1085618822,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 43",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.2,9026,0,10,9,5.786089876,0.967030054,0.05655943,998.0997644,[[0.877886497693313;0.0500303479614446;4.27660663833967][0.837038636524582;0.873799325553135;2.67048869126007][...]],0.263307817,5,2014014132,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 27",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:24.4,9026,3,10,9,8.182586256,0.950728607,0.115334175,995.703268,[[0;0.880444287979919;4.88002168491005][0.216299067175348;0.915489772537062;4.15209801014318][0.858866605489493;0.859542714181198;2.61402091459792][...]],0.2591035,5,1952194110,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 30",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:28.5,5784,3,5,5,33.28960371,1.171104131,0.095140308,970.5962506,[[0.859445244189331;0.858756795875871;2.79983947336635][0.136595738637898;0.90309504884416;4.30015076249923][...]],0.131083791,10,1686080339,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 45",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:24.9,9026,1,10,9,7.673994243,1.180061282,0.147222854,996.21186,[[0;0.860815614759832;4.35845972954435][0;0.861329242223831;4.35402810176413][1;0;5.02900681122092][0.859860770868505;0.860519231857169;2.61471034281621][...]],0.276517058,5,1027700384,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 31",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:28.1,5784,3,5,5,35.22374126,1.007419614,0.203029092,968.662113,[[0.860134811619555;0.860390857549741;2.85170120839972][0;0;6.27186794913759][0.71418945699585;0.927317622901968;3.71373263084377][...]],0.201161996,10,1870975366,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 44",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.1,9026,0,10,9,8.245303791,1.004291162,0.159305444,995.6405505,[[1;0.806951058510712;3.44150417682927][0;0;6][0.859619934642977;0.859451617848995;2.61401071937806][0.818271434633887;1;3.39605540084901][...]],0.209304242,5,1019195905,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 28",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:24.7,9026,3,10,9,5.9008975,1.096834046,0.169211673,997.9849568,[[0.00658832811264002;1;5.00352291618094][0.859360022364724;0.85950682811412;2.61400954481645][0;0;6.00000030673822][...]],0.357248408,5,948742086,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 32",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:28.3,5784,3,5,5,20.36386065,1.144361469,0.137772939,983.5219936,[[0.736003175723637;0.891820838910662;3.27701858475387][0.863889470544134;0.860244773225102;2.72627121041159][...]],0.190053458,10,1093277690,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 46",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:24.6,9026,1,10,9,14.80731185,1.078936158,0.102851665,989.0785424,[[0.883817747871675;0.836058976766642;2.98019621148351][0.858450734485763;0.859203689853443;2.6140709715786][...]],0.305720113,5,528331252,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 45",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.3,9026,0,10,9,10.06747349,1.26912814,0.09610537,993.8183808,[[0.195746070884081;1;4.9633294223911][0;0;6.00072260792024][0.858673146723133;0.859114098849837;2.61475538567033][...]],0.318981502,5,2090084042,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 29",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:25.5,9026,3,10,9,2.951560599,0.754567522,0.063168487,1000.934294,[[0;0.872179937741693;4.5509188793442][0;0;6.00028532008541][0.86080108428061;0.861604777995179;2.61456227504912][...]],0.228323706,5,2071814021,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 33",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:27.8,5784,3,5,5,44.43290204,0.90607233,0.178347597,959.4529522,[[0.862904255169969;0.861500207223099;2.92022266018946][0;0;6.30569552666775][0.911674443614175;0.635351059166841;4.26922081663179][...]],0.342548746,10,812699331,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 34",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:28.6,5784,3,5,5,26.37800279,1.194989595,0.110264581,977.5078515,[[0.860638869127935;0.865647803810201;2.73833592439383][0;0;6.12272414784057][0.860638869127935;0.537445189757993;4.39673440355929][...]],0.179273938,10,721073028,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 47",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:26.5,9026,1,10,9,6.396506356,0.698384513,0.199784133,997.4893479,[[0.859552414805241;0.859243861947593;2.61402606911911][0;0;6.00000604060627][0;0.893295492871328;4.35230602003018][...]],0.275241248,5,1967833028,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 46",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:26.8,9026,0,10,9,15.00255006,0.814995335,0.164703531,988.8833042,[[0.77582617657972;0.876423029111356;3.02691755315587][0.860835813584467;0.858584924945476;2.61426524723117][...]],0.15368534,5,483478335,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 30",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:25.3,9026,3,10,9,5.742932467,1.000510775,0.127840748,998.1429218,[[0.771849526372232;1;3.7510901861652][0;0;6.0003324408326][0.860612693686597;0.859596208378184;2.61440043222856][...]],0.193331618,5,1538000548,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 35",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:27.7,5784,3,5,5,16.19107088,1.284445463,0.147937177,987.6947834,[[1;0;5.08865601051657][0.85569839632818;0.857669850913034;2.703208216143][0;1;5.08854337964346][0;0;6.08848539203867][...]],0.24215239,10,1650791983,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 48",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:25.3,9026,1,10,9,11.85618456,0.925737886,0.125029544,992.0296697,[[0.837753391222645;1;3.35954569093935][0.859995177863353;0.859382582639513;2.61434639292959][0;1;5.0536713224374][...]],0.239359789,5,84157605,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 47",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:24.5,9026,0,10,9,4.928275464,0.955680025,0.101377806,998.9575788,[[0;0.885754429672468;5.59872308791119][0.89453410643027;0.181916567057372;4.24223044429603][0.34856785043696;0.889592779829157;4.37616471831087][...]],0.251952812,5,1327857037,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 36",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:27.6,5784,3,5,5,19.53564542,1.177722032,0.085695747,984.3502089,[[0.856515737097034;0.862538483045768;2.7384095267917][0;0;6.123686450898][0.85745074680962;0;4.43084021822424][...]],0.19502902,10,1089437190,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 31",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:23.8,9026,3,10,9,12.84811013,1.403018877,0.123388234,991.0377442,[[0.674336279524599;0.912174750789575;4.68507559883631][1;0;5.94340144533841][0;0;6.0004583769408][0.857966362283226;0.858820732255373;2.61452056789695][...]],0.388756864,5,1748716801,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 37",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:15.6,5784,3,5,5,43.22174114,1.009845283,0.151057729,960.6641131,[[0;0;6.28812152834394][0.839255152307352;0.858730409721298;2.91797922814339][0.506562191502917;1;5.28717614708335][...]],0.23044188,10,1582273961,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 32",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:04.0,9026,3,10,9,7.552187428,0.992058045,0.097552949,996.3336668,[[0.898461484459842;0.257318417653999;3.99461717800361][0.859925642047035;0.85876455866468;2.61432029696622][...]],0.221139189,5,365381677,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 38",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:14.3,5784,3,5,5,16.41973042,1.084432558,0.077238832,987.4661239,[[0.865034562305977;0.863284767303952;2.67834140798276][0.874852916044835;0.634290083533069;3.93518555572308][...]],0.144234333,10,1048605539,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 39",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:14.2,5784,3,5,5,28.01678403,1.236484234,0.139386006,975.8690702,[[0.856809412151918;0.859525385955444;2.76966150854768][0;0;6.15542139938099][1;0;5.1554742314811][0.294050197587236;0.265138484946724;5.33094806869422][...]],0.086904354,10,352561192,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 33",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:02.2,9026,3,10,9,10.8674032,1.09722576,0.125896271,993.0184511,[[0.70949622312615;0.986441617130163;4.68645876571622][0.884691792782796;0.239776375437159;4.9239226374818][...]],0.249826197,5,1008655982,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 40",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:13.7,5784,3,5,5,9.841170603,1.206964108,0.10509731,994.0446837,[[0;0;6.0549932983296][0.858907999346785;0.857030949377789;2.67202603424342][0.938378221869156;0;4.60482727337284][...]],0.088228138,10,199835255,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 41",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:13.9,5784,3,5,5,14.79261263,1.23991369,0.099866949,989.0932417,[[0.858818853648657;0.859999031121541;2.65184933267758][0;0.920241151834564;4.48929286716115][0;0;6.03782674067657][...]],0.194721485,10,1424702722,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 34",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:02.1,9026,3,10,9,5.472409789,0.598237573,0.129815098,998.4134445,[[0.080676847494298;0.969335956579535;4.62049646460485][0;0.878893939535061;5.50908106093926][0;0;6.00002541852885][...]],0.249231149,5,168960792,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 42",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:13.9,5784,3,5,5,28.90829597,1.227632798,0.152931218,974.9775583,[[0;0;6.16362031465768][0.856813608914087;0.859964490722305;2.77776317681498][0.942303258957516;0.710064092363461;3.74131096871785][...]],0.163822565,10,873558588,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 35",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,02:02.0,9026,3,10,9,4.80800675,0.99115345,0.066829426,999.0778475,[[0.7945235576073;0.933953597044597;3.01212735776478][0.864230661675983;0;4.31339041435535][0;0;6.0001857141429][...]],0.359497143,5,1301622996,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3} Run 43",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=3}",300010,01:13.9,5784,3,5,5,33.12463014,1.262290589,0.117669554,970.7612241,[[0;0;6.18341689610019][0.860414621670464;0.859015592265635;2.79749187329037][0.915914179660054;0.683078283568248;3.8269700562766][...]],0.233836817,10,627934608,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 36",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,01:55.0,9026,3,10,9,8.06613072,0.947860477,0.12751921,995.8197236,[[0.774076495403828;0.931695464130135;3.44235811379706][1;0;5.03420243071408][0.858508298757665;0.859000341839588;2.61404664238574][...]],0.289463287,5,1764072053,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 37",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,01:54.2,9026,3,10,9,9.193698281,0.968049226,0.093752425,994.692156,[[0;0.937556081535485;4.70865451601351][0.947050152288339;0.000255047881078305;5.06782807665268][0;0;6][...]],0.265180076,5,1525746214,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3} Run 38",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=3}",300015,01:53.2,9026,3,10,9,5.196606726,0.995632404,0.057523987,998.6892475,[[0.868359160986217;0;4.32640370890881][0;0;6.00000422016754][0.858961147191703;0.859224046551469;2.61402178026752][...]],0.290930037,5,1930839133,10
