,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 30",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:22.4,9026,0,10,9,10.24367174,0.861198269,0.086734475,993.6421825,[[0.858346535566336;0.858330149431345;2.61425722464178][0;0;6.00015975452026][1;0.160813392629135;4.72860710261603][...]],0.305074076,5,29845008,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 34",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:26.3,5784,1,5,5,28.80305153,1.11404944,0.102748815,975.0828027,[[0;0;6.12364566777971][0.859441607283805;0.845166673244631;2.7497825994038][0.752679432354318;0.95948971091891;3.50951955042262][...]],0.180134537,10,1252905986,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 35",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:26.2,5784,0,5,5,31.85610523,1.128816429,0.106976613,972.0297491,[[0;0;6.20557778084375][0.901179438297677;0;4.7293154800413][0.261549880331513;0.859648603826399;4.08779951447592][...]],0.182617461,10,1084736420,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 35",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:27.7,5784,1,5,5,52.09436209,1.142737547,0.15038815,951.7914922,[[0;0;6.32356359025108][0.860148211021994;0.856145665148346;2.93860972930855][0.746657535730291;0.958911211797394;3.745816269987][...]],0.148390851,10,420087717,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 36",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:27.8,5784,0,5,5,29.59205311,1.232485879,0.095426882,974.2938012,[[0.860928233111359;0.859393848977717;2.80257919932293][0.910897459302375;0.282709656414644;4.18701933832679][...]],0.156213787,10,1704572852,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 32",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:24.0,9026,1,10,9,12.81886669,0.78255013,0.123339338,991.0669876,[[0.68789678452319;0.941824378757249;4.81032782737389][0.985782951523475;0.807851635258017;3.46688041009921][...]],0.231993191,5,99018307,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 31",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.1,9026,0,10,9,6.115923713,0.881509668,0.140541465,997.7699306,[[0;0.985542551900723;4.8925583919851][0.925805697894621;0.324802012963665;4.14416557920977][0.859469503434035;0.859595782609662;2.61454297587159][...]],0.235129282,5,1150540006,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 36",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:27.3,5784,1,5,5,22.30340891,1.157948456,0.081437895,981.5824454,[[0;0;6.10880911207337][0.861143359213268;0.858780701748551;2.72295586794352][0.886719927250426;0.612864423743232;4.1439043582149][...]],0.062701796,10,1997071813,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 37",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:27.9,5784,0,5,5,27.42656696,1.246346516,0.149065587,976.4592873,[[0.859513862381836;0.858328405131048;2.75353148098671][0.252093722201925;0.867455533304592;4.02224181222314][...]],0.112061514,10,156286577,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 37",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:27.8,5784,1,5,5,14.40158627,1.105065788,0.086309141,989.484268,[[0.858431292093609;0.8595046927104;2.66757577605112][0.898845289339578;0.693570796283851;3.5540870597806][...]],0.167263874,10,314414488,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 38",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:27.8,5784,0,5,5,4.347524261,1.217221371,0.09526969,999.53833,[[0.209546953127191;0.875540479775104;3.92455748940378][0.860144262342279;0.860068931181746;2.62353591765445][...]],0.219001445,10,1277671179,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 33",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:24.2,9026,1,10,9,6.23625049,1.085192476,0.156330953,997.6496038,[[0.850113239842263;1;4.23383195492105][0;0;6.00000554212296][0.859674109754256;0.858374229094864;2.61405863002873][...]],0.262512079,5,1609203642,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 32",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:24.8,9026,0,10,9,8.329508563,0.784396063,0.1186721,995.5563457,[[1;0.69799372304298;4.36076260539852][0;0;6.00030087891923][0.858457143650646;0.858886252664158;2.61435502094014][...]],0.199198868,5,1751095887,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 38",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.4,5784,1,5,5,19.74149038,1.115181547,0.079571543,984.1443639,[[0.860739514713131;0.85986955060276;2.7495456280599][0;0;6.13448487294168][0.900898650201425;0;4.50998032532391][...]],0.182919996,10,622384898,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 39",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:29.0,5784,0,5,5,9.216166951,1.342306456,0.099298246,994.6696873,[[0.838050773449797;0.896855358498288;2.7072083433412][0.852761123355712;0.860126392373028;2.63602019817216][...]],0.216194955,10,398473897,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 34",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:26.5,9026,1,10,9,8.111332166,1.009442986,0.080834904,995.7745221,[[0.860107436361732;0.859532512249469;2.6141008266715][0.913600195728358;0.770141730721698;3.08681735425706][...]],0.312843951,5,1606186227,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 33",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:26.6,9026,0,10,9,7.537260112,0.726905336,0.170071047,996.3485942,[[0.675316054378598;0.934915356780604;4.29444614788054][0.859224941379021;0.858609591391812;2.6140381789961][...]],0.231438327,5,258149324,10
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 39",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:28.6,5784,1,5,5,39.38335218,1.275986181,0.155712806,964.5025021,[[0.859396764980827;0.85974203080357;2.86094544273746][0.823297796954282;0.886728820449089;2.94049255500965][...]],0.218207822,10,80089416,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 40",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.3,5784,0,5,5,10.59392417,1.095417675,0.075496959,993.2919301,[[0;0;6.05077708999227][0.85740039169812;0.857886095568019;2.66477423578281][0.871525542421603;0.0859121895061405;4.23057895438386][...]],0.197584037,10,1967686795,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1} Run 40",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=1}",300010,01:27.9,5784,1,5,5,36.75888805,1.290830955,0.164405428,967.1269662,[[0;0;6.24049528105821][0;0.989637344154485;5.1543826562588][0.859639718403378;0.857698973253991;2.8546669573021][...]],0.162122001,10,756626176,20
"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0} Run 41",5,[5;10;20;45;80],"ALPS with NSGA2 {NumberOfLayers=5, AgeGap=5, NonDominatedElites=0}",300010,01:28.7,5784,0,5,5,13.84838665,1.023793603,0.090073914,990.0374676,[[0.858803938872771;0.858228365880256;2.68180792229859][0.0619579923428614;0.972029029968635;4.74667466009153][...]],0.168191234,10,1441634320,20
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1} Run 35",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=1}",300015,02:25.2,9026,1,10,9,6.51636322,0.938225037,0.157016061,997.3694911,[[0;0.903013638289586;4.99102853245647][0.978937168005094;0.673583364748115;4.18302197217636][0.859714154731189;0.85578418135226;2.61617214242079][...]],0.265628567,5,388900860,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0} Run 34",150,[150;300;600;1350;2400;3750;5400;7350;9600;12150],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=150, NonDominatedElites=0}",300015,02:25.3,9026,0,10,9,4.741027429,0.716186376,0.078496499,999.1448268,[[0.892821206607579;0.329113904654515;4.23551716762833][0.69852779758269;0.936486712200433;3.64111187454206][...]],0.197570993,5,1030269742,10
