,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:36.7,6542,3,3,0.165339948,0.176186836,0.352494455,128.6127762,[[0;1.02284222164223][0.851789410675832;-0.761007300009192][0.453922318183139;-0.109027241258112][0.652595675276051;-0.444593087932704][...]],0.051191155,16,1569713415,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.9,6542,3,3,0.049096543,0.198014946,0.470707574,128.7290196,[[0.851855921411689;-0.771235777626516][0;1.00395751923385][0.618445526584856;-0.122660190349378][0.824007050508608;-0.469781301650752][...]],0.055401345,16,1602420208,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.7,6542,3,3,0.027876576,0.172045023,0.369878149,128.7502396,[[0;1.00037931982965][0.851887822718029;-0.773163454283876][0.0830794138120453;0.669977876222763][0.618750574498622;-0.13014554140004][...]],0.045589549,16,1941419241,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.5,6542,3,3,0.133556903,0.181954284,0.412672198,128.6445592,[[0;1.0172159342028][0.851829065921196;-0.76407812693998][0.258009500358627;0.255008900746746][0.652487441597409;-0.447969731498773][...]],0.069619381,16,1498780814,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:36.4,6542,3,3,0.162644951,0.167983698,0.308624812,128.6154712,[[0.85185237592093;-0.762942858219385][0;1.01928670020639][0.825704268393166;-0.494752107943972][0.18535059087352;0.66694782822026][...]],0.054963118,16,1959738731,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:36.6,6542,3,3,0.156848602,0.187048081,0.43887011,128.6212675,[[0;1.02137675189384][0.851887828031568;-0.761817001600901][0.823489106787345;-0.449757506529975][0.258026915125633;0.258128503681753][...]],0.060492746,16,524762340,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 7",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:36.6,6542,3,3,0.030320803,0.197569561,0.542717056,128.7477953,[[0.851566999835074;-0.773192924305729][0;1.00027157165217][0.257729078087763;0.242363875809414][0.652441034133109;-0.458099805961279][...]],0.065381462,16,80490631,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:36.4,6542,3,3,0.159462954,0.182589971,0.400279145,128.6186532,[[0.851900330240923;-0.761385052614395][0;1.02198629012123][0.453608322812323;-0.109474706005731][0.65248893891905;-0.445094647461663][...]],0.048831326,16,858394130,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:36.4,6542,3,3,0.034769006,0.184617971,0.371253854,128.7433471,[[0.851855918306161;-0.772453639202197][0;1.00169871104019][0.652284237678685;-0.457233551381456][0.453811866579393;-0.12309037852606][...]],0.046295504,16,583389842,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 10",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.6,6542,3,3,0.147326897,0.174367431,0.373021558,128.6307892,[[0;1.01924707904711][0.851716675819849;-0.762957376368912][0.652466790887362;-0.446751001205468][0.257685710454308;0.256548742774107][...]],0.063561412,16,1687475037,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 11",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.6,6542,3,3,0.108289306,0.183652201,0.472415073,128.6698268,[[0.851741565866853;-0.766132033967984][0;1.01339318654941][0.824361553630223;-0.471713760261859][0.65250800657798;-0.450261504170898][...]],0.05604594,16,993743297,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 12",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.7,6542,3,3,0.085225856,0.174577067,0.364230143,128.6928903,[[0.85167831192552;-0.768154820633769][0;1.00964390842191][0.823403197255704;-0.454442472326799][0.618375920580227;-0.117993027587638][...]],0.050821398,16,982100457,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 13",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.4,6542,3,3,0.123612563,0.170688889,0.325315415,128.6545036,[[0.851756872534058;-0.764831001316136][0;1.01579624742689][0.419642590407367;0.120069383407589][0.453842070368303;-0.113721781407817][...]],0.061377632,16,998011638,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 14",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.5,6542,3,3,0.088990923,0.201460664,0.589506989,128.6891252,[[0;1.01017234639419][0.851882865022578;-0.767878144142906][0.0835567130930282;0.678374550654678][0.257934167332149;0.249760738723388][...]],0.038996436,16,1546098662,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 15",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.5,6542,3,3,0.039254453,0.167361468,0.335396901,128.7388617,[[0.851860112869929;-0.772263959042958][0;1.00204869081053][0.187933708890981;0.637760865119461][0.652701664323328;-0.457030489932909][...]],0.054193672,16,2094802264,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 16",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.7,6542,3,3,0.035656104,0.182655076,0.432716143,128.74246,[[0.851842391961509;-0.772327308039856][0;1.00193350005855][0.0829659513026987;0.671307597494549][0.213690790932409;0.450117206658465][...]],0.049907145,16,275664355,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 17",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:35.9,6542,3,3,0.069422347,0.168212935,0.360102481,128.7086938,[[0.851759258820215;-0.769413475842591][0;1.00733017206764][0.652508931381516;-0.453888949101789][0.409415097975698;0.245793150833669][...]],0.049396434,16,298231013,32
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 18",300,[300;600;1200],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3}",300000,00:36.0,6542,3,3,0.095093096,0.190579795,0.472525793,128.683023,[[0;1.01045629199442][0.851798962821688;-0.767724855965908][0.106070984726955;0.703180620091161][0.652515709280307;-0.452019257355141][...]],0.053007577,16,772943902,32
