,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 8",6387,1165.885582,1330.993556,1330.034344,28:36.5,2.837526885,8.051558822,1329.927403,1330.426406,1330.648961,1329.119889,1329.412156,1330.234369,0.000182573,1329.451389,0.01407575
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 6",5866,1221.339947,1330.997371,1330.184569,23:48.4,1.923492657,3.699824002,1330.055566,1330.510943,1330.690419,1329.501554,1329.875686,1330.260668,9.53E-05,1329.905115,0.007039478
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 6",6260,1250.911575,1330.998899,1330.043773,15:49.0,2.081436801,4.332379155,1329.885447,1330.416978,1330.644616,1329.252428,1329.638161,1330.183685,0.000124672,1329.653612,0.01171787
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 9",6544,1180.616854,1330.999289,1329.943454,32:51.3,4.348242452,18.90721242,1329.909196,1330.428281,1330.631452,1328.78071,1329.119688,1330.23626,0.000245385,1329.140676,0.011366877
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 9",6387,1185.666631,1330.999346,1329.765079,53:11.3,4.404725645,19.40160801,1329.839511,1330.368651,1330.596284,1328.230206,1328.648101,1330.172139,0.000347532,1328.655409,0.021165697
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 7",5866,1169.882622,1330.999644,1330.048103,25:44.0,2.768980759,7.667254444,1329.897665,1330.396256,1330.641799,1329.262322,1329.637703,1330.185932,0.000137831,1329.643913,0.007106132
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 7",6260,1235.954217,1330.999991,1330.045306,07:21.3,2.266745354,5.138134499,1329.93878,1330.406451,1330.628775,1329.207941,1329.603331,1330.174926,0.000133458,1329.627651,0.011321852
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 10",6544,1172.320821,1330.999105,1329.940216,22:39.7,4.181251597,17.48286492,1329.927223,1330.41904,1330.61461,1328.782008,1329.116828,1330.231063,0.00024981,1329.122961,0.012740317
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 8",5866,1017.762882,1330.997498,1329.940893,04:39.5,6.820770594,46.52291149,1329.92827,1330.434494,1330.64527,1328.771656,1329.144112,1330.239834,0.000272219,1329.142612,0.004568207
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 10",6387,1176.005686,1330.99698,1330.049701,32:40.0,2.31607945,5.36422402,1329.907548,1330.376919,1330.58135,1329.321071,1329.691438,1330.167942,0.000102534,1329.72231,0.006663614
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 8",6260,1179.647274,1330.999201,1329.988108,07:09.2,3.131756636,9.807899626,1329.871776,1330.375826,1330.623089,1329.074288,1329.450965,1330.166631,0.000162328,1329.480101,0.008775056
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 11",6544,1235.819505,1330.993531,1329.858068,42:12.6,3.0412468,9.249182099,1329.837525,1330.340071,1330.565125,1328.652831,1329.040265,1330.204178,0.000251432,1329.035509,0.024395464
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 9",5866,1147.016486,1330.999765,1330.036946,11:06.2,3.584840082,12.85107842,1329.882096,1330.41544,1330.650037,1329.218017,1329.63407,1330.19559,0.00014078,1329.624109,0.004423013
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 11",6387,1213.665921,1330.997894,1330.025552,10:10.1,2.50579404,6.279003771,1329.900943,1330.373756,1330.576094,1329.259192,1329.66559,1330.139419,0.000108143,1329.680251,0.006332686
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 9",6260,1219.636711,1330.999484,1330.043062,16:56.3,2.54457024,6.474837707,1329.940727,1330.428486,1330.675572,1329.135225,1329.590661,1330.18366,0.000147217,1329.582347,0.010932591
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 10",5866,1259.368409,1330.998314,1330.125754,37:20.5,1.524505864,2.324118131,1329.946285,1330.450745,1330.665826,1329.44865,1329.819871,1330.192514,9.73E-05,1329.840469,0.011678817
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 12",6544,1307.61065,1330.997182,1329.941245,56:32.4,0.921379473,0.848940133,1329.765537,1330.355383,1330.574221,1329.042957,1329.35447,1330.25955,0.00018353,1329.340826,0.141614892
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 12",6387,1200.756112,1330.998504,1329.887271,09:06.7,3.29688817,10.86947161,1329.809946,1330.364753,1330.588305,1328.774895,1329.16742,1330.14388,0.000224592,1329.170149,0.015778302
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 10",6260,1178.979974,1330.999144,1330.019884,45:24.5,2.889951949,8.351822268,1329.882689,1330.38961,1330.649977,1329.185637,1329.532296,1330.20591,0.000150573,1329.548665,0.008866502
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 11",5866,1230.712165,1330.995076,1330.042278,21:41.7,2.409164981,5.804075904,1329.861451,1330.43056,1330.667781,1329.215495,1329.636809,1330.151588,0.000131459,1329.656775,0.008539296
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 13",6544,1148.759996,1330.994201,1330.012708,34:49.2,3.315714869,10.99396509,1329.887017,1330.394738,1330.583046,1329.178326,1329.605203,1330.199051,0.000133282,1329.576677,0.005767119
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 13",6387,1066.595097,1330.997168,1329.824357,24:42.9,6.36422558,40.50336724,1329.951518,1330.408169,1330.596209,1328.341171,1328.794883,1330.180062,0.00032003,1328.802502,0.008597458
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 11",6260,1135.510656,1330.999522,1329.991739,12:06.3,4.477269929,20.04594601,1329.982196,1330.478323,1330.681772,1328.842568,1329.23611,1330.251264,0.00023775,1329.247699,0.009209856
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 12",5866,1216.002866,1330.998863,1330.090827,28:03.2,2.864282802,8.204115969,1329.95941,1330.454366,1330.665765,1329.305925,1329.686735,1330.233635,0.000136149,1329.69157,0.006479961
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 14",6544,1289.696069,1330.999433,1330.014062,52:07.0,1.46959377,2.159705848,1329.92635,1330.428996,1330.624282,1329.041718,1329.36887,1330.276836,0.000194116,1329.379012,0.062272952
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 14",6387,1226.132966,1330.999503,1330.042412,23:16.4,2.518301002,6.341839938,1329.911944,1330.420441,1330.634469,1329.177664,1329.565785,1330.244288,0.000143653,1329.583727,0.011063594
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 12",6260,1170.210454,1330.999678,1329.942749,21:10.4,4.166807001,17.36228058,1329.849561,1330.385272,1330.661493,1328.899771,1329.259888,1330.184303,0.000207359,1329.293818,0.008088654
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 13",5866,1188.271349,1330.997218,1330.090734,28:50.6,3.174993854,10.08058597,1329.967038,1330.453796,1330.664092,1329.25496,1329.64634,1330.310912,0.000163906,1329.610081,0.007643275
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 15",6544,1252.13545,1330.999815,1330.110046,43:38.4,1.361525214,1.853750909,1329.952129,1330.414612,1330.606155,1329.450686,1329.757795,1330.232686,0.000104683,1329.767576,0.021099526
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 15",6387,1251.527444,1330.991075,1329.988579,27:39.6,2.169941299,4.708645242,1329.877491,1330.394666,1330.600793,1329.069295,1329.45997,1330.149092,0.000149792,1329.510292,0.016201782
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 13",6260,1284.854551,1330.997765,1330.140315,57:51.4,1.040936103,1.083547971,1329.93871,1330.400422,1330.647151,1329.581402,1329.917663,1330.247378,7.14E-05,1329.916768,0.015380721
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 14",5866,1227.282088,1330.998212,1330.033692,58:43.0,2.888805727,8.345198529,1329.916966,1330.430905,1330.646645,1329.147606,1329.483314,1330.246786,0.000180723,1329.503721,0.011224526
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 16",6544,1252.383105,1330.999832,1329.960661,20:11.3,1.430454114,2.046198973,1329.80999,1330.356581,1330.58109,1329.069834,1329.421404,1330.232907,0.000175649,1329.386026,0.053816385
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 16",6387,1174.829693,1330.993372,1329.985658,18:38.3,2.607098992,6.796965154,1329.840516,1330.338307,1330.568328,1329.189099,1329.646609,1330.137909,0.000110679,1329.632261,0.006127627
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 14",6260,1176.49639,1330.995295,1330.042632,40:31.6,2.377202483,5.651091644,1329.865538,1330.392834,1330.660604,1329.271561,1329.615078,1330.211222,0.000130161,1329.635294,0.009791846
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 15",5866,1100.483628,1330.998346,1329.989083,02:40.0,4.278645873,18.30681051,1329.882582,1330.395896,1330.63627,1329.061909,1329.433415,1330.18529,0.000186143,1329.443219,0.005428226
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 17",6544,1142.038022,1330.999354,1330.06442,16:09.5,3.382636699,11.44223104,1329.953442,1330.436082,1330.62202,1329.222339,1329.507662,1330.3107,0.000158222,1329.546797,0.007808979
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 17",6387,1197.406715,1330.999172,1330.027556,53:38.1,2.280099267,5.198852667,1329.878285,1330.376195,1330.607791,1329.257167,1329.651544,1330.184877,0.000123668,1329.632685,0.010001976
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 15",6260,1202.509353,1330.999959,1330.059398,25:14.0,2.231695579,4.980465156,1329.863103,1330.419217,1330.66885,1329.290385,1329.709582,1330.222604,0.000117673,1329.691142,0.009080649
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 16",5866,1227.643396,1330.998177,1330.094577,22:49.6,2.117313585,4.483016817,1329.936739,1330.452684,1330.66369,1329.347209,1329.783566,1330.198862,0.000104533,1329.788033,0.006990597
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 18",6387,1270.05221,1330.995531,1330.056783,41:28.4,1.632715967,2.665761429,1329.875187,1330.406049,1330.614683,1329.318441,1329.7474,1330.247601,0.000116234,1329.685647,0.017231661
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 18",6544,1263.945091,1330.993648,1330.026536,11:18.3,1.401198418,1.963357007,1329.861887,1330.391575,1330.579529,1329.258407,1329.587721,1330.1764,0.000127196,1329.610414,0.029411663
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 16",6260,1240.978165,1330.999505,1330.107539,42:16.9,1.733984199,3.006701201,1329.910341,1330.409381,1330.654899,1329.466392,1329.876385,1330.213929,8.00E-05,1329.857104,0.006956419
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 17",5866,1089.581742,1330.997456,1329.865726,37:04.8,5.968160576,35.61894066,1329.85444,1330.37042,1330.619808,1328.626622,1329.031049,1330.161597,0.000286397,1329.025867,0.006604394
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 19",6387,1131.226178,1330.997587,1329.853284,32:52.5,3.753657925,14.08994782,1329.802076,1330.368544,1330.596244,1328.617938,1328.974258,1330.216921,0.000288111,1328.933346,0.020030454
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 19",6544,1173.532185,1330.996651,1329.982469,41:28.2,3.126501025,9.77500866,1329.837974,1330.42545,1330.641941,1328.988713,1329.380866,1330.167928,0.000173598,1329.414543,0.011003834
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 17",6260,1239.485706,1330.999937,1330.048772,48:33.2,2.361269221,5.575592336,1329.893402,1330.444312,1330.681593,1329.18561,1329.619011,1330.204711,0.000135644,1329.624275,0.010778178
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 18",5866,1235.424664,1330.998523,1330.130712,33:50.5,1.52056006,2.312102896,1329.928707,1330.44898,1330.662965,1329.487157,1329.856344,1330.266252,9.26E-05,1329.859092,0.010641862
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=16} Run 20",6387,1285.731932,1330.998447,1330.102695,41:05.7,0.929732571,0.864402654,1329.895083,1330.405833,1330.610582,1329.491772,1329.86041,1330.14788,7.25E-05,1329.871203,0.02067462
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=16} Run 20",6544,1285.698013,1330.997759,1329.991813,19:20.3,0.986255269,0.972699455,1329.768836,1330.339004,1330.548339,1329.304905,1329.734014,1330.147763,9.20E-05,1329.690735,0.031078283
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 18",6260,1193.109177,1330.996975,1330.085669,21:07.4,2.991574014,8.949515082,1329.962175,1330.493648,1330.724493,1329.168568,1329.566561,1330.315672,0.000170057,1329.553475,0.010554238
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 19",5866,1147.124101,1330.999173,1330.074087,12:37.4,3.040840275,9.24670958,1329.935185,1330.436992,1330.647087,1329.286837,1329.66389,1330.277373,0.000154171,1329.621981,0.007372155
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=16} Run 20",5866,1286.41859,1330.999352,1330.092373,37:50.9,1.065954762,1.136259555,1329.884605,1330.38831,1330.635568,1329.447393,1329.821918,1330.181419,8.20E-05,1329.851875,0.016976389
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 19",6260,1085.848929,1330.994841,1330.028194,31:07.4,5.421708042,29.39491809,1330.03953,1330.488306,1330.696535,1328.877512,1329.230941,1330.358032,0.000262101,1329.207949,0.007633115
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=16} Run 20",6260,1085.8913,1330.999959,1329.750967,11:44.0,5.390673145,29.05935695,1329.875689,1330.406114,1330.634796,1328.100082,1328.495352,1330.19439,0.000403006,1328.48976,0.018254662
