,AgeLimits,Algorithm Name,Execution Time,Generations,NonDominatedElites,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 32",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",34:35.2,10982,0,10,8,1.049259943,1330.983421,0.969362111,0.266356876,1329.934161,[[1;0;0][6.0484652593251E-17;1.66477723688799E-17;1.74748003428984][6.12303176911189E-17;1.0525460871562;0][...]],0.610013018,5,525186511,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 31",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",34:41.2,10982,1,10,8,1.240413137,1330.959572,1.014333027,0.353268724,1329.719159,[[1;0;0][5.71815696436897E-17;4.43444863812706E-17;2.02526380714475][6.12303176911189E-17;1.26702202506913;0][...]],0.669021028,5,1545670751,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 33",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:16.5,6542,1,3,3,1.323158513,1330.99985,0.812513867,0.932723814,1329.676692,[[1;0;0][6.07565074915395E-17;2.66981379346312E-17;3.51173960461896][0.157594887016606;3.72901077948845;0][...]],0.206271273,16,1458757430,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 32",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:49.2,6542,0,3,3,1.081666267,1330.996093,0.57071214,0.858329668,1329.914427,[[1;0;0][5.89954970509527E-17;4.80401692835009E-17;2.93078748125837][3.74915180455534E-33;6.47576288562736E-17;1.05760726545547][...]],0.196426594,16,1575868472,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 34",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:22.9,6542,1,3,3,0.156431575,1330.99987,0.757581856,0.816929718,1330.843438,[[1;0;0][6.12303176911189E-17;2.88736360090683;0][6.12303176911189E-17;0;3.64443208242172][3.74915180455534E-33;6.48780509319818E-17;1.05957397214994][...]],0.216983809,16,1101275979,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 33",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:54.1,6542,0,3,3,0.832173364,1330.999639,0.820916497,0.743227831,1330.167466,[[1;0;0][3.74915180455534E-33;6.64020643250782E-17;1.08446382166509][6.06242920966824E-17;2.54116526331502;0.360207452920752][...]],0.19328185,16,285613889,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 35",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:26.8,6542,1,3,3,0.768919512,1330.999177,0.546030064,0.521249399,1330.230258,[[1;0;0][6.12289217808061E-17;8.86085577229855E-19;2.14314290482438][3.74915180455534E-33;6.39182275757505E-17;1.04389834947764][...]],0.105438806,16,2054136437,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 34",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:53.0,6542,0,3,3,1.003212182,1330.999716,0.727971535,0.59118669,1329.996504,[[1;0;0][6.12303176911189E-17;1.93782962102606;0][3.74915180455534E-33;6.53884328988724E-17;1.06790941750016][...]],0.17708343,16,291391382,32
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0} Run 33",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=0}",34:56.3,10982,0,10,8,2.264548222,1330.959572,∞,0.319611401,1328.695024,[[1;0;0][6.12303176911189E-17;0;1.0113085582459][3.74915180455534E-33;6.19298302187152E-17;1.01142428381844][...]],0.979405034,5,1909024552,10
"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1} Run 32",[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {NumberOfLayers=10, AgeGap=300, NonDominatedElites=1}",34:55.3,10982,1,10,8,1.485973862,1330.99774,1.789474577,0.330077235,1329.511766,[[1;0;0][5.80658569885793E-17;3.1149285653459E-17;1.60318994024513][6.09797003367618E-17;1.76523379024794;0.160204946369419][...]],0.456366989,5,907349917,10
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 36",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:25.4,6542,1,3,3,0.190603301,1330.999821,0.523761106,0.47139761,1330.809218,[[1;0;0][6.07990801918038E-17;2.28122519198915;0.27218340550071][5.93499917001293E-17;2.77619941741339E-17;1.84372390762259][...]],0.111382483,16,1860122741,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 35",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",14:56.1,6542,0,3,3,0.588754179,1330.998834,0.577961584,0.661676128,1330.410079,[[1;0;0][3.74915180455534E-33;6.42462266414754E-17;1.04925515764218][6.11187914788855E-17;2.40602032449811;0.145416408924355][...]],0.163901115,16,880544672,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1} Run 37",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=1}",14:31.0,6542,1,3,3,0.71607148,1330.997018,0.473769445,0.450998146,1330.280947,[[1;0;0][5.89291141996198E-17;1.77699150717344;0.501431813554118][6.12303176911189E-17;0;2.51929972195464][...]],0.124376225,16,63667325,32
"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0} Run 36",[300;600;1200],"ALPS with NSGA2 {NumberOfLayers=3, AgeGap=300, NonDominatedElites=0}",15:03.3,6542,0,3,3,0.580338803,1330.999098,0.614438979,0.707832435,1330.418759,[[1;0;0][6.11222109296342E-17;9.82661494316863E-18;2.70191097342611][3.74915180455534E-33;6.49970638741705E-17;1.06151766518758][...]],0.188533818,16,760590389,32
