,AgeGap,AgeLimits,Algorithm Name,EvaluatedSolutions,Execution Time,Generations,NumberOfLayers,OpenLayers,ParetoFrontResults.Absolute Distance to BestKnownHypervolume,ParetoFrontResults.Best known hypervolume,ParetoFrontResults.Crowding,ParetoFrontResults.Generational Distance,ParetoFrontResults.Hypervolume,ParetoFrontResults.Pareto Front,ParetoFrontResults.Spacing,PopulationSize,Seed,SelectedParents
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 1",300,[300;600;1200;2700;4800;7500;10800;14700;19200;24300],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10}",300000,18:36.2,10982,10,8,1.436483572,1330.996627,0.874724375,1.851380919,1329.560143,[[1;0;0][6.12293503506502E-17;5.10312758734144;0.0286855375283647][6.12303176911189E-17;0;1.01337697101225][...]],0.377528413,5,1274043846,10
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 1",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,12:16.7,5784,5,5,0.138028008,1330.997499,0.472224419,1.425105248,1330.859471,[[5.97599885693681E-17;5.79294245633155E-17;4.34326818739238][1;0;0][5.99112503180316E-17;3.3208991913044;0.700692378594868][...]],0.260446123,10,297266475,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 1",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,12:49.2,6135,5,5,0.008579995,1330.99983,0.401381137,0.971995209,1330.99125,[[6.12303176911189E-17;0;2.12944205056323][1;0;0][3.74915180455534E-33;6.33621086244896E-17;1.03481593781899][...]],0.169029039,10,858357805,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 1",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,13:09.9,6471,5,5,1.355576326,1330.99996,0.600086984,1.795404208,1329.644384,[[1;0;0][6.11271546793842E-17;1.44429857512224E-17;4.06517951230208][3.74915180455534E-33;6.32560149657151E-17;1.0330832396594][...]],0.243917603,10,1558342612,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 1",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,16:11.6,6955,5,5,1.276149648,1330.992586,0.458195114,1.234193803,1329.716437,[[1;0;0][6.12303176911189E-17;0;1.40107835475137][6.12303176911189E-17;3.49744724185436;0][5.50148120695354E-17;5.81004442412635E-17;2.16149302263676][...]],0.206628823,10,2135772496,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 2",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,11:56.3,5784,5,5,1.152904111,1330.999232,0.761072159,2.492820209,1329.846328,[[6.11405700018519E-17;6.81019579365115;0.369131245348368][6.09805705514098E-17;3.09751095968427E-17;5.60670414534521][...]],0.281743182,10,1578448818,20
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5} Run 2",50,[50;100;200;450;800],"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=5}",300020,12:34.6,6135,5,5,1.986169485,1330.994292,0.807611996,2.052789436,1329.008122,[[1;0;0][6.09631358383784E-17;5.24554882285578;0.491644385022784][6.09892335846652E-17;2.87574670007849E-17;5.29780534923488][...]],0.734189276,10,1877871480,20
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5} Run 2",150,[150;300;600;1350;2400],"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=5}",300030,12:53.5,6471,5,5,1.261153586,1330.999829,0.583429153,1.6450214,1329.738675,[[1;0;0][0.172941781416549;0;1.66176967262003][3.74915180455534E-33;6.50606052878418E-17;1.06255540949575][...]],0.218596839,10,692588267,20
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5} Run 2",300,[300;600;1200;2700;4800],"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=5}",300030,14:22.0,6955,5,5,1.040250406,1330.99455,0.397423079,1.347237896,1329.9543,[[1;0;0][5.99527041562512E-17;3.23890216302254E-17;2.60301810352575][3.74915180455534E-33;6.52822135860893E-17;1.0661746671871][...]],0.197035745,10,965944381,20
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5} Run 3",5,[5;10;20;45;80],"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=5}",300010,12:15.3,5784,5,5,1.533924342,1330.99989,0.519964415,1.818141402,1329.465966,[[6.06816361723467E-17;3.98396750787322E-17;4.87116090930191][1;0;0][6.08737332163558E-17;4.50738963983131;0.488586448268593][...]],0.271490791,10,1621636805,20
